word,is_he
קד,0
תקדם,0
לך,0
פי,0
מסכת,1
מכשירין,1
אן,0
אלזרעים,0
לא,0
תוכשר,0
והי,0
מתצלה,0
באלארץ'.,0
וקד,0
בינא,0
פי,0
ראבע,0
מכשירין,1
אן,0
אלמא,0
לא,0
יכשיר,0
לטומאה,0
אלא,0
אד'א,0
כאן,0
תלוש,1
מן,1
"הקרקע,",1
אמא,0
אד'א,0
כאן,0
פי,0
אלארץ',0
אינו,1
"מכשיר,",1
וד'כרנא,0
אצל,0
ד'לך,0
הנאך.,0
פלהד'א,0
אלאצל,0
קאל,0
אן,0
כלי,1
גללים,1
וכלי,1
אדמה,1
אד'א,0
כאנת,0
מת'קובה,0
ת'קבא,0
יכ'רג',0
מנה,0
אצול,0
אלנבאת,0
וכאנת,0
מג'עולה,0
עלי,0
סטח,0
אלארץ',0
והי,0
ממלוה,0
"מא,",0
פאן,0
ד'לך,0
אלמא,0
אינו,1
מכשיר,1
לאנה,0
בקרקע,1
ואינו,1
כתלוש.,1
וקד,0
בינא,0
מראת,0
אן,0
עציץ,1
נקוב,1
הרי,1
הוא,1
כארץ,1
ושאינו,1
נקוב,1
אינו,1
"כארץ,",1
פאד'א,0
זרע,1
נבאתה,0
פי,0
אניה,0
מת'קובה,0
פכאנה,0
מתצל,0
באלארץ',0
ולד'לך,0
אן,0
אבתל,0
במשקה,1
לא,1
"הוכשר,",1
ואן,0
כאן,0
אלנבאת,0
פי,0
אניה,0
גיר,0
מת'קובה,0
פהו,0
כאלשי,0
אלמקלוע,0
ולד'לך,0
אד'א,0
אבתל,0
במשקה,1
הוכשר.,1
ת'ם,0
קאל,0
אן,0
הד'א,0
אלעציץ,0
שאינו,1
נקוב,1
אלד'י,0
הו,0
כלי,1
ומכשיר,1
את,1
הזרעים,1
כמא,0
"בינא,",0
וכד'לך,0
משקין,1
שבו,1
"מכשירין,",1
אד'א,0
מלאהו,1
עפר,1
עד,1
שפתו,1
פחכמה,0
חכם,0
טבלה,1
שאין,1
לה,1
לזביז,1
אלתי,0
מע,0
כונהא,0
כלי,1
פהי,0
טהורה,1
כמא,0
תבין,0
פי,0
אלת'אני,0
מן,0
כלים.,1
וכד'לך,0
איצ'א,0
הנא,0
אינו,1
מכשיר,1
את,1
הזרעים,1
לאנה,0
לם,0
יבק,0
כלי,0
למעני,0
אלהכשר,0
ומים,1
שבו,1
איצ'א,0
אינן,1
מכשירין.,1
ופי,0
אלתוספתא,0
קאלוא,0
טבלה,1
שיש,1
לה,1
לזביז,1
והטה,1
על,1
צדה,1
אינה,1
מכשרת,1
את,1
הזרעים.,1
לאנה,0
באמאלתה,0
להא,0
רג'עת,0
כטבלה,1
שאין,1
לה,1
לזביז,1
אלתי,0
אינה,1
כלי.,1
וקד,0
בינא,0
מראת,0
אן,0
לזביז,0
אלחאשיה,0
אלמרתפעה.,0
ומעני,0
קולי,0
אינה,1
כלי,1
אנהא,0
אינה,1
מקבלת,1
טומאה.,1
