word,is_he
למא,0
אן,0
כמל,0
ג'מיע,0
אחכאם,0
אלשריעה,0
אלמקדסה,0
עלי,0
מא,0
פצל,0
אכ'תם,0
אלקול,0
בכלאם,0
פי,0
אלג'זא.,0
ומעני,0
קולה,0
שלש,1
מאות,1
ועשרה,1
עולמות,1
אנה,0
לו,0
ג'מעת,0
לד'את,0
הד'א,0
אלעאלם,0
בג'מלתהא,0
עלי,0
אכ'תלאף,0
אנואע,0
אללד'ה,0
ת'ם,0
צ'ועף,0
ד'לך,0
אלמג'תמע,0
ת'לת',0
מאיהֿ,0
מרה,0
ועשר,0
מראת,0
לכאן,0
אלד'י,0
ינאל,0
אחד,0
אלצאלחין,0
מן,0
אללד'ה,0
לעולם,1
הבא,1
מת'ל,0
ד'לך.,0
אמא,0
אלדואם,0
פי,0
אלזמאן,0
פד'לך,0
גיר,0
"מתנאה,",0
בל,0
כל,0
נפס,0
תזכה,1
לחיי,1
העולם,1
הבא,1
לא,0
תביד,0
"אבדא,",0
והו,0
מעני,0
קולה,0
יש,1
יעני,0
אלוג'וד,0
אלדאים,0
אלד'י,0
לא,0
"יתנאהי,",0
לאן,0
יש,0
הו,0
"אלוג'וד,",0
ואין,0
"אלעדם,",0
פכאנה,0
יקול,0
אן,0
אוהבי,0
נורת'הם,0
אלוג'וד,0
"באטלאק,",0
וליס,0
ת'ם,0
וג'וד,0
חקיקי,0
אלא,0
אלדואם.,0
ואכ'רג',0
הד'א,0
מן,0
הד'א,0
אלפסוק,0
איצ'א,0
עט'ם,0
אללד'ה,0
עלי,0
ג'ההֿ,0
אלנאדר,0
אד',0
ועדד,0
יש,0
ת'לת',0
מאיה,0
"ועשרה,",0
והד'א,0
עלי,0
ג'ההֿ,0
אלתנביה,0
פקט,0
אן,0
תלך,0
אללד'ה,0
"עט'ימה,",0
אמא,0
אלחקיקה,0
פכמא,0
לא,0
נסבה,0
בין,0
אלמתנאהי,0
וגיר,0
אלמתנאהי,0
כד'לך,0
לא,0
נסבה,0
בין,0
הד'ה,0
אללד'את,0
אלתי,0
ענדנא,0
ותלך,0
אללד'ה.,0
וקד,0
בינא,0
מן,0
ד'לך,0
טרף,0
פי,0
מסכת,1
סנהדרין.,1
