word,is_he
יקול,0
אן,0
עשר,1
דרג'את,0
תתדרג',0
נג'אסהֿ,0
אלאנסאן,0
ויציר,0
פי,0
חאלה,0
אשד,0
מן,0
"אלאולי,",0
ובדי,0
באלעדד,0
מן,0
אקלהא,0
והו,0
אן,0
יכון,0
מחוסר,1
"כפורים,",1
וקד,0
תקדם,0
פי,0
ת'אני,0
כרתות,1
קולה,0
ארבעה,1
מחוסרי,1
כפורים,1
ואלו,1
הן,1
זב,1
וזבה,1
היולדת,1
"והמצורע,",1
ונץ,0
אלתורה,0
פי,0
כל,0
ואחד,0
מן,0
האולא,0
אלטמאים,0
אנה,0
יג'יב,0
קרבן,1
אד'א,0
תם,0
טהרה,1
כמא,0
בינת,0
"הנאך,",0
פאד'א,0
טבל,1
אלשכ'ץ,0
מן,0
האולא,0
והעריב,1
שמשו,1
פיתסמי,0
מחוסר,1
כפורים,1
עד,1
שיביא,1
"קרבנו,",1
ולא,0
יחל,0
לה,0
אכל,0
אלקודש,0
עד,1
שיביא,1
קרבנו.,1
וטבול,1
יום,1
הו,0
אלשכ'ץ,0
אלד'י,0
טבל,1
במי,1
מקוה,1
קבל,0
אן,0
יעריב,1
שמשו,1
קאל,0
תעלי,0
ורחץ,1
במים,1
וטמא,1
עד,1
"הערב,",1
ולא,0
יחל,0
לה,0
אכל,0
אלתרומה,0
טול,0
ד'לך,0
אלנהאר,0
בל,0
ינג'סהא,0
וירדהא,0
שלישי,1
אד'א,0
נגע,1
בה,1
כמא,0
בינא,0
פי,0
צדר,0
כלאמנא,0
"הנא,",0
וכמא,0
יבין,0
פי,0
אכ'ר,0
זבים.,1
ובעל,1
קרי,1
הו,0
אלד'י,0
ראי,0
שכבת,1
זרע,1
קבל,0
אן,0
"יטהר,",0
והו,0
ראשון,1
לטומאה,1
כמא,0
"אצלנא,",0
פהו,0
ינג'ס,0
אלמעשר,0
וירדה,0
שני,1
מת'ל,0
"אלחולין,",0
ולד'לך,0
אסור,1
בשלשתן,1
יעני,0
בקודש,1
ובתרומה,1
"ובמעשר,",1
וכד'לך,0
כל,1
ראשון,1
לטומאה,1
הו,0
איצ'א,0
אסור,1
במעשר,1
כמא,0
יבין.,0
וקד,0
תקדם,0
לנא,0
מעני,0
קולה,0
משכב,1
תחתון,1
כעליון.,1
ושתי,1
ראיות,1
הו,0
אן,0
ירד,0
מנה,0
אלמני,0
דפעתין.,0
ושלש,1
אן,0
ירד,0
מנה,0
ת'לאת',0
דפעאת.,0
ואריד,0
הנא,0
בקולי,0
אלמני,0
זובו,1
של,1
"זב,",1
ואלאצל,0
ענדנא,0
אין,1
בין,1
זב,1
שראה,1
שתי,1
ראיות,1
לרואה,1
שלש,1
אלא,1
"קרבן,",1
וסנבין,0
דליל,0
ג'מיע,0
ד'לך,0
פי,0
מסכת,1
זבים.,1
פאד'א,0
טהר,1
בעל,1
שתי,1
ראיות,1
טבל,1
במי,1
מעין,1
וכמל,0
"טהרה,",0
ובעל,1
שלש,1
ראיות,1
יבקי,0
בעד,0
אלטבילה,0
מחוסר,1
כפורים,1
חתי,0
יקרב,0
קרבאנה.,0
ואלזב,0
וחדה,0
מן,0
ג'מיע,0
אלטמאים,0
לא,0
יטהר,0
במי,1
מקוה,1
אלא,1
במי,1
מעין,1
צ'רורה,0
והו,0
קולה,0
הנא,0
ביאת,1
מים,1
חיים,1
לאן,0
נץ,0
אלתורה,0
פיה,0
ורחץ,1
בשרו,1
במים,1
חיים.,1
וקד,0
בינא,0
איצ'א,0
אן,0
אלמוסגר,0
ואלמוחלט,0
למעני,0
אלטומאה,0
"סוי,",0
ואן,0
אד'א,0
דכ'ל,0
אלבית,0
אנג'ס,0
כל,0
מא,0
פיה,0
והו,0
קולה,0
"בביאה,",1
לכן,0
פי,0
איאם,0
אלהסגר,0
לא,0
ילזמה,0
אן,0
תכון,0
בגדיו,1
פרומים,1
וראשו,1
"פרוע,",1
ופי,0
איאם,0
אלהחלט,0
ילזמה,0
ד'לך.,0
וכד'לך,0
אד'א,0
טהר,1
מתוך,1
הסגר,1
לא,0
ילזמה,0
חלק,0
ג'מיע,0
שערה,0
ולא,1
שתי,1
צפרים,1
וסאיר,0
"אלצנאעה,",0
אמא,0
אד'א,0
טהר,0
בעד,0
אלהחלט,0
פילזמה,0
"ד'לך,",0
והד'א,0
כלה,0
נצוץ,0
תורה.,1
וג'א,0
אלנקל,0
אן,0
קולה,0
תעלי,0
ועל,1
הנוגע,1
בעצם,1
יריד,0
בה,0
איצ'א,0
אבר,1
שאין,1
עליו,1
בשר,1
"כראוי,",1
וקולה,0
בחלל,1
חרב,1
או,1
במת,1
או,1
בעצם,1
אדם,1
יריד,0
בה,0
אבר,1
שיש,1
עליו,1
בשר,1
כראוי,1
פהו,0
מת'ל,0
אלאדם,0
ינג'ס,0
במגע,1
ובמשא,1
ובאהל,1
כמא,0
ינג'ס,0
אלאדם.,0
ואלפרק,0
בין,0
קולה,0
הנוגע,1
בעצם,1
ובין,0
קולה,0
או,1
בעצם,1
אדם,1
אן,0
קולה,0
בעצם,1
אדם,1
יריד,0
בה,0
אן,0
יכון,0
ד'לך,0
אלעצם,0
מת'ל,0
אלאדם,0
אן,0
יכון,0
פיה,0
בשר,1
וגידים,1
"ועצמות,",1
וסנבין,0
ג'מיע,0
הד'ה,0
אלאחכאם,0
בדלאילהא,0
פי,0
אול,0
אהלות.,1
ולמא,0
אן,0
קאל,0
בשר,1
כראוי,1
אכ'ד',0
פי,0
תחדידה,0
פקאל,0
אן,0
מעני,0
כראוי,1
בשר,1
שהוא,1
ראוי,1
לעלות,1
ממנו,1
ארוכה,1
אעני,0
אן,0
יתרבי,0
מנה,0
אללחם,0
עלי,0
ג'מלהֿ,0
ד'לך,0
אלעצ'ו,0
"ויסתרה,",0
פאד'א,0
כאן,0
עלי,0
ד'לך,0
אלעצ'ו,0
אלד'י,0
אנקטע,0
מן,0
אלאנסאן,0
מן,0
אללחם,0
מקדאר,0
כאן,0
ימכן,0
אן,0
ינג'בר,0
מנה,0
ג'מלהֿ,0
לחם,0
אלעצ'ו,0
לו,0
בקי,0
מתצל,0
באלאנסאן,0
פאן,0
ד'לך,0
אלעצ'ו,0
יטמא,1
במשא,1
ובמגע,1
ובאהל,1
מת'ל,0
אלמת.,0
וקאל,0
ר',1
יהודה,1
אן,0
ולו,0
בקי,0
דאיר,0
באלעצ'ו,0
מן,0
אללחם,0
גלט',0
כ'יט,0
לחמה,0
פאנה,0
ימכן,0
אנג'בארה,0
לו,0
"בקי,",0
וכ'יט,0
אללחמה,0
"אגלט,",0
מן,0
כ'יט,0
אלסדא.,0
ואין,1
הלכה,1
כר',1
"יהודה,",1
בל,0
ינט'ר,0
פי,0
כל,0
עצ'ו,0
בחסב,0
מזאג'ה,0
והיאהֿ,0
לחמה,0
עלי,0
מא,0
תקתצ'יה,0
צנאעהֿ,0
אלטב.,0
ובקי,0
לנא,0
הנא,0
אלתנביה,0
עלי,0
מעני,0
"מא,",0
וד'לך,0
אנא,0
קד,0
קלנא,0
אן,0
מצורע,1
מטמא,1
בביאה,1
ומת,1
מטמא,1
"באהל,",1
פלא,0
תט'ן,0
אן,0
אלמצורע,0
איצ'א,0
ואלמת,0
חכמהמא,0
פי,0
ד'לך,0
סוי,0
אד',0
אלמת,0
אד'א,0
דכ'ל,0
תחת,0
אלאהל,0
אנג'ס,0
כל,0
מא,0
פיה,0
וכד'לך,0
"אלמצורע,",0
וליס,0
אלאמר,0
"כד'לך,",0
לאן,0
טומאת,1
אהל,1
תג'מע,0
ת'לת',0
"מעאני,",0
ד'לך,0
אן,0
כל,0
מא,0
יכון,0
מע,0
אלמית,0
תחת,1
אהל,1
ואחד,0
"יטמא,",0
וכד'לך,0
אלאדם,0
או,0
אלכלים,0
אד'א,0
האהילו,1
על,1
המת,1
אנתג'ס,0
"אלמאהיל,",0
וכד'לך,0
אד'א,0
האהיל,1
המת,1
עצמו,1
על,1
האדם,1
ועל,1
הכלים,1
אנג'סהא,0
כמא,0
יבין,0
פי,0
מסכת,1
"אהלות,",1
והד'א,0
חכם,0
כל,0
מא,0
יטמא,0
באהל.,1
ואלמצורע,0
ליס,0
"כד'לך,",0
בל,0
אנמא,0
ינג'ס,0
מא,0
חצל,0
מעה,0
תחת,1
אהל,1
ואחד,0
"פקט,",0
