word,is_he
"פטליה,",0
שבה,0
קפה,0
מן,0
חלף,0
ארתפאעהא,0
קריב,0
אלשבר,0
ולהא,0
פם,0
צגיר,0
יג'על,0
פיהא,0
אלתין,0
אליאבס,0
ענד,0
מא,0
יראד,0
כ'זנה,0
או,0
נקלאנה,0
ואסמה,0
אלמשהור,0
ענדנא,0
מצורה.,0
"וחסינה,",0
ועא,0
כביר,0
ג'דא,0
שבה,0
בית,0
יעמל,0
מן,0
חלף,0
פי,0
אלאכת'ר,0
וימלי,0
באלקמח,0
ענד,0
מא,0
יראד,0
"כ'זנה,",0
תרגום,0
נהרסו,1
ממגורות,1
אפחתו,1
חוסניא.,1
ומן,0
שאן,0
אלד'ין,0
יג'מעון,0
אלפאכהה,0
אלרטבה,0
כאלתין,0
ואלרטב,0
ואלענב,0
אן,0
יסתרוהא,0
בשבה,0
נסיג',0
מן,0
ורק,0
אלת'מאר,0
או,0
מן,0
"קצ'באנהא,",0
וד'לך,0
אלנסיג',0
יתסמי,0
סגניות,0
שרחא,0
חואקאת,0
מן,0
קולה,0
סוגה,1
בשושנים.,1
"וחותל,",0
לפאפה,0
מן,0
כ'וץ,0
או,0
עזף,0
ונחוה,0
הי,0
שבה,0
כלי,0
יג'על,0
פיהא,0
אלפאכהה,0
אלרטבה,0
ענד,0
אלביע,0
חתי,0
לא,0
תמרת',0
"אליד,",0
מת'ל,0
הד'ה,0
אלתי,0
יבאע,0
פיהא,0
אלרטב,0
במצר,0
אלתי,0
יסמונהא,0
"אלדוכ'לה,",0
והו,0
מן,0
קולה,0
והחתל,1
לא,1
חותלת.,1
