word,is_he
שיהו,1
מקדשין,1
בכל,1
"שהן,",1
יעני,0
אד'א,0
אכ'תלטת,0
מן,0
רמאן,0
הד'א,0
אלמוצ'ע,0
והו,0
בדן,0
רמאנה,0
ואחדה,0
ערלה,1
ולו,0
פי,0
מאיהֿ,0
אלף,0
רמאנה,0
מת'לא,0
חרמת,0
כלהא,0
והד'א,0
הו,0
מעני,0
מקדשין,1
כל,1
שהן.,1
וקד,0
בינא,0
ד'לך,0
גאיהֿ,0
אלביאן,0
פי,0
אכ'ר,0
ערלה.,1
ויקול,0
ר',1
עקיבה,1
אן,0
הד'א,0
אלרמאן,0
ד'כר,0
ללמעניין,0
"ג'מיעא,",0
אנה,0
תקדר,0
בה,0
אלכלים,0
כמה,0
"תקדם,",0
ומקדשין,1
בכל,1
שהן,1
כמא,0
ד'כרנא.,0
וחצירי,1
"גבע,",1
כראת',0
אלמוצ'ע,0
"אלפלאני,",0
ותרגום,0
החציר,1
כרתי.,1
ובדן,0
וגבע,0
מוצ'עין,0
ללכותים.,0
פיקול,0
ר',1
יוסי,1
אן,0
כל,0
מן,0
ישתרי,0
מן,0
הד'א,0
אלרמאן,0
או,0
הד'א,0
אלכראת',0
אנמא,0
יכ'רג,0
מנהא,0
מעשר,1
ודאי,1
לאנהא,0
טבל,1
באלחקיקה,0
פיכ'רג',0
מנהא,0
מעשר,1
ראשון,1
ושני,1
מן,0
בעד,0
תרומה,1
"גדולה,",1
אד',0
אלכותים,0
לא,0
יכ'רג'ון,0
מעשר,0
כמא,0
קד,0
בינא,0
פי,0
מואצ'ע,0
מן,0
מסכת,1
דמאי.,1
והלכה,1
כר',1
עקיבה.,1
ואין,1
הלכה,1
כר',1
יוסי.,1
