word,is_he
קאל,0
אללה,0
פי,0
כלי,1
חרש,1
אשר,1
יפול,1
מהם,1
אל,1
"תוכו,",1
וג'א,0
אלנקל,0
את,1
שיש,1
לו,1
תוך,1
טמא,1
ואת,1
שאין,1
לו,1
תוך,1
"טהור,",1
אעני,0
לא,0
יקבל,0
נג'אסה,0
מן,0
אלנג'אסאת.,0
ואצל,0
אכ'ר,0
אן,0
כל,1
שאינו,1
עשוי,1
לקבלה,1
"טהור,",1
ועלי,0
אנה,0
ימכן,0
אן,0
יקבל.,0
פכל,0
מא,0
יעד,0
מן,0
כלי,1
חרש,1
אנה,0
לא,0
יקבל,1
טומאה,1
פהו,0
אמא,0
מא,0
ליס,0
לה,0
בית,1
קבול,1
או,0
מא,0
לה,0
בית,1
קבול,1
לכנה,0
לא,1
נעשה,1
לקבלה.,1
ובקי,0
תרג'מהֿ,0
אלאסמא.,0
טבלה,1
שאין,1
לה,1
"לזביז,",1
לוח,1
בסיט,0
לא,0
תכון,0
לה,0
חאשיה,0
מרתפעה,0
עלי,0
סטחה,0
דאירה,0
"בה,",0
והד'ה,0
אלחאשיה,0
הי,0
אלתי,0
תתסמי,0
לזביז.,1
ומחתה,1
"פרוצה,",1
מבכ'רה,0
קד,0
זאל,0
מחיטהא.,0
ואבוב,1
של,1
"קלאין,",1
מקלי,0
יקלי,0
פיה,0
אלקלאין,0
אלפול,0
ואלחמץ,0
ונחוהמא,0
מן,0
אלחבוב,0
"אלכבירה,",0
והו,0
מת'קב,0
אלקאע,0
שבה,0
גרבאל,0
כמא,0
באן,0
פי,0
מנחות,1
לידכ'ל,0
אלנאר,0
מן,0
תלך,0
אלאת'קאב,0
ולד'לך,0
לא,0
יקבל,0
נג'אסה,0
לאן,0
ליס,0
לה,0
תוך.,1
"וסלונות,",1
ג'מע,0
"סלון,",1
והו,0
ברבך',0
מן,0
פכ'אר,0
טויל,0
לא,0
קאע,0
לה,0
ירכב,0
ואחד,0
פי,0
ת'אני,0
חתי,0
יג'לב,0
פיהא,0
אלמא,0
מן,0
מוצ'ע,0
"למוצ'ע,",0
והכד'א,0
תעמל,0
קנואת,0
אלמא,0
כלהא.,0
קאל,0
פלו,0
כאנת,0
מעוג'ה,0
עלי,0
הד'ה,0
אלצורה,0
אלתי,0
ימכן,0
אן,0
ית'בת,0
שי,0
פי,0
"תקעירהא,",0
או,0
לו,0
כאן,0
פיהא,0
איצ'א,0
בית,1
קבול,1
עלי,0
הד'ה,0
אלצורה,0
ונחוהא,0
פאנהא,0
לא,1
תנתג'ס,0
לאן,0
לא,1
נעשת,1
"לקבלה,",1
לאן,0
אלגרץ',0
מן,0
הד'ה,0
אלקנואת,0
אן,0
יג'רי,0
פיהא,0
אלמא,0
לא,0
אן,0
יג'תמע,0
ויסתקר,0
פיהא.,0
"וכבכב,",1
מת'ל,0
"כפכף,",0
וכפיה,0
הי,0
"אלאכבאב,",0
והי,0
גטא,0
מן,0
פכ'אר,0
יעמל,0
לתגטי,0
בה,0
סלהֿ,0
אלכ'בז,0
פהו,0
אינו,1
עשוי,1
לקבלה.,1
וטפי,1
והו,0
אסם,0
מרכ'ם,0
ובכמאלה,0
הו,0
"טפיח,",1
והו,0
אניהֿ,0
פכ'אר,0
מחדדהֿ,0
אלקאע,0
ואסמהא,0
אלמשהור,0
קאדוס.,0
פקאל,0
אנה,0
אן,0
אעד,0
הד'א,0
אלקאדוס,0
וקת,0
עמלה,0
ליג'על,0
פיה,0
אלענב,0
כי,0
יבקי,0
בארד,0
מת'ל,0
וקת,0
ג'מעה,0
מן,0
אלת'מאר,0
וכת'יר,0
מא,0
יפעל,0
ד'לך,0
פהו,0
טאהר,0
לאנה,0
לא,1
נעשה,1
לקבלה.,1
וחבית,1
של,1
שייטין,1
כ'אביהֿ,0
"אלעואמין,",0
יעמלון,0
כ'אביה,0
וירבטון,0
עלי,0
פיהא,0
רק,0
או,0
ג'לד,0
ויעומון,0
עליהא,0
עלי,0
וג'ה,0
"אלמא,",0
פהד'ה,0
איצ'א,0
לא,1
נעשת,1
לקבלה.,1
וחבית,1
דפונה,1
בשולי,1
המחץ,1
מחץ,1
אניה,0
כבירה,0
מן,0
פכ'אר,0
והי,0
אלתי,0
תערף,0
פי,0
מצר,0
"באלמאג'ור,",0
ופי,0
אלגרב,0
יסמונהא,0
"קצריה,",0
ולהא,0
טרף,0
שבה,0
מקבץ',0
והו,0
שולי,1
המחץ.,1
ושולים,1
הי,0
אלאד'יאל,0
ואלאטראף.,0
והד'ה,0
אלחבית,0
מדפונה,0
פי,0
ד'לך,0
אלטרף,0
הי,0
כ'ויביה,0
צגירה,0
מת'ל,0
בראני,0
אלאטבא,0
תדפן,0
הנאך,0
פי,0
ד'לך,0
אלטרף,0
לידכ'ל,0
אליד,0
פיהא,0
וקת,0
רפע,0
"אלמחץ,",0
ולד'לך,0
לא,0
תנתג'ס,0
לאן,0
לא,1
נעשת,1
