word,is_he
"גצטרא,",1
אניה,0
לא,0
יד,0
להא,0
ולא,0
מקבץ',0
ואנמא,0
הי,0
קאעדה,0
ללאואני,0
תג'על,0
עליהא,0
אלאואני,0
אלכבירה,0
אלממלוה,0
באלמא,0
לתקבל,0
"רשחהא,",0
וכד'א,0
באן,0
פי,0
גמר,1
שבת.,1
"וכבשן,",1
אלאתון,0
אלד'י,0
יטבך',0
פיה,0
אלפכ'ר.,0
וטיטרוס,1
הו,0
אניהֿ,0
פכ'אר,0
ואסעהֿ,0
אלקער,0
ולהא,0
ענק,0
צ'יק,0
מסתטיל,0
רקיק,0
ג'דא,0
ופי,0
קאע,0
אלאניה,0
"את'קאב,",0
פאד'א,0
מלית,0
אלאניה,0
באלמא,0
וג'על,0
אלאצבע,0
עלי,0
ראס,0
אלענק,0
אלרקיק,0
אמתנע,0
אלהוא,0
מן,0
דכ'ול,0
אלאניה,0
ולא,0
יסיל,0
מן,0
אלמא,0
אלתי,0
פיהא,0
מן,0
תלך,0
אלאת'קאב,0
"שיא,",0
פאד'א,0
רפע,0
אצבעה,0
ען,0
ראס,0
אלאניה,0
סאל,0
אלמא,0
מן,0
"קאעהא,",0
ואלנאס,0
יסמונה,0
ענדנא,0
סארקהֿ,0
אלמא.,0
וקולה,0
מפני,1
שהוא,1
כמוציא,1
פרוטות,1
ישיר,0
אלי,0
אלכלי,0
אן,0
אלמא,0
אד'א,0
כ'רג',0
מן,0
תלך,0
אלאת'קאב,0
ליס,0
יתפרג,0
אלאנא,0
דפעה,0
בל,0
יכ'רג',0
קטרה,0
בעד,0
קטרה,0
בבטו,0
"כת'יר,",0
פקד,0
צאר,0
כלי,1
קבול,1
לאן,0
להד'א,0
עמל.,0
והלכה,1
כר',1
יוסי.,1
