word,is_he
נשרח,0
אלאסמא,0
מן,0
הד'ה,0
אלהלכה,0
וחיניד',0
נכ'בר,0
במענאהא.,0
פנקול,0
אן,0
אלד'ין,0
ינסג'ון,0
פי,0
אלמנסג',0
אלואקף,0
להם,0
כ'שבתין,0
ואחדה,0
פוק,0
עליהא,0
אלסדא,0
"מלפוף,",0
ות'אניה,0
קריבה,0
מן,0
אלארץ',0
כל,0
מא,0
ינתסג',0
מן,0
אלת'וב,0
ילתף,0
"עליהא,",0
ואלסדא,0
ממדוד,0
בין,0
"אלכ'שבתין,",0
אסם,0
אלכ'שבה,0
אלפוקיה,0
כובד,1
"העליון,",1
ואסם,0
אלספליה,0
כובד,1
התחתון.,1
"ונירין,",1
אלניר,0
והי,0
אלאכ'יאט,0
אלמנסוג'ה,0
עלי,0
אלקצב,0
אלד'י,0
בג'בד'הא,0
תרתפע,0
בעץ',0
אלאכ'יאט,0
וינעמל,0
טריק,0
חתי,0
ימשי,0
אלנזק,0
באלכ'יט.,0
"וקירוס,",1
הו,0
משט,0
אלחאיך,0
אלד'י,0
יצ'רב,0
בה,0
אלכ'יט,0
ענד,0
אלנסג',0
פינצ'ם,0
כ'יט,0
לכ'יט.,0
וחוט,1
שהעבירו,1
על,1
גבי,1
"ארגמן,",1
הו,0
אלכ'יט,0
אלמתצל,0
באלשקה,0
יצרפה,0
אלרקאם,0
ללמעונה,0
בה,0
פי,0
חאל,0
רקם,0
אלשקה,0
באלארג'ואן.,0
ואד'א,0
רמי,0
אלחאיך,0
אלכ'יט,0
וצ'רב,0
באלמשט,0
ובקי,0
טרף,0
אלכ'יט,0
כ'ארג',0
מן,0
חאשיהֿ,0
אלשקה,0
פד'לך,0
אלכ'יט,0
יתסמי,0
עירה,1
מן,0
מעני,0
אלעלקה,0
לאן,0
מעורה,0
הו,0
אלמתצל,0
אלמתעלק.,0
פאן,0
כאן,0
גרץ',0
אלחאיך,0
אן,0
יתרך,0
ד'לך,0
אלכ'יט,0
כ'ארג',0
מן,0
חאשיהֿ,0
אלת'וב,0
וירמי,0
כ'יטא,0
אכ'ר,0
גירה,0
פהו,0
עירה,1
שאינו,1
עתיד,1
"להחזירה,",1
ואן,0
כאן,0
גרצ'ה,0
אן,0
ירד,0
ד'לך,0
אלכ'יט,0
נפסה,0
פי,0
נסיג',0
אלת'וב,0
מן,0
אלג'הה,0
אלאכ'רי,0
כמא,0
יפעל,0
אלחאיך,0
דאימא,0
אנה,0
ירד,0
אלכ'יט,0
מן,0
יד,0
אלי,0
יד,0
פאן,0
ד'לך,0
אלכ'יט,0
יתסמי,0
עירה,1
שהוא,1
עתיד,1
להחזירה.,1
ונפש,1
המסכת,1
יריד,0
בה,0
כ'יט,0
אללחמה,0
אלד'י,0
חצל,0
פי,0
דאכ'ל,0
אלנסיג',0
בין,0
אכ'יאט,0
אלקיאם,0
קבל,0
אן,0
יצ'רב,0
באלמשט,0
וינצ'ם,0
אלי,0
אלמנסוג',0
מן,0
אלת'וב.,0
ושתי,1
"העומד,",1
אלסדא,0
אלמדוד,0
בין,0
אלכ'שבתין.,0
וכפול,1
שהעבירו,1
על,1
גבי,1
"ארגמן,",1
הו,0
אלכ'יט,0
אלמפתול,0
אלמתצל,0
באלשקה,0
אלד'י,0
ירקם,0
בה,0
אלרקאם,0
מע,0
אלארג'ואן.,0
"ועימה,",0
אלנזק,0
אלד'י,0
פי,0
דאכ'לה,0
אלמסרקה,0
אלתי,0
עליהא,0
אלגזל,0
"מלתף,",0
ולד'לך,0
תסמת,0
אלכבה,0
