word,is_he
קד,0
בינא,0
מראת,0
אן,0
כני,1
"כלים,",1
קואעדהא.,0
"והגניהם,",0
אענאקהא.,0
"ואזניהם,",0
אלאד'אן,0
אלתי,0
תכ'רג',0
מן,0
נפס,0
אלאניהֿ,0
וירכב,0
פיהא,0
אלמקבץ',0
כמא,0
יעמל,0
פי,0
אלאסטאל,0
וקדור,0
אלנחאס.,0
וידות,1
"הכלים,",1
מקאבצ'הא.,0
ובין,0
הו,0
אן,0
קולה,0
הנא,0
שנפלו,1
עליהן,1
"משקין,",1
יריד,0
בה,0
משקין,1
טמאין.,1
וקד,0
עלמת,0
אן,0
אנג'אס,0
אלמשקין,0
לכלים,1
מדרבנן,1
כמא,0
בינא,0
פי,0
"אלצדר,",0
פגאיהֿ,0
מא,0
לזמוא,0
אלטומאה,0
ללכלי,0
"נפסה,",0
אמא,0
אד'א,0
נפלו,1
משקין,1
טמאין,1
על,1
כנו,1
או,1
על,1
הגנו,1
מבחוץ,1
או,1
על,1
אזנו,1
פליס,0
"ינתג'ס,",0
אד',0
הד'ה,0
אלאשיא,0
כאנהא,0
מנחאזה,0
ען,0
"אלכלי,",0
וכד'לך,0
אלמקבץ',0
ולו,0
כאן,0
פיה,0
בית,1
"קבול,",1
לאן,0
גאיהֿ,0
מא,0
גזרו,0
אן,0
יטמאו,0
"כלים,",1
לא,0
אן,0
יטמאו,0
ידות,1
הכלים.,1
ואלכלאם,0
כלה,0
בין.,0
