word,is_he
יבני,0
בניאן,0
דאיר,0
עלי,0
ראס,0
אלכירה,0
לתנזל,0
פיה,0
אלקדר,0
ולא,0
יכ'רג',0
מן,0
חרארהֿ,0
אלנאר,0
"שי,",0
וד'לך,0
אלבניאן,0
יתסמי,0
עטרת,1
כירה,1
לאנהא,0
עליהא,0
כאלתאג',0
עלי,0
"אלראס,",0
פאד'א,0
אנתג'סת,0
אלכירה,0
לא,0
ינתג'ס,0
ד'לך,0
אלבניאן,0
אלזאיד,0
עליהא,0
מן,0
פוק.,0
ויעמל,0
בין,0
ידי,0
אלתנור,0
מוצ'ע,0
מבני,0
מחיט,0
בחיטאן,0
יג'על,0
פיה,0
אלכ'בז,0
ענד,0
כ'רוג'ה,0
מן,0
אלתנור,0
יתסמי,0
ד'לך,0
אלמוצ'ע,0
טירת,1
התנור,1
תשביה,0
באלקצר,0
מן,0
קולה,0
בחצריהם,1
ובטירותם.,1
וקולה,0
מיטמא,1
במגע,1
ובאויר,1
יעני,0
בה,0
אן,0
אד'א,0
אנתג'ס,0
אלתנור,0
אמא,0
באנצ'מאם,0
אלשרץ,0
לה,0
מתוכו,1
או,0
בחצולה,0
פי,0
הואה,0
דון,0
אן,0
ימאסה,0
פאן,0
הד'ה,0
אלטירה,0
תנתג'ס,0
לאנהא,0
מצרכי,1
תנור,1
וכאלג'ז,0
מן,0
אג'זאה.,0
פאן,0
כאנת,0
אקל,0
ארתפאע,0
מן,0
ארבעה,0
טפחים,1
פהי,0
לא,0
"תנתג'ס,",0
לאנהא,0
מלגאה,0
אד',0
לא,0
תצלח,0
לג'מע,0
אלכ'בז,0
פיהא.,0
פאן,0
אלזקהא,0
לתנור,0
פקד,0
שהד,0
עמלה,0
אנהא,0
מנה,0
בבאל,0
ואנה,0
אראד,0
אתצאלהא,0
"באלתנור,",0
פלד'לך,0
תנתג'ס,0
באנתג'אסה,0
ולו,0
כאנת,0
אי,0
קדר,0
"כאנת,",0
ולו,0
אלזקהא,0
אצ'עף,0
אלזאק,0
יכון,0
מת'ל,0
אן,0
יצפף,0
ת'לת'ה,0
אחג'אר,0
בג'נב,0
אלתנור,0
וירכבהא,0
עלי,0
תלך,0
אלאחג'אר.,0
וקד,0
יעמל,0
פי,0
אג'נאב,0
אלכירה,0
מוצ'ע,0
יכון,0
פיה,0
כוז,0
אלזית,0
יתסמי,0
בית,1
הפך,1
ומוצ'ע,0
תכון,0
פיה,0
אלאתאבל,0
יתסמי,0
בית,1
התבלין.,1
ומוצ'ע,0
יכון,0
פיה,0
אלסראג',0
יתסמי,0
בית,1
הנר.,1
פאד'א,0
אנתג'סת,0
אלכירה,0
במגע,1
שרץ,1
אעני,0
אן,0
ימאסהא,0
מן,0
דאכ'להא,0
פקד,0
אנתג'סת,0
הד'ה,0
אלמואצ'ע,0
כלהא,0
לאתצאלהא,0
באלכירה.,0
אמא,0
אן,0
אנתג'סת,0
אלכירה,0
באויר,1
פקט,0
באן,0
יחצל,0
אלשרץ,0
פי,0
אוירה,1
פתנתג'ס,0
אלכירה,0
ולא,0
תנתג'ס,0
הד'ה,0
אלמואצ'ע.,0
וקד,0
בין,0
אלתלמוד,0
אן,0
ר',1
מאיר,1
ג'על,0
הד'ה,0
אלתפרקה,0
ליעלם,0
אן,0
אנתג'אס,0
הד'ה,0
אלמואצ'ע,0
אנמא,0
הו,0
מדרבנן,1
והם,1
ג'עלוהא,0
חבור,1
ואין,1
שורפין,1
עליהן,1
את,1
"התרומה,",1
לאנהא,0
לו,0
כאנת,0
מן,0
נפס,0
אלכירה,0
מדאוריתא,1
לאנתג'סת,0
באנתג'אס,0
אלכירה,0
כיף,0
כאן,0
אנתג'אסהא,0
בין,1
במגע,1
בין,1
באויר.,1
והלכה,1
כר',1
מאיר.,1
