word,is_he
קאל,0
תעלי,0
פי,0
טומאת,1
מת,1
וכל,1
אשר,1
יגע,1
על,1
פני,1
השדה,1
בחלל,1
חרב,1
וגו',1
יטמא,1
שבעת,1
"ימים,",1
וג'א,0
אלנקל,0
אן,0
קולה,0
חלל,1
חרב,1
אלגרץ',0
בה,0
אן,0
אלחרב,0
ואלחלל,0
"סוי,",0
אד',0
לא,0
פרק,0
בין,1
חלל,1
חרב,1
או,1
חלל,1
אבן,1
או,1
חלל,1
"עץ,",1
ואנמא,0
יריד,0
בד'לך,0
אן,0
כל,0
מא,0
ינצ'ם,0
באלחרב,0
אלתי,0
קתל,0
בהא,0
אלמת,0
יטמא,1
שבעת,1
ימים.,1
וכד'לך,0
סאיר,0
כלי,1
מתכות,1
וכלי,1
שטף,1
קיאסא,0
עלי,0
אלחרב,0
עלי,0
מא,0
שרחנא,0
ובינא,0
פי,0
צדר,0
הד'א,0
אלסדר.,0
פצח,0
מן,0
ד'לך,0
אן,0
אלכלים,0
אלמד'כורה,0
אלתי,0
תנצ'ם,0
באלמית,0
אלכלים,0
אלת'אניה,0
אלתי,0
תנצ'ם,0
בתלך,0
אלכלים,0
טמאין,1
טומאת,1
שבעה.,1
וקד,0
בינא,0
פי,0
אלהלכה,0
אלתי,0
קבל,0
הד'ה,0
אן,0
כל,0
מא,0
הו,0
טמא,1
טומאת,1
שבעה,1
אקל,0
מא,0
יפעל,0
מן,0
אלנג'אסה,0
אן,0
יג'על,0
כל,0
מא,0
יגע,1
בו,1
טמא,1
טומאת,1
ערב,1
והו,0
קולה,0
והנפש,1
הנוגעת,1
תטמא,1
עד,1
"הערב,",1
פלד'לך,0
קאל,0
השלישי,1
בין,1
אדם,1
בין,1
כלים,1
טמא,1
טומאת,1
ערב.,1
