word,is_he
הד'ה,0
אלארובות,0
הי,0
באן,0
תכון,0
בית,1
"ועליה,",1
ותכון,0
ארובה,0
פי,0
סקף,0
אלבית,0
וארובה,0
פי,0
סקף,0
אלעליה,0
מחאד'יה,0
"להא,",0
חתי,0
אד'א,0
כאנת,0
אלטומאה,0
תחת,0
אלרוזנה,0
פי,0
אלבית,0
כאנת,0
מכשופה,0
ללסמא.,0
וקד,0
תקדם,0
לך,0
אן,0
כלי,1
טמא,1
אינו,1
"חוצץ,",1
ואן,0
אד'א,0
כאנת,0
טומאה,1
בבית,1
ופי,0
סקפה,0
פותח,1
טפח,1
פאן,0
אלעליה,0
טמאה,1
לכ'רוג',0
אלטומאה,0
להא.,0
פלד'לך,0
אד'א,0
נתן,1
דבר,1
שהוא,1
מקבל,1
טומאה,1
עלי,0
אלרוזנה,0
אלתי,0
פי,0
סקף,0
אלבית,0
פקד,0
אנתג'ס,0
ד'לך,0
אלכלי,0
ונטמא,1
"הבית,",1
פלמא,0
צאר,0
אלבית,0
כלה,0
טמא,1
ופי,0
סקפה,0
פותח,1
טפח,1
כ'רג'ת,0
אלטומאה,0
מן,0
תלך,0
אלרוזנה,0
ואנתג'סת,0
אלעליה,0
איצ'א.,0
לאן,0
ד'לך,0
אלכלי,0
לא,0
יחג'ב,0
בין,0
אלבית,0
ועליה,0
לכונה,0
כלי,1
טמא.,1
אמא,0
אן,0
ג'על,0
הד'א,0
אלכלי,0
עלי,0
אלרוזנה,0
אלפוקאניה,0
אלתי,0
פי,0
סקף,0
אלעליה,0
פהו,0
בין,0
אנה,0
אנתג'סת,0
העליה,1
"והבית,",1
פאן,0
כאן,0
כלי,1
שאינו,1
מקבל,1
טומאה,1
פהו,0
חוצץ,1
בפני,1
"הטומאה,",1
פלד'לך,0
אן,0
ג'עלה,0
עלי,0
אלרוזנה,0
אלתי,0
פי,0
סקף,0
אלבית,0
פאלבית,0
טמא,1
ואלעליה,0
טאהרה.,0
ואן,0
ג'עלה,0
עלי,0
אלרוזנה,0
אלתי,0
פי,0
אלעליה,0
פאלבית,0
ואלעליה,0
טמאים,1
וכל,0
מא,0
יחאד'י,0
תלך,0
אלרוזנה,0
מן,0
פוק,0
אלעליה,0
אלי,0
אלסמא,0
טאהר.,0
