word,is_he
שעל,1
גבי,1
"הפתח,",1
אן,0
יכון,0
כ'ארג',0
מן,0
"אלמשקוף,",0
פלכונה,0
פוק,0
שנים,1
עשר,1
טפח,1
אחתאג',0
אן,0
יכון,0
פיה,0
פותח,1
טפח,1
וחיניד',0
יביא,1
טומאה,1
לבית.,1
ת'ם,0
קאל,0
שעל,1
גבי,1
החלון,1
רום,1
אצבעים,1
פמא,0
דונהא,0
וחיניד',0
יביא,1
טומאה,1
לבית.,1
ותבין,0
פי,0
אלתוספתא,0
אן,0
יחתאג',0
אן,0
יכון,0
רוחב,0
הד'א,0
אלזיז,0
רוחב,1
הגודל.,1
הד'א,0
אן,0
כאן,0
חלון,1
שהיא,1
עשויה,1
לתשמיש,1
אלד'י,0
שעורה,1
טפח,1
על,1
טפח,1
כמא,0
"תקדם,",0
אמא,0
חלון,1
העשויה,1
למאור,1
אלד'י,0
שעורה,1
מלא,1
מקדח,1
פאי,0
מקדאר,0
כאן,0
אלזיז,0
ובאי,0
ארתפאע,0
כאן,0
יביא,1
את,1
"הטומאה,",1
פכאנה,0
יקול,0
שעל,1
גבי,1
חלון,1
העשויה,1
למאור,1
ששעורה,1
מלא,1
מקדח,1
כל,1
שהוא.,1
ור',1
יוסי,1
קאל,0
אן,0
יחתאג',0
אן,0
יכון,0
ארתפאע,0
הד'א,0
אלזיז,0
איצ'א,0
מלוא,1
מקדח,1
פמא,0
דונה.,0
ואין,1
הלכה,1
כר',1
יוסי.,1
