word,is_he
נוגעות,1
בקרנותיהן,1
עלי,0
הד'ה,0
אלצורה.,0
הנוגע,1
בשניה,1
טמא,1
טומאת,1
שבעה,1
לאנהא,0
ג'ז,0
מן,1
אהל,1
המת.,1
וכלים,1
שתחתיה,1
טהורין,1
לאן,0
ליס,0
יוצל,0
בינהא,0
ובין,0
אלטבלה,0
אלתי,0
תחתהא,0
אלטומאה,0
פותח,1
טפח,1
חתי,0
תבוא,1
לה,1
"טומאה,",1
ואנמא,0
תמאסת,0
אלזאויה,0
ללזאויה,0
פקט,0
כמא,0
"בינא,",0
פחצל,0
הד'א,0
אלמעני,0
וקס,0
עליה.,0
וקולה,0
עד,1
שיהא,1
בו,1
רבוע,1
בפותח,1
טפח,1
לאן,0
קד,0
יכון,0
קליל,0
אלארתפאע,0
או,0
קליל,0
אלערץ',0
פהו,0
לא,1
יביא,1
טומאה,1
תחתיו,1
חתי,0
יכון,0
פיה,0
טפח,1
על,1
טפח,1
על,1
רום,1
טפח,1
פמא,0
זאד.,0
