word,is_he
אלאצל,0
ענדנא,0
אן,0
אד'א,0
כאן,0
אלמית,0
פי,0
בית,0
ולד'לך,0
אלבית,0
אבואב,0
כת'ירה,0
מן,0
ג'מיע,0
"ג'האתה,",0
וכאן,0
תסקיף,0
אלבית,0
כ'ארג',0
עלי,0
אלאבואב,0
מת'ל,0
אלרואשן,0
אלכ'ארג'ה,0
מן,0
"אלדיאר,",0
פכל,0
מן,0
יג'לס,0
כ'ארג,0
אלבית,0
תחת,0
ד'לך,0
אלרושן,0
אלכ'ארג',0
מן,0
אלבית,0
פהו,0
טמא,1
מן,0
אג'ל,0
אלבאב,0
ועלי,0
אן,0
אלבאב,0
"מגלוק,",0
אעני,0
ג'מיע,0
אבואב,0
אלבית,0
ואן,0
כאנת,0
כלהא,0
מגלוקה,0
פאן,0
אלבית,0
מטמא,1
מכל,1
סביביו.,1
פאד'א,0
פתח,0
באב,0
ואחד,0
מנהא,0
ליכ'רג',0
מנה,0
אלמית,0
פחצל,0
ד'לך,0
אלבאב,0
פקט,0
"טמא,",1
ובקי,0
דאיר,0
אלבית,0
כלה,0
מן,0
כ'ארג',0
טאהר,0
ועלי,0
אנה,0
דאיר,0
"ברואשן,",0
ואלג'אלס,0
תחת,0
תלך,0
אלרואשן,0
לא,0
ינתג'ס,0
אד',0
ואלבאב,0
מגלק,0
ואלמית,0
לם,0
יעול,0
עלי,0
אכ'ראג'ה,0
מן,0
הד'א,0
אלבאב,0
"אלמגלק,",0
והד'א,0
הו,0
מעני,0
הציל,1
על,1
הפתחים.,1
פאן,0
כאן,0
אלמת,0
בג'מלתה,0
פי,0
אלבית,0
פיחתאג',0
אן,0
יכון,0
פי,0
אלבאב,0
אלד'י,0
יציל,1
על,1
הפתחים,1
ארבעה,1
טפחים,1
פמא,0
"זאד,",0
ואן,0
כאן,0
אלד'י,0
פי,0
אלבית,0
כזית,1
מן,1
המת,1
פיחתאג',0
אן,0
יכון,0
פי,0
אלפתח,0
אלד'י,0
יציל,1
על,1
הפתחים,1
טפח,1
פמא,0
זאד.,0
והד'א,0
כלה,0
אלד'י,0
קלנא,0
אן,0
הציל,1
על,1
הפתחים,1
אד'א,0
כאנת,0
תלך,0
אלאבואב,0
כלהא,0
"מגלוקה,",0
אמא,0
אד'א,0
כאנת,0
מפתוחה,0
ועלי,0
אנה,0
עול,0
עלי,0
ואחד,0
מנהא,0
פקט,0
אן,0
יכ'רג',0
מנה,0
אלמית,0
פכל,0
מן,0
ג'לס,0
תחת,0
אלסקף,0
אלמתצל,0
באלבית,0
פהו,0
טמא,1
ולו,0
לם,0
יכן,0
פי,0
ד'לך,0
אלפתח,0
אלמפתוח,0
גיר,0
טפח,1
על,1
"טפח,",1
והד'א,0
הו,0
מעני,0
קולה,0
אבל,1
להוציא,1
את,1
הטומאה,1
בפותח,1
טפח.,1
וקולה,0
גדול,1
מכזית,1
כמת,1
יעני,0
אנה,0
יחתאג',0
פתח,0
מן,0
ארבעה,0
טפחים,1
וחיניד',0
יציל,1
על,1
כל,1
הפתחים.,1
וכד'לך,0
יעתקד,0
ר',1
יוסי,1
פי,0
שזרה,1
וגלגולת.,1
ואינה,1
הלכה.,1
