word,is_he
יקול,0
אן,0
אד'א,0
כאן,0
פי,0
הד'ה,0
אלארובה,0
שבין,1
בית,1
לעליה,1
כלי,1
גללים,1
או,1
כלי,1
אבנים,1
או,1
כלי,1
אדמה,1
פאנה,0
יציל,0
עלי,0
כל,0
מא,0
פי,0
אלעליה,0
בין,1
אדם,1
בין,1
כלים,1
בין,1
אכלין,1
ומשקין,1
וכלי,1
"חרש,",1
לאן,0
הד'ה,0
כלהא,0
לא,0
תקבל,0
נג'אסה,0
ראסא,0
כמא,0
בינא,0
פי,0
עאשר,0
"כלים,",1
ולד'לך,0
תציל,1
בצמיד,1
פתיל,1
על,1
הכל.,1
ואנמא,0
קלנא,0
פי,0
כלי,1
חרש,1
אנה,0
אינו,1
מציל,1
בצמיד,1
פתיל,1
אלא,1
על,1
האכלין,1
ועל,1
המשקין,1
ועל,1
כלי,1
חרש,1
פקט,0
לכונה,0
טמא,1
על,1
גב,1
עם,1
הארץ,1
כמא,0
בינא,0
הנאך,0
פי,0
עאשר,0
כלים.,1
ולד'לך,0
קאל,0
הנא,0
אנה,0
אן,0
כאן,0
פי,0
הד'ה,0
אלארובה,0
כלי,1
שהוא,1
טהור,1
לקודש,1
או,1
לחטאת,1
פאנה,0
מציל,1
על,1
כל,1
מה,1
שבעליה,1
ועלי,0
אנה,0
כלי,1
של,1
"חרש,",1
לאן,0
אלעלה,0
אלתי,0
מן,0
אג'להא,0
קלנא,0
כלי,1
חרש,1
אינו,1
מציל,1
על,1
הכל,1
ארתפעת.,0
ובין,0
ארתפאע,0
אלעלה,0
וקאל,0
שהכל,1
נאמנין,1
על,1
החטאת,1
יעני,0
עלי,0
טהרת,1
פרה,1
"אדומה,",1
פמנד',0
אעד,0
הד'א,0
אלכלי,0
לחטאת,0
פהו,0
"יחרזה,",0
וקולה,0
פיה,0
אנה,0
טאהר,0
מצדק,0
ועלי,0
אנה,0
עם,1
"ארץ,",1
אסנד,0
ד'לך,0
לקולה,0
תעלי,0
והיתה,1
לעדת,1
בני,1
ישראל,1
למשמרת,1
למי,1
נדה,1
קאלוא,0
הכל,1
נאמנין,1
על,1
שמירתה.,1
וכד'לך,0
אן,0
כאן,0
הד'א,0
אלכלי,0
חרש,1
טהור,1
לקודש,1
פאן,0
לעט'מהֿ,0
אלקודש,0
לא,0
יתהאון,0
בה,0
ולו,0
אלעם,0
ארץ,0
עלי,0
מא,0
תבין,0
פי,0
אכ'ר,0
חגיגה,1
פי,0
קולהם,0
אן,0
הכל,1
נאמנין,1
על,1
טהרת,1
יין,1
ושמן,1
של,1
קודש,1
כל,1
ימות,1
השנה.,1
פלמא,0
עלמנא,0
אן,0
כלי,1
קודש,1
וכלי,1
חטאת,1
ולו,0
כאן,0
של,1
חרש,1
פאנה,0
טהור,1
ענד,0
אלעם,0
ארץ,0
קלנא,0
אנה,0
יציל,0
פי,0
הד'ה,0
אלעליה,0
לאנה,0
כלי,1
"טהור,",1
וגאיהֿ,0
מא,0
קלנא,0
כלי,1
טמא,1
אינו,1
"חוצץ,",1
והד'א,0
הו,0
מעני,0
קולה,0
מפני,1
שהכלים,1
טהורין,1
וכלי,1
חרש,1
טהורין,1
תקדיר,0
ד'לך,0
עלי,0
ג'ההֿ,0
אלשרח,0
"הכד'א,",0
מפני,1
מה,1
מצילין,1
אלו,1
על,1
הכל,1
מפני,1
שהכלים,1
של,1
אבן,1
ושל,1
אדמה,1
ושל,1
גללים,1
"טהורים,",1
וכן,1
כלי,1
חרש,1
הטהורים,1
לקודש,1
ולחטאת,1
בחזקת,1
טהרה,1
ואפילו,1
אצל,1
עם,1
הארץ.,1
ת'ם,0
רג'ע,0
אלי,0
חכם,0
אכ'ר,0
וקאל,0
ומצילין,1
עם,1
דפנות,1
אהלים,1
יעני,0
אן,0
כמא,0
הצילו,1
הכלים,1
פי,0
אעלי,0
אלאוהל,0
בכסוי,0
פקט,0
כמא,0
באן,0
הנא,0
פי,0
ארובה,1
שבין,1
בית,1
לעליה,1
כד'לך,0
איצ'א,0
תציל,1
הכלים,1
אד'א,0
כאנת,0
אפמאם,0
תלך,0
אלכלים,0
מגטיה,0
בדפנות,1
"אהלים,",1
ואכ'ד',0
ימת'ל,0
ד'לך,0
פקאל.,0
