word,is_he
קד,0
עלמת,0
אן,0
אלנתקים,0
הי,0
נגעי,1
ראש,1
או,1
"זקן,",1
ואעלמתך,0
אנהמא,0
אעני,0
הראש,1
והזקן,1
אין,1
מצטרפין,1
זה,1
עם,1
זה,1
ואין,1
פושין,1
מזה,1
"לזה,",1
ואעלמתך,0
אן,0
הד'ה,0
אלנגעים,0
אלתי,0
תכון,0
פי,0
האד'ין,0
אלעצ'וין,0
הי,0
אן,0
יעדם,0
אלשער,0
אלטביעי,0
ויכבר,0
בדלה,0
שער,1
צהוב,1
"דק,",1
או,0
אלפשיון,0
והו,0
אמתדאד,0
אלנתף,0
וסקוט,0
"אלשער,",0
וד'לך,0
קולה,0
שער,1
צהוב,1
"דק,",1
וצהוב,1
הו,0
אללון,0
"אלד'הבי,",0
והו,0
לון,0
מכ'תלט,0
מן,0
אלצפרה,0
"ואלחמרה,",0
קאלוא,0
למה,1
הוא,1
דומה,1
לתבנית,1
"הזהב,",1
והד'א,0
הו,0
מעני,0
"לקוי,",0
לאן,0
לקה,0
יקולון,0
למן,0
אנצ'ר,0
באי,0
וג'ה,0
כאן,0
מן,0
"אלאצ'ראר,",0
פיסמון,0
פסאד,0
לון,0
הד'א,0
אלשער,0
לקוי.,0
ובקי,0
קולה,0
תעלי,0
"דק,",0
יקול,0
ר',1
עקיבה,1
מענאה,0
"קציר,",0
פיקול,0
אן,0
קולה,0
צהוב,1
דק,1
הו,0
לקוי,1
קצר.,1
ור',1
יוחנן,1
בן,1
נורי,1
יקול,0
אן,0
מעני,0
דק,0
"רקיק,",0
ואמא,0
טולה,0
פמא,0
יפיד.,0
ואסתדל,0
מן,0
קול,0
אלנאס,0
קנה,1
דק,1
ומקל,1
דק,1
ואן,0
כאן,0
"טויל,",0
והד'א,0
הו,0
מעני,0
קולה,0
דק,1
לקוי,1
קצר,1
או,1
דק,1
לקוי,1
ארוך,1
יעני,0
אנה,0
טמא,1
ודק,0
"יתסמי,",0
סוי,0
כאן,0
לקוי,1
ארוך,1
או,1
לקוי,1
קצר,1
אד',0
והו,0
רקיק.,0
ור',1
עקיבה,1
יסתדל,0
מן,0
קולהם,0
דק,1
שערו,1
של,1
פלוני,1
יענון,0
קצרה,0
לא,0
"גלט'ה,",0
פלד'לך,0
לא,0
יטמא,0
ענדה,0
אלא,0
דק,1
לקוי,1
"קצר,",1
אמא,0
דק,1
לקוי,1
ארוך,1
פליס,0
הו,0
סימן,1
"טומאה,",1
והד'א,0
הו,0
קולה,0
ולא,0
דק,0
לקוי,0
ארוך.,0
והלכה,1
כר',1
עקיבה.,1
