word,is_he
קד,0
אעלמתך,0
אן,0
אלנתק,0
הו,0
ד'האב,0
אלשער,0
מן,0
בעץ',0
אלראס,0
ובעץ',0
אללחיה.,0
פאן,0
כאן,0
פי,0
ד'לך,0
אלמוצ'ע,0
שתי,1
שערות,1
מן,0
שער,1
צהוב,1
דק,0
פהו,0
"טמא,",1
וכד'לך,0
אן,0
אמתד,0
אלנתק,0
פי,0
אלראס,0
או,0
אללחיה,0
פאן,0
כאן,0
מע,0
ד'לך,0
אלשער,0
צהוב,1
שתי,1
שערות,1
שחורות,1
פהו,0
טהור.,1
פאן,0
כאן,0
הד'א,0
אלשער,0
אלאסור,0
נבת,0
פי,0
אלנתק,0
פהו,0
יתסמי,0
"הצומח,",1
ואן,0
כאן,0
בקי,0
פי,0
אלנתק,0
ענד,0
מא,0
חדת',0
שתי,1
שערות,1
שחורות,1
פמא,0
זאד,0
מע,0
אלשער,0
צהוב,1
פהו,0
יתסמי,0
"המשואר,",1
וכלאהמא,0
מצילין.,0
ומעני,0
מצילין,0
אנה,0
אד'א,0
כאן,0
מע,0
אלשער,0
צהוב,1
פאן,0
ד'לך,0
אלנתק,0
"טהור,",1
ואלפרק,0
בינהמא,0
אן,0
הצומח,0
חית',0
מא,0
נבת,0
"יציל,",0
והמשואר,0
אן,0
בקי,0
דאכ'ל,0
אלנתק,0
חתי,0
יכון,0
מבוצר,0
פהו,0
"יציל,",0
ואן,0
כאן,0
בקי,0
מן,0
ג'אנב,0
אלנתק,0
פאנה,0
לא,0
יציל,0
לאן,0
ד'לך,0
הו,0
שכל,0
אלנתק,0
אן,0
ינתתף,0
מוצ'ע,0
ויבקי,0
אלשער,0
דאיר,0
בה.,0
פאן,0
כאן,0
ד'לך,0
אלשער,0
אלאסוד,0
אלד'י,0
בצד,1
הנתק,1
בעיד,0
ען,0
ג'מלהֿ,0
שער,0
אלראס,0
או,0
אללחיה,0
פאנה,0
איצ'א,0
יציל,0
והד'א,0
הו,0
קולה,0
עד,1
שיהא,1
רחוק,1
מן,1
הקמה,1
שתי,1
שערות,1
ת'ם,0
בין,0
אן,0
קולה,0
ושער,1
שחור,1
צמח,1
בו,1
יחתאג',0
אן,0
תכון,0
שערתין,0
פמא,0
זאד,0
ושתיהן,1
שחורות.,1
אמא,0
אן,0
כאנת,0
אלואחדה,0
לבנה,1
או,1
צהובה,1
ואלאכ'רי,0
שחורה,1
אינן,1
מצילות.,1
