word,is_he
הכל,1
ולו,0
אלעביד,0
ואלצגאר,0
אלסן,0
ואפילו,1
קטן,1
בן,1
יומו,1
מטמא,1
בנגעים.,1
ואנת,0
תג'ד,0
נץ,0
אלתורה,0
פי,0
ג'מלהֿ,0
אלנגעים,0
והסגירו,1
"הכהן,",1
טמא,1
יטמאנו,1
"הכהן,",1
וטהרו,1
"הכהן,",1
פג'על,0
אנג'אז,0
אלחכם,0
פי,0
אלהסגר,0
ואלהחלט,0
ואלפטור,0
ללכהן.,0
ואעלם,0
אן,0
אלחלל,0
פסול,1
לראית,1
נגעים,1
לקולה,0
או,1
אל,1
אחד,1
מבניו,1
"הכהנים,",1
ומעלום,0
אן,0
בני,1
אהרן,1
"כהנים,",1
ואנמא,0
קאל,0
הכהנים,1
עד,1
שיהוא,1
בכיהונם,1
להוציא,1
חללים.,1
וקאל,0
וראהו,1
"הכהן,",1
יעני,0
אנה,0
לא,0
ינט'ר,0
גיר,0
נגע,1
"אחד,",1
פאד'א,0
ראה,0
וחכם,0
פיה,0
במא,0
חכם,0
ירג'ע,0
וינט'ר,0
נגע,1
"אחר,",1
וכד'לך,0
אן,0
כאנת,0
שני,1
נגעים,1
פי,0
שכ'ץ,0
ואחד,0
לא,0
ינט'רהמא,0
מעא,0
לקול,0
אללה,0
וראה,1
הכהן,1
את,1
הנגע.,1
וקולה,0
בתחלה,1
בסוף,1
שבוע,1
מענאה,0
אן,0
הד'ה,0
אלאחכאם,0
כלהא,0
לא,0
תכון,0
אלא,0
אמא,0
פי,0
אול,0
מא,0
יקף,0
בין,0
ידיה,0
פאנה,0
חיניד',0
יפטור,1
או,1
יסגיר,1
או,1
יחליט.,1
או,0
פי,0
אכ'ר,0
"סאבע,",0
אמא,0
אכ'ר,0
אלסאבע,0
אלאול,0
או,0
אלת'אני,0
אן,0
כאן,0
ממן,0
ילזמה,0
הסגר,1
"שני,",1
אמא,0
אן,0
יסגיר,1
או,1
יחליט,1
או,1
יפטור,1
קבל,0
כמאל,0
אלסאבע,0
או,0
בעדה,0
פלא,0
סביל,0
אלי,0
"ד'לך,",0
לאן,0
אלנץ,0
אנמא,0
חכם,0
אן,0
תכון,0
אלרויה,0
פי,0
אול,0
אלחאל,0
או,0
פי,0
אואכ'ר,0
אלאסאבע.,0
וקולה,0
אין,1
מסגירין,1
את,1
המוחלט,1
יריד,0
בה,0
אנה,0
אד'א,0
חדת',0
לה,0
נגע,0
יוג'ב,0
אלהסגר,0
בתוך,1
ימי,1
חלוטו,1
לא,1
יסגירנו,1
"בו,",1
ואסנד,0
ד'לך,0
לקולה,0
לא,1
יסגירנו,1
כי,1
טמא,1
הוא.,1
וכד'לך,0
אין,1
מחליטין,1
בתוך,1
ימי,1
החלט,1
אד'א,0
חדת',0
לה,0
נגע,1
אחר,1
יוג'ב,0
לה,0
אלהחלט,0
"איצ'א,",0
ולא,0
יחליט,1
במא,0
יוג'ב,0
אלהחלט,0
בתוך,1
ימי,1
"הסגר,",1
ולא,1
יסגיר,1
בנגע,1
אחר,1
בתוך,1
ימי,1
הסגר.,1
וקד,0
תבין,0
פי,0
ספרא,1
אנה,0
יסוג,0
אן,0
יקול,0
לה,0
פי,0
וקת,0
ואחד,0
אמא,0
בתחלה,1
או,1
בסוף,1
שבוע,1
הרי,1
את,1
מוסגר,1
בזה,1
ומוחלט,1
"בזה,",1
או,1
מוחלט,1
בזה,1
ומוסגר,1
"בזה,",1
אמא,0
בעד,0
אן,0
יבת,0
אחד,0
אלחכמין,0
במא,0
יוג'ב,0
אלנגע,0
אלואחד,0
ליס,0
ירג'ע,0
יחכם,0
עליה,0
במא,0
יוג'בה,0
אלנגע,0
אלת'אני,0
והו,0
בתוך,1
הסגרו,1
של,1
נגע,1
ראשון,1
או,1
בתוך,1
חלוטו.,1
וקולה,0
מסגיר,1
ופוטר,1
מענאה,0
אנה,0
בתחלה,1
או,1
בסוף,1
שבוע,1
יקול,0
לה,0
הרי,1
את,1
מוסגר,1
בנגע,1
זה,1
ופטור,1
"מזה,",1
וכד'לך,0
איצ'א,0
לה,0
אן,0
יקול,0
לה,0
הרי,1
את,1
מוחלט,1
בנגע,1
זה,1
ופטור,1
מזה.,1
וקד,0
תבין,0
פי,0
אלתוספתא,0
אן,0
אלכהן,0
אלד'י,0
ירי,0
אלנגע,0
אול,0
אלחאל,0
הו,0
אלד'י,0
יראה,1
בסוף,1
שבוע,1
ראשון,1
ובסוף,1
שבוע,1
שני,1
והו,0
בנפסה,0
אלד'י,0
יסגיר,1
או,1
יחליט,1
או,1
יפטור.,1
ואן,0
מאת,0
אלכהן,0
אלאול,0
רואהו,1
כהן,1
"שני,",1
ואד'א,0
ראי,0
אלנגע,0
הכהן,1
והסגירו,1
ומאת,0
אלכהן,0
פאן,0
חכם,0
אלפשיון,0
קד,0
ירתפע,0
פי,0
ד'לך,0
"אלשבוע,",0
לאן,0
אלפשיון,0
יעלם,0
באלמקאיסה,0
במא,0
תקדם.,0
וקד,0
קדמנא,0
אן,0
לא,0
ינט'ר,0
אלנגעים,0
אלא,0
מן,0
ארתאץ',0
פי,0
ג'מיע,0
אנואעהא,0
כמא,0
בינת,0
אלתוספתא,0
פי,0
קולהם,0
עד,1
שיהא,1
בקי,1
בהן,1
ובשמותיהן.,1
ופי,0
ספרא,1
ולהורות,1
ביום,1
הטמא,1
וכו',1
קאלוא,0
מלמד,1
שאינו,1
רואה,1
את,1
הנגעים,1
עד,1
שיורנו,1
רבו.,1
