word,is_he
אלנץ,0
לא,0
יחכם,0
פי,0
שחין,1
ומכוה,1
אד'א,0
חדת',0
פיהמא,0
צרעת,1
בהסגר,1
"שני,",1
ואנמא,0
ג'א,0
פיהא,0
אלהסגר,0
שבעת,1
ימים,1
פקט,0
פי,0
מא,0
יחתאג',0
"הסגר,",1
ובעד,0
אלסאבע,0
יחליט,1
או,1
יפטור.,1
ולם,0
יד'כר,0
פיהמא,0
"מחיה,",1
ואנמא,0
קאל,0
פי,0
נגע,1
השחין,1
ושערה,1
הפך,1
"לבן,",1
וקאל,0
פיה,0
איצ'א,0
ואם,1
פשה,1
תפשה,1
בעור.,1
וקאל,0
פי,0
מכות,1
אש,1
והנה,1
נהפך,1
שער,1
לבן,1
בבהרת,1
וקאל,0
פיהא,0
איצ'א,0
אם,1
פשה,1
תפשה,1
בעור.,1
ולא,0
אחתאג',0
אן,0
אעיד,0
פי,0
כל,0
מוצ'ע,0
אן,0
אלפשיון,0
לא,0
ימכן,0
אלא,0
בעד,0
מדה,0
לא,0
אקל,0
מן,0
שבוע,0
כמא,0
תאצל.,0
