word,is_he
מעלום,0
אן,0
אד'א,0
זאל,0
אלפשיון,0
אלד'י,0
הוחלט,1
בו,1
פאנה,0
טהור.,1
פלמא,0
הוחלטו,1
שניהם,1
בפשיון,1
אלד'י,0
ת'בת,0
פיהמא,0
ג'מיעא,0
ובעד,0
ד'לך,0
רג'ע,0
בזה,1
כסלע,1
ובזה,1
"כסלע,",1
לו,0
תחקקנא,0
אלד'י,0
כאנת,0
אולא,0
בהרתו,1
כסלע,1
לכאן,1
טהור,1
לאן,1
הלך,1
"הפשיון,",1
פלמא,0
וקע,0
אלשך,0
שניהם,1
טמאים,1
אד',0
וקד,0
"הוחלטו,",0
וליס,0
באלשך,0
יכ'רג',0
מן,0
"חזקתו,",0
והו,0
קולהם,0
וטהרו,1
את,1
הודאי,1
הוא,1
מטהר,1
ואינו,1
מטהר,1
את,1
הספק.,1
פאד'א,0
רג'ע,0
בזה,1
כגריס,1
ובזה,1
כגריס,1
פקד,0
צח,0
בודאי,0
אן,0
הלך,1
הפשיון,1
משניהם,1
אלד'י,0
בו,1
"הוחלטו,",1
פלד'לך,0
שניהם,1
טהורים.,1
