word,is_he
שם,1
לווי,1
אסם,0
מצ'אף.,0
אזוב,1
זה,1
יעני,0
אנה,0
אד'א,0
ראה,0
אלראי,0
קאל,0
אזוב,1
הוא,1
זה,1
דון,0
אן,0
יערפה,0
בשי.,0
ואנמא,0
ילזם,0
אלאזוב,0
אלתרומה,0
אד'א,0
זרע,1
פי,0
אלבסאתין,0
עלי,0
אלאצול,0
אלתי,0
תבינת,0
פי,0
זרעים.,1
ולא,0
תסתנכר,0
קולה,0
פי,0
אזוב,1
תרומה,1
טמאה,1
פסול,1
ותקול,0
כיף,0
ימכן,0
בה,0
אלהזאה,0
והו,0
ינג'ס,0
מי,1
חטאת,1
ולו,0
כאנת,0
תרומה,1
טהורה,1
עלי,0
מא,0
"תקדם,",0
לאנה,0
קד,0
תבין,0
אן,0
אלתרומה,0
לא,0
תנג'ס,0
מי,1
חטאת,1
אלא,0
אן,0
כאנת,0
כביצה,1
ולו,0
כאנת,0
טמאה.,0
ותמרות,1
הנא,0
יסמי,0
אלועא,0
אלד'י,0
יכון,0
פיה,0
אלבזר,0
פי,0
אטראף,0
אלקצ'באן.,0
ויונקות,1
והי,0
אלתי,0
שרח,0
גבעולין,1
הו,0
אלנואר,0
קבל,0
אן,0
יפתח,0
בל,0
והו,0
מג'תמע,0
פי,0
כם,0
ואחד.,0
ת'ם,0
קאל,0
ואין,1
חייבין,1
על,1
היונקות,1
על,1
ביאת,1
המקדש,1
מעני,0
ד'לך,0
אנה,0
אד'א,0
כאן,0
טמא,1
והוזה,1
עליו,1
ביונקות,1
ובא,1
אל,1
המקדש,1
פאנה,0
פטור,0
ועלי,0
אנהא,0
לא,0
יג'וז,0
בהא,0
"אלהזאה,",0
אד',0
והוזה,1
עליו,1
בהא,0
לא,0
נקול,0
פיה,0
מקדש,1
ה',1
טמא.,1
ואין,1
הלכה,1
כר',1
אלעזר.,1
