word,is_he
ר',1
אליעזר,1
יקול,0
שמא,1
רבעה,1
הגוי,1
פתכון,0
פסולה.,1
ואלחכמים,0
לא,1
יחושו,1
לרביעה,1
לאנה,0
לא,0
יפסד,0
בהימתה,0
בהד'א,0
אלמעני.,0
ואלכל,0
מקרון,0
אן,0
פרת,1
חטאת,1
שנרבעה,1
פסולה,1
לקול,0
אללה,0
כי,1
משחתם,1
בהם,1
מום,1
"בם,",1
כל,1
שהמום,1
פוסל,1
בו,1
דבר,1
ערוה,1
פוסל,1
בו,1
",",0
לאן,0
משחתם,0
מענאה,0
דבר,1
ערוה,1
מת'ל,0
קולה,0
כי,1
השחית,1
כל,1
בשר,1
את,1
דרכו,1
עלי,0
מא,0
בינא,0
פי,0
אלפרק,0
אלסאדס,0
מן,0
תמורה.,1
ויקול,0
איצ'א,0
ר',1
אליעזר,1
אן,0
פרה,1
אדומה,1
ולו,0
תחקקנא,0
אנהא,0
לא,0
נרבעה,0
לא,0
תוכ'ד',0
מן,0
אלגוים,0
לקול,0
אללה,0
פיהא,0
דבר,1
אל,1
בני,1
ישראל,1
ויקחו,1
אליך,1
פרה,1
"אדומה,",1
יקול,0
בני,1
ישראל,1
יקיחו,1
ואין,1
הגוים,1
יקיחו.,1
ואלחכמים,0
יקולון,0
אן,0
אד'א,0
אשתראהא,0
ישראל,1
פהם,0
אלד'ין,0
אעטאוהא.,0
וכד'לך,0
סאיר,0
אלקרבנות,0
ירי,0
ר',1
אליעזר,1
אנהא,0
לא,0
תשתרי,0
מן,0
אלגוים,0
משום,1
רביעה.,1
ואלחכמים,0
יקולון,0
אן,0
אלגוי,0
לא,0
יפעל,0
הד'א,0
בבהמתו,0
אנה,0
יפסדהא.,0
ומעני,0
מן,1
החדש,1
ומן,1
הישן,1
יעני,0
אלמנחות,0
אנהא,0
תג'אב,0
מן,1
החדש,1
ומן,1
"הישן,",1
גיר,0
אלעומר,0
ושתי,0
הלחם,0
עלי,0
מא,0
בינא,0
ואוצ'חנא,0
פי,0
ת'אמן,0
מנחות.,1
ואין,1
הלכה,1
כר',1
אליעזר.,1
