word,is_he
קאל,0
תעלי,0
אדומה,1
"תמימה,",1
וקאלוא,0
אם,1
תמימה,1
למומין,1
הרי,1
כבר,1
נאמר,1
אשר,1
אין,1
בה,1
"מום,",1
אלא,1
תמימה,1
תמימה,1
לאדמות,1
יעני,0
כאמלהֿ,0
אלחמרה.,0
בתוך,1
גומה,1
אחת,1
פי,0
חפרה,0
ואחדה,0
יעני,0
אן,0
יכון,0
מנבתהא,0
ואחד.,0
ר',1
יהודה,1
אומר,1
אפילו,1
בתוך,1
כוס,1
אחד,1
וכוס,0
הו,0
דאירה,0
מן,0
אלג'סם,0
פיהא,0
ג'מלהֿ,0
שער,0
פי,0
סטח,0
ואחד.,0
והן,1
מוכיחות,1
זו,1
את,1
זו,1
תדל,0
ואחדה,0
עלי,0
ת'אניה,0
והן,0
אן,0
תכון,0
אלואחדה,0
קריבה,0
מן,0
אלאכ'רי,0
ומקאבלה,0
להא,0
פי,0
סטח,0
ואחד.,0
וסיבין,0
פי,0
סאדס,0
נדה,1
אן,0
שעור,1
שתי,1
שערות,1
האמורות,1
בכל,1
מקום,1
כדי,1
שיהו,1
ניטלות,1
בזוג.,1
פאד'א,0
כאן,0
פי,0
עיקרן,0
אלמאדים,0
קדר,0
ינטל,0
בזוג,0
אד'א,0
קטע,0
ראשן,1
המשחיר,1
פהי,0
כשרה,1
לדברי,1
חכמים.,1
והלכה,1
כחכמים.,1
וכתנא,1
קמא,1
אלד'י,0
יקול,0
שתי,1
שערות,1
פקט,0
תפסול,0
בין,1
שחורות,1
בין,1
לבנות.,1
