word,is_he
אעלם,0
אן,0
כל,1
העוסקין,1
בפרה,1
פי,0
חרקהא,0
וג'מע,0
רמאדהא,0
ומלוי,1
המים,1
והקדוש,1
והו,0
נתינת,1
האפר,1
למים,1
אלכל,0
ג'איז,0
אן,0
יכונוא,0
טבולי,1
יום.,1
ג'אנא,0
פי,0
אלתפסיר,0
אן,0
כל,0
מא,0
קאלה,0
תעלי,0
פי,0
תלך,0
אלפרשה,0
איש,1
טהור,1
אנה,0
טהור,1
למעשר,1
והו,0
טבול,1
יום,1
כמא,0
"בינא,",0
ואלד'ין,0
לא,0
יאמנון,0
באלמנקול,0
יאבדו,1
במהרה,1
יחוג'ון,0
אן,0
יכונוא,0
מעורבי,1
שמש,1
לקולה,0
איש,1
"טהור,",1
וקאל,0
ובא,1
השמש,1
"וטהר,",1
פלא,0
יתסמי,0
טהור,1
חתי,0
יעריב,1
שמשו.,1
פכאנוא,0
עליהם,0
אלסלאם,0
ינג'סון,0
אלמתנאולין,0
להא,0
באחדי,0
אלטמאות,0
אלתי,0
טומאתן,1
טומאת,1
ערב,1
ת'ם,0
יטבול,0
ויציר,0
טבול,1
יום,1
ויתנאול,0
שגלה,0
פי,0
ד'לך,0
"אלנהאר,",0
חתי,0
לא,0
יקע,0
והם,0
אן,0
אלחק,0
מא,0
יבתדעוה,0
אלצדוקין,0
ואן,0
מעורבי,1
שמש,1
תחתאג'.,0
