word,is_he
כלי,1
חרש,1
לחטאת,1
אמא,0
למלאת,1
בו,1
או,1
לקדש,1
בו.,1
טובל,1
ולן,1
על,1
הכבשן,1
יבית,0
עלי,0
אתון,0
אלפכ'אר,0
חתי,0
יפתח,0
אמאמה,0
ויאכ'ד',0
מנה,0
אלכלי,0
בטהרה.,0
וקד,0
תקדם,0
לך,0
פי,0
אהלות,1
אן,0
אלכל,0
מצדקין,0
פי,0
כלי,1
חטאת,1
אנה,0
טהור,1
לקולה,0
והיתה,1
לעדת,1
בני,1
ישראל,1
"למשמרת,",1
כל,1
ישראל,1
ראויין,1
"לשמרה,",1
פלד'לך,0
לו,0
ג'אב,0
אלעם,0
ארץ,0
כלי,1
מביתו,1
וקאל,0
הד'א,0
טהור,1
לחטאת,1
כאן,0
מצדק.,0
והלכה,1
כר',1
יהודה.,1
קאל,0
ובתרומה,1
פותח,1
את,1
הכבשן,1
ונוטל,1
יעני,0
אנה,0
יפתח,0
אלכבשן,0
בעליו,0
אלפכ'ראני,0
ויג'י,0
הד'א,0
אלד'י,0
יריד,0
אן,0
יאכ'ד',0
כלי,1
טהור,1
לתרומה,1
להד'א,0
אלאתון,0
אלמפתוח,0
ויאכ'ד',0
מנה,0
כלי,1
והו,0
"טהור,",1
לאן,0
כלי,1
חרש,1
אנמא,0
ינג'סה,0
אלעם,0
ארץ,0
בעד,0
"טבכ'ה,",0
והו,0
אלי,0
אלאן,0
פי,0
מוצ'עה,0
פי,0
אלאתון,0
ולם,0
ינצ'ם,0
בה,0
ולא,0
נחאה,0
מן,0
מוצ'עה.,0
וקאל,0
ר',1
שמעון,1
אנה,0
יאכ'ד',0
מן,1
הסדר,1
השני,1
לא,0
מן,0
אלצף,0
אלאול,0
אלד'י,0
אמאם,0
פם,0
"אלאתון,",0
לאנה,0
קד,0
רבמא,0
דנא,0
מנה,0
הד'א,0
באיע,0
אלפכ'אר,0
אלעם,0
ארץ,0
ענד,0
מא,0
פתח,0
אלאתון.,0
ור',1
יוסי,1
יקול,0
מן,1
הסדר,1
השלישי,1
לאנה,0
קד,0
רבמא,0
נחי,0
אניה,0
ליבצרהא,0
ואנצ'ם,0
באלאניה,0
אלתי,0
כ'לפהא,0
אלתי,0
תג'י,0
בסדר,1
השני,1
ת'ם,0
רד,0
אלאניה,0
אלתי,0
אכ'ד',0
מסדר,1
הראשון,1
"למוצ'עהא,",0
פלא,0
יאכ'ד',0
אלא,1
מסדר,1
השלישי.,1
ואין,1
הלכה,1
כר',1
שמעון.,1
ולא,1
כר',1
יוסי.,1
אלא,0
כל,0
מא,0
יוכ'ד',0
מן,0
אלכבשן,0
ואן,0
כאן,0
מפתוח,0
פהו,0
בחזקת,1
טהרה.,1
