word,is_he
סיבין,0
לך,0
אן,0
ג'איז,0
למלאות,1
ולקדש,1
בכל,1
"הכלים,",1
פקד,0
יכון,0
כלי,1
עץ,1
או,1
כלי,1
מתכות,1
טמא,1
ויטבילו,1
ליתנאול,0
בה,0
מי,1
חטאת,1
וקד,0
יטביל,0
פי,0
מקוה,1
"מים,",1
אלד'י,0
לא,0
יג'וז,0
אלקדוש,0
מן,0
ד'לך,0
אלמא,0
אלא,0
מי,1
מעין,1
לקול,0
אללה,0
מים,1
"חיים,",1
פיג'פף,0
תלך,0
אלאניה,0
מן,0
רטובהֿ,0
מי,1
מקוה,1
אלתי,0
פיהא,0
וחיניד',0
יקדש,0
בד'לך,0
"אלכלי,",0
פאן,0
כאן,0
הטביל,0
תלך,0
אלאניה,0
פי,0
מים,1
חיים,1
פלא,0
יחתאג',0
יג'פפהא.,0
ואן,0
כאן,0
גרצ'ה,0
אן,0
יג'על,0
פי,0
הד'ה,0
אלאניה,0
מים,1
מקודשין,1
לא,0
אן,0
יקדש,0
פיהא,0
נפסהא,0
פלא,0
בד,0
אן,0
"יג'פפהא,",0
לאן,0
לא,0
יג'וז,0
אן,0
יזאד,0
אלמא,0
ולו,0
אקל,0
מקדאר,0
פי,0
מים,1
"מקודשין,",1
בל,0
מנד',0
חצל,0
אלאפר,0
פי,0
מי,1
מעין,1
שבכלי,1
פחכמה,0
אן,0
יזה,1
ממנו,1
חתי,0
ינפד',0
ד'לך,0
אלמא,0
ולא,0
יזאד,0
פיה,0
מא,0
אכ'ר,0
ועלי,0
אן,0
אלרמאד,0
באקיא.,0
