word,is_he
אוכל,1
על,1
מנת,1
לקצות,1
הו,0
אן,0
יקטע,0
פאכהה,0
עלי,0
ניה,0
אן,0
יג'פפהא,0
וינשרהא,0
ת'ם,0
"יאכלהא,",0
פהו,0
לם,0
יפסול,0
את,0
"המים,",1
מת'ל,0
אלד'י,0
הדם,0
פי,0
חאל,0
משיה,0
מן,0
אן,0
ימשי,0
ואן,0
כאן,0
עול,0
עלי,0
אן,0
יגדור,0
פאנה,0
לא,0
יפסול,0
בהד'א,0
אלתעויל,0
חתי,0
"יגדור,",0
וכד'לך,0
הד'א,0
לא,0
יפסול,0
את,1
מימיו,1
אלא,0
אן,0
נשר,0
מן,0
תלך,0
אלפאכהה,0
פקד,0
תמת,0
מחשבתו,1
ועשה,1
מלאכה.,1
והד'א,0
כלה,0
עלי,0
מא,0
אצלנא,0
אן,0
אלאכל,0
פי,0
חאל,0
אלמלוי,0
ליס,0
הו,0
מלאכה,1
.,0
וקולה,0
בשביל,1
שלא,1
יאבד,1
הו,0
שרט,0
פי,0
"אלפסלנות,",0
לאנה,0
אן,0
רמאהא,0
הנאך,0
מן,0
חית',0
אנה,0
לא,0
חאג'ה,0
לה,0
בהא,0
ולא,0
יבאלי,0
בהא,0
בקת,0
או,0
תלפת,0
לא,0
פסל.,0
