word,is_he
הד'א,0
כלה,0
קד,0
תקדמת,0
אצולה,0
פי,0
אלפרק,0
אלד'י,0
קבל,0
הד'א.,0
וד'לך,0
אנא,0
קד,0
בינא,0
אן,0
שוקת,1
אסם,0
אלמוצ'ע,0
אלד'י,0
ג'מע,0
פיה,0
אלמא,0
מעד,0
"ללקדוש,",0
ואן,0
מא,0
חצל,0
פי,0
חפאט',0
אלטמא,0
פהו,0
בחזקת,1
"טומאה,",1
ואן,0
אלשומר,0
אלד'י,0
יחפט',0
אלמא,0
הו,0
אלד'י,0
יפסול,0
אד'א,0
עשה,1
מלאכה,1
לא,1
בעל,1
המים,1
אד',0
וקד,0
אסלמה,0
לשומר.,1
וזאד,0
פי,0
הד'ה,0
אלהלכה,0
אצל,0
אכ'ר,0
והו,0
אן,0
ולו,0
כאנוא,0
כת'ירין,0
שומרין,0
ללמא,0
ועשו,1
כולן,1
מלאכה,1
גיר,0
ואחד,0
מנהם,0
פאן,0
אלמים,0
כשרים,1
",",0
לאן,0
ד'לך,0
אלואחד,0
פקט,0
נג'עלה,0
"שומר,",0
ונחסב,0
אלבקיה,0
כמן,0
תרך,0
אלשמירה,0
ופוצ'הא,0
לגירה.,0
