word,is_he
מן,0
אלאצול,0
אלתי,0
תקדמת,0
אן,0
מחוסר,1
כפורים,1
יחל,0
לה,0
אכל,0
"אלתרומה,",0
ולא,0
יאכל,0
אלקדשים,0
חתי,0
יביא,1
כפרתו,1
לקולה,0
וכפר,1
עליה,1
הכהן,1
"וטהרה,",1
וקאלוא,0
טהרה,1
לאכל,1
בזבחים.,1
וקד,0
בינא,0
אן,0
פי,0
אלתורה,0
בביאן,0
כון,0
שני,1
שבחולין,1
טמא,1
והו,0
קולה,0
כל,1
אשר,1
בתוכו,1
יטמא.,1
וקאל,0
פי,0
לחום,0
אלקדשים,0
והבשר,1
אשר,1
יגע,1
בכל,1
טמא,1
לא,1
יאכל,1
באש,1
"ישרף,",1
וקולה,0
בכל,1
טמא,1
דכ'ל,0
תחתה,0
שני,1
לטומאה,1
אלד'י,0
נץ,0
אלכתאב,0
פיה,0
אנה,0
טמא,1
כמא,0
"בינא,",0
והד'א,0
אללחם,0
אד'א,0
נגע,1
בשני,1
פירג'ע,0
שלישי,1
ואמר,0
אללה,0
בחרקה,0
לכונה,0
"נג'ס,",0
פקד,0
וג'דנא,0
נץ,0
אלתורה,0
אן,0
שלישי,1
בקודש,1
"טמא,",1
וקלנא,0
איצ'א,0
אד'א,0
כאן,0
מחוסר,1
כפורים,1
אלד'י,0
הו,0
מותר,1
בתרומה,1
אסור,1
בקדש,1
פכיף,0
אלשלישי,0
אלד'י,0
הו,0
פסול,1
בתרומה,1
לא,0
אקל,0
מן,0
אן,0
יפסול,0
רביעי,1
"בקודש,",1
והד'א,0
הו,0
קולהם,0
למדנו,1
שלישי,1
לקודש,1
מן,1
התורה,1
רביעי,1
מקל,1
וחומר.,1
וכמא,0
אן,0
אלד'י,0
יאכל,0
שלישי,1
של,1
תרומה,1
אסור,1
לאכל,1
תרומה,1
ואן,0
כאן,0
לא,0
ינג'ס,0
שלישי,1
בתרומה,1
לגירה,0
בנגיעה,0
עלי,0
מא,0
"בינא,",0
כד'לך,0
איצ'א,0
אלד'י,0
יאכל,0
רביעי,1
של,1
קודש,1
פסול,1
ולא,0
יג'וז,0
לה,0
אכל,0
"אלקודש,",0
ולד'לך,0
לם,0
יבח,0
אכל,0
נזיד,1
הקודש,1
אלא,0
בחמישי,1
לא,1
"ברביעי,",1
אנה,0
ענד,0
אכל,0
אלרביעי,0
יפסול,0
גופו,1
ולא,0
יחל,0
לה,0
אכל,0
נזיד,1
הקדש.,1
ולם,0
נקל,0
הנא,0
מת'ל,0
מא,0
קלנא,0
פי,0
אלתרומה,0
אנה,0
אד'א,0
לם,0
יכן,0
כזית,1
בכדי,1
אכילת,1
פרס,1
ג'אז,0
לה,0
"ד'לך,",0
לאן,0
ללקודש,0
מעלה,1
יתרה,1
על,1
התרומה,1
פי,0
אשיא,0
כת'ירה,0
כמא,0
באן,0
פי,0
ת'אני,0
חגיגה.,1
והד'א,0
אלקודש,0
אלמד'כור,0
הנא,0
הו,0
לחום,0
אלקדשים,0
וכ'בז,0
אלקדשים.,0
ופי,0
אלתוספתא,0
באי,1
זה,1
קדש,1
"אמרו,",1
בקדשי,1
מקדש,1
המקודשין,1
כגון,1
חלות,1
תודה,1
ורקיקי,1
נזיר,1
שנשחט,1
עליהן,1
הזבח,1
והמנחות,1
שקדשו,1
"בכלי,",1
אבל,1
חלות,1
תודה,1
ורקיקי,1
נזיר,1
שלא,1
נשחט,1
עליהן,1
הזבח,1
והמנחות,1
שלא,1
קדשו,1
בכלי,1
אינן,1
לא,1
כקדש,1
ולא,1
כחולין,1
אלא,1
הרי,1
הן,1
כתרומה,1
והשרץ,1
מטמא,1
שנים,1
ופוסל,1
אחד,1
בהן.,1
והנאך,0
קיל,0
איצ'א,0
החלה,1
והבכורים,1
ותשלומי,1
תרומה,1
וחמשה,1
הרי,1
הן,1
"כתרומה,",1
הטבל,1
והמדומע,1
וגדולי,1
תרומה,1
ומעשר,1
שני,1
הרי,1
הן,1
כחולין.,1
אמא,0
מעשר,1
ראשון,1
פקד,0
תקדם,0
לך,0
אכ'תלאפהם,0
פיה,0
פי,0
חאדי,0
עשר,0
פרה.,1
