word,is_he
מעני,0
הד'א,0
אלכלאם,0
אן,0
מע,0
כון,0
אלשושנים,0
במקום,1
הטומאה,1
פקט,0
ולא,0
ימכן,0
אלוצול,0
אליהא,0
אלא,0
בעד,0
אלאנתג'אס,0
לא,0
נקול,0
קד,0
ארתפע,0
אלשך,0
ובאלחקיקה,0
אנה,0
בנפסה,0
דכ'ל,0
הנאך,0
וקד,0
אנתג'ס,0
טומאת,1
"מת,",1
בל,0
אלשך,0
באקיא,0
לאנה,0
ימכן,0
אן,0
גירה,0
ג'מעהא,0
"לה,",0
ואד',0
ווקע,0
אלשך,0
פהו,0
טאהר,0
כמא,0
אצלנא.,0
וכד'לך,0
חמור,1
בין,1
הקברות,1
אלכלים,0
אלתי,0
עלי,0
ט'הרה,0
שך,0
לאנה,0
אן,0
כאן,0
אנבטח,0
עלי,0
אלארץ',0
ואנצ'מת,0
באלקבר,0
פקד,0
אנתג'סת,0
תלך,0
"אלכלים,",0
ואן,0
כאן,0
לם,0
תנצ'ם,0
בקבר,0
פהי,0
"טאהרה,",0
פלאג'ל,0
הד'א,0
אלשך,0
היא,0
טאהרה,0
ללאצל,0
אלד'י,0
קדמנא,0
אנה,0
אין,1
בו,1
דעת,1
לשאל.,1
