word,is_he
"לגרגרן,",1
"ליחבבהא,",0
אלמעני,0
לתיבס,0
ותג'ף,0
ולו,0
כאן,0
ארתפאעהא,0
ד'ראע,0
אלד'י,0
נעלם,0
אן,0
ואן,0
יבס,0
אעלאהא,0
פאן,0
אלאספל,0
יבתל,0
בלא,0
"שך,",0
לכן,0
מנד',0
קצדה,0
אלתג'פיף,0
אינן,1
מוכשרין.,1
פאד'א,0
ג'עלהא,0
פי,0
אלבית,0
לתתעפן,0
והו,0
קולה,0
שילקו,1
ולו,0
עול,0
אן,0
יטלעהא,0
בעד,0
ד'לך,0
"ללסטח,",0
או,0
אד'א,0
ג'עלהא,0
פי,0
אלסטח,0
איצ'א,0
לתעפן,0
ולו,0
עול,0
בעד,0
ד'לך,0
אן,0
יבסטהא,0
פי,0
אלסטח,0
ותג'ף,0
בעד,0
תעפינהא,0
פאנהא,0
מוכשרין,1
לטומאה,1
מנד',0
קצד,0
"תעפינהא,",0
לאן,0
אבתלאלהא,0
במא,0
יכ'רג',0
מנהא,0
מן,0
אלרטובה,0
ממא,0
יעין,0
פי,0
תעפינהא,0
ולד'לך,0
תכשר.,0
אמא,0
אן,0
ג'עלהא,0
פי,0
מוצ'ע,0
ועפנת,0
ליס,0
בקצדה,0
אלתעפין,0
פאנהא,0
גיר,0
"מוכשרין,",1
וד'לך,0
עלי,0
אלאצל,0
אלד'י,0
ענדנא,0
פי,0
אלהכשר,0
אנה,0
יחתאג',0
אן,0
יכון,0
לרצונו,1
כמא,0
יבין,0
פי,0
מוצ'עה.,0
