word,is_he
קד,0
תקדם,0
פי,0
ראבע,0
טהרות,1
אן,0
מן,0
ג'מלהֿ,0
ספקות,1
שטהרו,1
חכמים,1
ספק,1
מים,1
שאובין.,1
וסיבין,0
לך,0
פי,0
הד'ה,0
אלמסכתא,0
אן,0
מקוה,1
שיש,1
בו,1
ארבעים,1
סאה,1
לא,0
תפסדה,0
מים,1
שאובין,1
אד'א,0
וקעת,0
פיה,0
ולו,0
וקע,0
פיה,0
אלף,1
סאה,1
מים,1
"שאובין,",1
ואנמא,0
תפסול,0
מים,1
שאובין,1
למקוה,1
שאין,1
בו,1
ארבעים,1
סאה,1
ותם,0
תמאם,0
אלארבעים,0
סאה,1
במים,1
"שאובין,",1
פאחפט',0
הד'א,0
אלאצל.,0
וקולה,0
שיש,1
לו,1
במה,1
יתלה,1
לאנא,0
נקול,0
לעל,0
הד'ה,0
אלמים,0
שאובין,1
למקוה,1
שיש,1
בו,1
ארבעים,1
סאה,1
נפלו,1
אלד'י,0
לא,0
תפסדה,0
כמא,0
קדמנא.,0
