word,is_he
קולה,0
טמאה,1
וטהורה,1
יעני,0
אלשכבת,0
זרע,1
נפסהא,0
עלי,0
מא,0
בינא,0
פי,0
אלצדר,0
אן,0
שכבת,1
זרע,1
של,1
גוי,1
טהורה.,1
וקולה,0
כבדה,1
את,1
הבית,1
כנאיה,0
ען,0
תנצ'יפהא,0
אלעצ'ו,0
מן,0
אעצ'אהא,0
בעד,0
אלג'מאע,0
חתי,0
לא,0
יבקי,0
לשכבת,1
זרע,1
את'ר,0
ולא,0
תעלק,0
באלג'סם.,0
וכד'לך,0
בעל,1
קרי,1
אד'א,0
לם,0
יבול,0
קבל,0
אלטהר,0
פאנה,0
ענד,0
מא,0
יבול,0
"ינתג'ס,",0
לאן,0
תכ'רג',0
בקאיא,0
שכבת,1
זרע,1
אלבאקיה,0
פי,0
דאכ'ל,0
אלאחליל.,0
ר',1
יוסי,1
יקול,0
אן,0
גאיהֿ,0
מא,0
יבקי,0
מן,0
שכבת,1
זרע,1
בקיה,0
דאכ'ל,0
אלג'סם,0
לרג'ל,0
מריץ',0
או,0
שיך',0
לאנהא,0
לא,0
תנדפע,0
"בקוה,",0
אמא,0
רג'ל,0
צחיח,0
או,0
שאב,0
ולו,0
כאן,0
מריץ',0
לכנה,0
יכון,0
פי,0
חיז,0
יעמוד,1
על,1
רגלו,1
אחת,1
וחולץ,1
או,1
נועל,1
מנעלו,1
פהו,0
"טאהר,",0
לאנהא,0
תכ'רג',0
בקוה,0
ולא,0
יבקי,0
להא,0
את'ר,0
דאכ'ל,0
אלג'סם.,0
והלכה,1
כר',1
יוסי.,1
