word,is_he
קד,0
בינא,0
פי,0
צדר,0
הד'א,0
אלסדר,0
אן,0
אלגוים,0
לא,0
ינג'סוא,0
בוג'ה,0
מן,0
וג'וה,0
אלנג'אסה,0
מן,1
"התורה,",1
ומדרבנן,1
גזרו,1
עליהם,1
שיהוא,0
כזבים,1
לכל,1
"דבריהם,",1
פהם,0
זבים,1
מדרבנן.,1
בית,1
שמאי,1
יטהרון,0
דם,0
אלנכרית,0
כדין,1
תורה,1
ויג'עלון,0
אלגזרה,0
פי,0
רוקה,0
ומימי,1
רגליה,1
אלד'י,0
הו,0
מוג'וד,0
"דאימא,",0
ופעלוא,0
ד'לך,0
ליעלם,0
אן,0
נג'אסתהא,0
מדרבנן,1
ולד'לך,0
דמהא,0
טהור.,1
ובית,1
הלל,1
יקולון,0
אד'א,0
ג'עלנא,0
דמהא,0
אעני,0
דם,0
טמת'הא,0
מת'ל,0
רוקה,1
ומימי,1
רגליה,1
עלם,0
אן,0
אלכל,0
מדרבנן.,1
ומעני,0
כרוקה,1
אלד'י,0
יטמא,1
לח,1
ולא,1
יטמא,1
"יבש,",1
וליס,0
כד'לך,0
דם,1
נדה,1
אלחקיקי,0
בל,0
יטמא,1
לח,1
ויבש,1
כמא,0
יבין,0
פי,0
סאבע,0
הד'ה,0
אלמסכתא.,0
ודם,1
טהרה,1
של,1
מצורעת,1
הו,0
אלדם,0
אלד'י,0
תרא,0
אלמראה,0
אלואלדה,0
בעד,0
שבעה,1
לזכר,1
וארבעה,1
עשר,1
של,1
נקבה,1
אד'א,0
כאנת,0
מצורעת.,1
ועלהֿ,0
אכ'תלאף,0
בית,1
שמאי,1
ובית,1
הלל,1
פי,0
דם,1
טהרה,1
של,1
מצורעת,1
יטול,0
"שרחה,",0
והו,0
אשבה,0
במנאט'רהֿ,0
אלתלמוד,0
מן,0
ד'כר,0
ד'לך,0
פי,0
דיואננא.,0
ודם,1
יולדת,1
שלא,1
טבלה,1
הו,0
אלדם,0
אלד'י,0
תרי,0
בעד,0
שבעה,1
לזכר,1
וארבעה,1
עשר,1
לנקבה,1
אד'א,0
לא,1
טבלה,1
לילהֿ,0
אלת'אמן,0
או,0
לילהֿ,0
אלכ'אמס,0
"עשר,",0
לאנהא,0
לו,0
טבלה,1
לכאן,0
דם,1
טוהר,1
כמא,0
נץ,0
אלכתאב,0
וסמאה,0
דמי,1
"טהרה,",1
פאד'א,0
לא,1
טבלה,1
יקולון,0
בית,1
הלל,1
אנהא,0
לם,0
תנפצל,0
מטומאת,1
נדה,1
בוג'ה,0
ולד'לך,0
מטמא,1
לח,1
ויבש,1
כדם,1
הנדה.,1
ובית,1
שמאי,1
יקולון,0
אנמא,0
פאידהֿ,0
אלטבילה,0
להתירה,1
"לבעלה,",1
ומנד',0
תם,0
זמאן,0
אלנדה,0
אנפצלת,0
מן,0
אלנדות,0
ולו,0
לם,0
תטבול,0
ולא,0
יכון,0
דם,1
"נדה,",1
בל,0
יכון,0
חכמה,0
כחכם,0
רוק,1
הנדה,1
ומימי,1
רגליה,1
אלתי,0
מטמאין,1
לחין,1
ואין,1
מטמאין,1
יבשין.,1
ואעלם,0
אן,0
אד'א,0
ילדה,1
והי,0
זבה,1
אעני,0
אן,0
תציר,0
זבה,1
וחיניד',0
תלד,0
והד'ה,0
הי,0
אלתי,0
תתסמי,0
יולדת,1
בזוב,1
ותמת,0
שבעה,1
לזכר,1
וארבעה,1
עשר,1
לנקבה,1
ועדת,0
שבעת,1
ימי,1
נקיים,1
בעד,0
אנקטאע,0
אלדם,0
כחכם,0
כל,1
"זבה,",1
ת'ם,0
ראת,0
דם,0
בעד,0
ד'לך,0
והי,0
לם,0
תטהר,0
לילהֿ,0
אלת'אמן,0
מן,0
ימי,1
"נקיים,",1
פאן,0
בית,1
שמאי,1
ובית,1
הלל,1
באקיון,0
פיהא,0
עלי,0
"אכ'תלאפהם,",0
בית,1
שמאי,1
יקולון,0
מנד',0
תמת,0
שבעת,1
ימי,1
נקיים,1
ועלי,0
אנהא,0
לא,1
טבלה,1
אנפצלת,0
מן,0
"אלזיבות,",0
ובית,1
הלל,1
יקולון,0
לם,0
תנפצל,0
אד',0
לא,1
טבלה.,1
ואנמא,0
אתפקוא,0
פי,0
יולדת,1
בזוב,1
שלא,1
ספרה,1
שבעת,1
ימי,1
נקיים,1
ולא,1
טבלה.,1
וכד'א,0
בין,0
אלתלמוד.,0
