word,is_he
יקולון,0
בית,1
שמאי,1
אנה,0
אד',0
וגרצ'ה,0
אן,0
יוקע,0
מא,0
פיה,0
מן,0
אלמשקין,0
פכל,0
מא,0
יקע,0
מנה,0
פי,0
חאל,0
הזה,0
מכשיר,1
את,1
"האכלין,",1
וכד'לך,0
אלמשקה,0
אלבאקי,0
פי,0
אלשג'רה,0
מכשיר,0
איצ'א.,0
ובית,1
הלל,1
יקולון,0
אן,0
אלד'י,0
בקי,0
פי,0
אלשג'רה,0
לא,0
יכשיר,0
זרעים,1
חין,0
ינצ'ם,0
בהא,0
וקת,0
"אלהז,",0
לאנה,0
חין,0
הז,0
אלשג'רה,0
אנמא,0
כאן,0
גרצ'ה,0
אן,0
לא,0
יבקי,0
פיהא,0
שי,0
מן,0
"אלמשקין,",0
פאלד'י,0
בקי,0
ת'ם,0
אינו,1
"לרצונו,",1
והד'א,0
הו,0
מעני,0
קולהם,0
מפני,1
שהוא,1
מתכוון,1
שיצאו,1
מכולו.,1
