word,is_he
,0
נשיאת,1
ראש,1
אסתעארה,0
פי,0
אלעבראני,0
ללדכ'ר,0
וישא,1
את,1
ראש,1
שר,1
המשקים,1
ומסתעארה,0
איצ'א,0
ללעדד,0
שא,1
את,1
ראש,1
וג',1
ועלה,0
הד'ה,0
אלאסתעארה,0
ללעדד,0
פי,0
מא,0
אפהמה,0
לאנה,0
ענד,0
[עדדה,0
לאשכ'אץ],0
יעדו,0
בחצ'ורהם,0
ותמייז,0
אלאדמיין,0
בעצ'הם,0
ען,0
בעץ',0
אלאצל,0
פיה,0
אכ'תלאף,0
צור,0
וג'וההם,0
וענד,0
אלעדד,0
יתאמל,0
אלד'י,0
יעד,0
וג'וההם,0
אלתי,0
ינפצל,0
בעצ'הם,0
מן,0
בעץ',0
בהא,0
ולא,0
יצח,0
ד'לך,0
ורווסהם,0
מנכסה,0
ווג'[ו]ההם,0
מטרקה,0
אלי,0
אלארץ',0
בל,0
ברפע,0
רווסהם,0
ולמח,0
אלד'י,0
יעד,0
וג'וההם,0
ולד'לך,0
קאל,0
כי,1
תשא,1
וג',1
ומע,0
כון,0
אללפט',0
יקתצ'י,0
אלתכ'ייר,0
הו,0
וג'וב,0
במא,0
בין,0
אלנקל,0
ופרץ',0
לקולה,0
זה,1
יתנו,1
וג',1
וקד,0
בסט,0
ד'לך,0
ואדלתה,0
ר',1
סעדיה,1
ז'ל',1
כפר,0
אסם,0
אלפדא,0
[כמא],0
קאל,0
אלכתאב,0
אם,1
כפר,1
יושת,1
עליו,1
ונתן,1
פדין,1
נפשו,1
אשתקאקה,0
לא,1
יתן,1
לאלהים,1
כפרו,1
ולא,1
יהיה,1
בהם,1
נגף,1
תעליל,0
אלעדד,0
יקתצ'י,0
אלנגף,0
ודפעה,0
באלכופר,0
אלד'י,0
הו,0
כפרה,0
ולד'לך,0
עד,0
שאול,1
ישראל,1
בוסאיט,0
בטלאים,1
ודוד,1
ע'ה',1
למא,0
גפל,0
שגיאות,1
מי,1
יבין,1
וקע,0
אלנגף,0
כמא,0
נץ,0
פי,0
שמואל,1
ודברי,1
הימים,1
וקול,0
כל,1
העבר,1
על,1
הפקדים,1
אלתקדיר,0
כל,1
העובר,1
עליו,1
הפקודים,1
וכד'לך,0
איצ'א,0
תרג'מה,0
אלמפסר,0
פקאל,0
כל,0
מן,0
ג'אז,0
עליה,0
אלעדד,0
כסף,1
הכפרים,1
סמי,0
באסם,0
גאיתה,0
אלתי,0
יבין,0
פי,0
אכ'ר,0
אלנץ,0
לכפר,1
על,1
נפשתיכם,1
וקול,0
[ונתת,1
אתו],1
על,1
עבודת,1
אהל,1
מועד,1
מענאה,0
תצרפה,0
פי,0
אדני,1
אהל,1
מועד,1
ועמודי,1
החצר,1
כמא,0
יבין,0
פי,0
פרשת,1
אלה,1
פקודי,1
ועשית,1
כיור,1
וג',1
אסם,0
לחוץ',0
אלמא,0
וכנו,0
קאעדה,0
יסתקר,0
עליהא,0
פאצלה,0
בינה,0
ובין,0
אלארץ',0
ונץ,0
אלמשנה,0
אנה,0
כאן,0
לה,0
מבאזל,0
פי,0
ג'ואנבה,0
יגסל,0
מנהא,0
וכונה,0
בין,1
אהל,1
מועד,1
ובין,1
המזבח,1
לא,1
לפני,1
המזבח,1
תכלם,0
פיה,0
אלמתקדמון,0
במא,0
הו,0
מוג'וד,0
להם,0
וילוח,0
לי,0
אן,0
אלעלה,0
פי,0
ד'לך,0
מא,0
נץ,0
פי,0
גאיתה,0
אנהא,0
ללגסל,0
לאחד,0
אמרין,0
לדכ'ול,0
אהל,1
מועד,1
ולו,0
לגיר,0
אלעבודה,0
או,0
ללתקדם,0
אלי,0
אלמזבח,0
ללעבודה,0
פג'על,0
בין,0
אלמוצ'עין,0
תנביהא,0
עלי,0
אלואג'בין,0
והד'א,0
אלגסל,0
מבאלגה,0
פי,0
אלנט'אפה,0
וזיאדה,0
אסתעדאד,0
לא,0
לטהר,0
מן,0
נג'אסה,0
לאן,0
אלטמא,0
לא,0
ימכן,0
דכ'ולה,0
מחנה,1
שכינה,1
ולא,1
יטהר,1
טמא,1
איצ'א,0
אלא,1
ברחיצת,1
כל,1
גופו,1
במקוה,1
ואנא,0
אסתגרב,0
מן,0
כונהם,0
ז'ל',1
כיף,0
אלזמו,0
פי,0
רחיצת,1
ידים,1
לאכילה,1
או,1
לקרית,1
שמע,1
ותפלה,1
באן,0
תכון,0
מכח,0
נותן,0
והד'ה,0
[אל]רחיצה,0
לעבודה,0
מנצוצה,0
מן,0
גיר,0
כח,0
נותן,0
בל,0
אלמבאזל,0
אלתי,0
יסמונהא,0
דדים,0
כמא,0
נצו,0
פי,0
משנת,1
יומא,1
וידבר,1
יוי,1
וג',1
בשמים,1
ראש,1
אלמעני,0
בשמים,1
שהן,1
ראש,1
אלתי,0
הי,0
מקדמה,0
עלי,0
סאיר,0
אלאטיאב,0
באלשרף,0
ואלג'לאלה,0
ומר,0
אסם,0
אלמסך,0
דרור,0
אסם,0
אלכ'לאץ,0
ואלחריה,0
ואלקצד,0
בה,0
אן,0
יכון,0
מסכא,0
כ'אלצה,0
נקיא,0
חמש,1
מאות,1
מחד'וף,0
אלאצ'אפה,0
תקדירה,0
משקל,1
חמש,1
מאות,1
שקל,1
וקנמן,1
אסם,0
אלעוד,0
ואצ'אפתה,0
לבשם,0
עוד,0
אלטיב,0
והו,0
אלעוד,0
אלהנדי,0
אלמשהור,0
מחציתו,1
חמשים,1
ומאתים,1
באדרה,0
מפהומה,0
אן,0
מחציתו,0
ען,0
מר,1
דרור,1
ואן,0
אלמעני,0
אן,0
יכון,0
מקדאר,0
קנמון,0
בשם,0
נצף,0
אלמקדאר,0
אלמתקדם,0
ואלקצד,0
עלי,0
מא,0
שרחה,0
אלנאקלון,0
ז'ל',1
אן,0
יכון,0
אלקנמון,0
מת'ל,0
מר,1
דרור,1
חמש,1
מאות,1
אלא,0
אנה,0
יזן,0
דפעתין,0
כל,0
דפעה,0
נצף,0
אלכמיה,0
חמשים,1
ומאתים,1
ובחסב,0
ד'לך,0
אלצ'מיר,0
פי,0
מחציתו,0
ען,0
אלקנמון,0
ויכון,0
אלשרח,0
הכד'א,0
וקנמן,1
בשם,1
מחציתו,1
ר'נ',1
ואלוקוף,0
מע,0
אלנקל,0
וקנה,1
בשם,1
קצב,0
אלד'רירה,0
ר'נ',0
ג'מלה,0
אלוזן,0
ר'נ',0
בלא,0
תאויל,0
ולא,0
כ'לאף,0
קדה,0
עלי,0
מא,0
בין,0
אלנקל,0
קסט,0
בשקל,1
הקדש,1
עאטף,0
עלי,0
כלמא,0
תקדם,0
משחת,1
קדש,1
אלמשיחה,0
תכון,0
לתכ'ציץ,0
ותשריף,0
קדושה,0
לא,0
לתטייב,0
ותעטיר,0
ואן,0
כאן,0
טיבא,0
עטרא,0
מעשה,1
רקח,1
כמא,0
תצנע,0
