word,is_he
כ'ורהם,0
לא,0
וידבר,1
יוי,1
וג',1
ראה,1
קראתי,1
וג',1
תעט'ים,0
ותפכ'ים,0
ללחאל,0
מת'ל,0
ראו,1
כי,1
יוי,1
נתן,1
לכם,1
השבת,1
וקול,0
קראתי,0
אשארה,0
ללתנויה,0
ואלתשריף,0
ואלתכ'ציץ,0
דברה,1
תורה,1
כלשון,1
בני,1
אדם,1
ואמלא,1
וג',1
וכמלתה,0
לאנה,0
תע',0
רזקה,0
מן,0
אלקוה,0
אלנאטקה,0
פי,0
אצל,0
אלכ'לקה,0
מא,0
ופר,0
חט'ה,0
בה,0
ואעאנה,0
עלי,0
אכתסאב,0
מא,0
יכמל,0
בה,0
כמאלה,0
אלאכ'יר,0
רוח,1
אלהים,1
אשארה,0
ללקוה,0
אלנאטקה,0
בחכמה,0
מא,0
יסתפידה,0
אלאנסאן,0
מן,0
גירה,0
ויחפט'ה,0
ובתבונה,0
מא,0
ינתג'ה,0
מן,0
ד'הנה,0
ויסתנבטה,0
באלפכר,0
ואלרויה,0
ואלקיאס,0
ובדעת,0
אלכמאל,0
אלעקלי,0
אלחאצל,0
ען,0
אלחכמה,0
ואלתבונה,0
וללשארחין,0
פיה,0
תוג'האת,0
ואלד'י,0
אפהמה,0
הו,0
אלד'י,0
קלתה,0
ובכל,0
מלאכה,0
יעני,0
ליס,0
כמאלה,0
פי,0
צנאעה,0
דון,0
צנאעה,0
בל,1
יחכם,1
אלצנאיע,0
אלמכ'תלפה,0
מע,0
כמאלה,0
פי,0
אלחכמה,0
ואלתבונה,0
ו[אלדע]ת,0
ווג'וד,0
הד'א,0
אלכמאל,0
פי,0
שכ'ץ,0
ואחד,0
שאד',0
במרה,0
אעני,0
פי,0
[אלעלם,0
אל]נט'רי,0
ואלאעמאל,0
אלצנאעיה,0
לחשב,1
מחשבת,1
הד'ה,0
הי,0
תבונתו,0
ובחרשת,1
אבן,1
[וג'],1
חרשת,0
אסם,0
נג'ארה,0
אלכשב,0
וכ'רט,0
אלחג'ארה,0
ונחוה,0
כ[א]נה,0
משתק,0
מן,0
חרישה,0
אהל,1
מועד,1
הו,0
ד'את,0
אלמשכן,0
אלאדנים,0
ואלקרשים,0
ואלבריחים,0
ואליריעות,0
והמכסה,1
[וכלי,1
אהל,1
מועד],1
אשארה,0
לאג'זא,0
אהל,1
מועד,1
אליתידות,0
ואלמיתרים,0
ומא,0
תסתמר,0
בה,0
אליתדות,0
בגדי,1
השרד,1
תרגום,0
מכבר,1
הנחשת,1
שרדא,0
דנחשא,0
והי,0
אלשבכה,0
אלמעינה,0
פעלי,0
מד'הב,0
בעץ',0
אלחכמים,0
ז'ל',1
אנה,0
משתק,0
מנה,0
ואן,0
אלאשארה,0
בה,0
לצנעה,0
תשבה,0
אלתעיין,0
פי,0
בגדי,1
כהנה,1
כמא,0
יט'הר,0
פי,0
ת'יאב,0
אלפשטאן,0
והד'א,0
הו,0
אלד'י,0
ינחו,0
נחו,0
מד'הב,0
אלמתרג'ם,0
לבושי,0
שמושא,0
ועלי,0
מד'הב,0
ר',1
אברם,1
בן,1
עזרא,1
ז'ל',1
אן,0
אלאשארה,0
בה,0
לאגטיה,0
כלי,1
הקדש,1
אלמבינה,0
פי,0
פרשת,1
במדבר,1
אנה,0
מן,1
תולעת,1
שני,1
[וארגמן],1
ותכלת,1
והו,0
אלאקרב,0
מן,0
פשטיה,1
דקרא,1
לעטף,0
בגדי,1
הקדש,1
לאהרן,1
עליהא,0
אעני,0
בגדי,1
השרד,1
לדעת,1
כי,1
אני,1
יוי,1
וג',1
לתערפו,0
ותערף,0
אלאמם,0
בד'לך,0
אני,0
מכ'צצכם,0
באלקדושה,0
אלתי,0
פיהא,0
שבה,0
משאבהה,0
אנא,0
עטלת,0
אלכ'לק,0
פי,0
אלסאבע,0
ואנתם,0
תעטלון,0
אשגאלכם,0
פי,0
אלז',0
נט'יר,0
קדשים,1
תהיו,1
כי,1
קדוש,1
אני,1
יוי,1
ופי,0
לדעת,0
איצ'א,0
אשארה,0
ללגאיה,0
אלת'אלת'ה,0
מן,0
גאיאת,0
אלשבת,0
לתתפרג'ו,0
ללידיעה,0
אני,0
יוי,0
מקדשכם,0
עלי,0
מא,0
בסטנא,0
פי,0
כתאב,0
אלכפאיה,0
לב,0
ויעשהו,1
עגל,1
מסכה,1
וג',1
יושך,0
