word,is_he
ופסרת,0
עד,1
די,1
שערה,1
כנשרין,1
"רבה,",1
כבעץ',0
ריש,0
"אלנסור,",0
אד',0
לא,0
תשבה,0
שער,0
אלנאס,0
ללנסר,0
ואן,0
כת'ר.,0
ופסרת,0
איצ'א,0
וטפרוהי,1
"כצפרין,",1
"כאלג'וארח,",0
אד',0
ליס,0
כל,0
אלטאיר,0
לה,0
"מכ'אליב,",0
ואנמא,0
הי,0
ללמפתרס,0
מנהא,0
פקט.,0
ת'ם,0
נקול,0
אן,0
הד'ה,0
אלפואסיק,0
אלמתוסטה,0
ללקצה,0
מן,0
אשתומם,0
כשעה,0
חדא,0
אלי,0
וטפרוהי,0
כצפרין,0
ליס,0
הי,0
מורדה,0
עלי,0
לסאן,0
נבוכדנצר,1
(באלאשארה),0
[בל,0
אשארה],0
"אליה,",0
אן,0
יקול,0
מהלך,0
"הוה,",0
ענה,0
מלכא,0
ואמר,0
הלא,0
דא,0
היא,1
"בבל,",1
ואמת'אל,0
ד'לך.,0
פאול,0
מא,0
נקדם,0
מג'אז,0
אללגה,0
אלמסתעמל,0
אן,0
יקול,0
ראובן,1
"מת'לא,",0
פעל,0
ראובן,1
"וצנע,",0
וג'זא,0
אללה,0
ראובן,1
"כ'ירא,",0
והו,0
יעני,0
"נפסה,",0
כקול,0
שמואל,1
וישלח,1
ה',1
את,1
ירובעל,1
ואת,1
בדן,1
ואת,1
יפתח,1
ואת,1
"שמואל,",1
וכקול,0
דוד,1
קחו,1
עמכם,1
את,1
עבדי,1
"אדניכם,",1
וכקול,0
אחשורש,1
כתבו,1
על,1
היהודים,1
כטוב,1
בעיניכם,1
בשם,1
המלך,1
וחתמו,1
בטבעת,1
"המלך,",1
וכקול,0
למך,1
נשי,1
למך,1
האזנה,1
"אמרתי,",1
וכקול,0
בלעם,1
נאם,1
בלעם,1
בנו,1
"בעור,",1
וכקול,0
דוד,1
נאם,1
דוד,1
בן,1
ישי.,1
והד'ה,0
אלאסתשהאדאת,0
נחתאג',0
אליהא,0
פי,0
כל,1
פסוק,1
יתכרר,0
פיה,0
אסם,0
רבנא,0
ג'ל,0
ועז,0
כקולך,0
וה',1
המטיר,1
על,1
סדום,1
מאת,1
ה'.,1
וימכן,0
אן,0
יכון,0
להד'ה,0
אלפואסיק,0
אלתי,0
לם,0
תנסב,0
אלי,0
נבוכדנצר,1
מעני,0
"אכ'ר,",0
והו,0
אן,0
אלכתאב,0
ואלמנשיין,0
אסתהו,0
אן,0
ינסבוהא,0
אליה.,0
בל,0
לם,0
יחסן,0
ד'לך,0
עלי,0
"וג'ה,",0
ולהא,0
מעני,0
אכ'ר,0
אקוי,0
מן,0
"אלג'מיע,",0
והו,0
אן,0
אלאפה,0
אלתי,0
ורדת,0
עליה,0
למה,0
גירת,0
עקלה,0
לם,0
ימכנה,0
אן,0
יקטע,0
אלשהאדה,0
כיף,0
חלת,0
ולא,0
מתי,0
חלת,0
ולא,0
מתי,0
"זאלת,",0
כמא,0
לא,0
יעלם,0
אלמצרוע,0
מא,0
ד'א,0
יכון,0
"מנה,",0
פאלד'י,0
לא,0
בד,0
מן,0
אן,0
יכון,0
גיר,0
מנסוב,0
אלי,0
נבוכדנצר,1
הו,0
קולה,0
בה,0
שעתא,0
מלתא,0
ספת,0
על,0
"נבוכדנצר,",1
פסבק,0
בה,0
מן,0
אול,0
אלתפסיר,0
עלי,0
מא,0
וצפנא.,0
פלמא,0
אנקצ'ת,0
הד'ה,0
אלפואסיק,0
עאדת,0
אלאשארה,0
אלי,0
נבוכדנצר,1
פקאל,0
ולקצת,1
נא,0
נבוכדנצר,0
וגו'.,0
פס',0
לא),0
ויעני,0
בקולה,0
