word,is_he
"""ח",0
"כ""ח)",0
שתים,0
עשרה,0
אמה,0
יסבנו,0
(ירמיה,0
"נ""ב",0
"כ""א).",0
פסוק,0
יב),0
שמש,1
בגבעון,1
דום,1
וירח,1
בעמק,1
"אילון,",1
אסתעאר,0
אלסכות,0
ללוקוף,0
ען,0
אלחרכהֿ,0
לאן,0
אלסכות,0
איצ'א,0
וקוף,0
ען,0
אלכלאם,0
וקד,0
עכס,0
הד'א,0
ואסתעאר,0
אלוקוף,0
ללסכות,0
פי,0
קולה,0
כי,1
עמדו,1
לא,1
ענו,1
עוד,1
(איוב,1
"ל""ב",1
"ט""ז).",1
וליס,0
קולה,0
בגבעון,1
בעמק,1
אילון,1
מוצ'עין,0
מכ'תלפין,0
לוקוף,0
אלנירין,0
אנמא,0
אסם,0
אלמדינהֿ,0
אלמקצודהֿ,0
כאן,0
גבעון,1
ומוצ'ע,0
אלוקיעהֿ,0
מנהא,0
עמק,1
אילון.,1
ואד'א,0
כאנת,0
אלחאג'הֿ,0
אלי,0
נור,0
אלשמס,0
פמא,0
מעני,0
קולה,0
וירח,1
בעמק,1
אילון,1
פאקול,0
אן,0
אללה,0
תעאלי,0
אנמא,0
אוקף,0
אלחרכהֿ,0
אלמשרקיהֿ,0
אלתי,0
תדיר,0
ג'מיע,0
אלאפלאך,0
מן,0
אלמשרק,0
אלי,0
אלמגרב,0
פוקף,0
בוקופהא,0
ג'מיעא.,0
ואבן,0
ג'קטילהֿ,0
יעתקד,0
אנהא,0
לם,0
תקף,0
ואן,0
אלפי,0
בקי,0
פקט,0
לצ'רורהֿ,0
דואם,0
אלצ'ו,0
ולקד,0
קלת,0
לה,0
מרהֿ,0
הל,0
אלפי,0
אלאת'ר,0
מן,0
מות'ר,0
הי,0
אלשמס,0
פקאל,0
נעם,0
קלת,0
לה,0
פאד'א,0
זאל,0
אלמות'ר,0
פבצ'רורהֿ,0
מא,0
יזול,0
את'רה,0
פאג'אב,0
אן,0
אלמעג'ז,0
הנא,0
אן,0
יבקי,0
אלצ'ו,0
ועלי,0
אן,0
אלמצ'י,0
בה,0
קד,0
גרב,0
פקלת,0
לה,0
מא,0
אלד'י,0
יחמלך,0
עלי,0
הד'א,0
אלאעתקאד,0
פקאל,0
אן,0
וקוף,0
אלחרכהֿ,0
אלראימהֿ,0
לא,0
יג'וז,0
ענדי,0
והדא,0
כלה,0
רד,0
ללנץ,0
אלואצ'ח,0
אלד'י,0
הו,0
וידום,1
השמש,1
וירח,1
עמד,1
והו,0
מן,0
ג'מלהֿ,0
אראיה,0
אלמרדיהֿ.,0
פסוק,0
יט),0
וזנבתם,1
"אתם,",1
מענאה,0
תקטעון,0
סאקתהם,0
אלמשתבהין,0
