word,is_he
פסוק,0
יט),0
לא,1
תוכלו,1
לעבד,1
את,1
"י""י",1
כי,1
אלהים,1
קדשים,1
"הוא,",1
גיר,0
ג'איז,0
עלי,0
אלנבי,0
אן,0
יקול,0
ד'לך,0
ג'זמא,0
חתמא,0
ואנמא,0
קולה,0
עלי,0
מעני,0
אן,0
עבאדהֿ,0
אללה,0
ליסת,0
כעבאדהֿ,0
אלאצנאם,0
אלתי,0
ימכן,0
מעהא,0
כל,0
קביח,0
לקנועהם,0
באלסג'וד,0
ואלרכוע,0
פקט,0
ועבאדהֿ,0
אללה,0
ליסת,0
כד'לך,0
פאנה,0
שדיד,0
אלעקאב,0
עט'ים,0
אלתקצי,0
לא,0
יגפר,0
אלד'נב,0
אלא,0
בעד,0
אלעקובהֿ,0
או,0
באת'ר,0
אלתובהֿ,0
ואלנצוח,0
והד'א,0
כלה,0
עלי,0
סביל,0
אלאגלאט',0
ם,0
לילא,0
תזל,0
אקדאמהם,0
פי,0
תרך,0
טאעהֿ,0
אללה.,0
פסוק,0
כו),0
תחת,1
האלה,1
אשר,1
