word,is_he
אלנץ,0
פאנה,0
עלי,0
כת'רתה,0
פיה,0
בסגול.,1
פסוק,0
כא),0
ולשון,1
זהב,1
"אחד,",1
סמי,0
אלסביכהֿ,0
לשון,1
מג'אזא,0
כמי,0
סמי,0
כ'ליג'א,0
מן,0
אלבחר,0
כד'לך,0
לשון,1
ים,1
מצרים,1
(ישעיה,1
"י""א",1
"ט""ו)",1
והו,0
אסם.,0
בתוך,1
"האהלי,",1
כאן,0
חק,0
מא,0
תערף,0
באתצאלה,0
באלצ'מיר,0
אן,0
תסקט,0
מנה,0
הא,0
אלתעריף,0
לילא,0
יג'תמע,0
תעריפאן,0
פי,0
חרף,0
ואחד,0
ומת'לה,0
אשר,1
בערינו,1
(עזרא,1
י',1
"י""ד)",1
לאן,0
אצלה,0
אשר,1
בהערינו,1
ומת'לה,0
והחציו,1
אל,1
מול,1
הר,1
עיבל,1
(יהושע,1
ולא,0
תג'יזה,0
אלערב.,0
פסוק,0
כג),0
"ויציקם,",1
משתק,0
מן,0
יצק,1
מים,1
"(מ""ב",1
ג',1
"י""א)",1
ואנדגמת,0
