word,is_he
א,0
ליס,0
תכון,0
לגהֿ,0
יצק,0
מכ'צוצהֿ,0
באלמאיעאת,0
דון,0
גירהא.,0
פסוק,0
כה),0
וירגמו,1
אתו,1
כל,1
ישראל,1
אבן,1
וישרפו,1
אתם,1
באש,1
ויסקלו,1
אתם,1
"באבנים,",1
גיר,0
ג'איז,0
אן,0
יחמל,0
אלחרק,0
עלי,0
מן,0
רג'ם,0
אד',0
ד'לד,0
מן,0
אפעאל,0
אלעבת',0
ואנמא,0
אנתהא,0
אלרסול,0
פיהם,0
אלי,0
אמר,0
אלאמר,0
תעאלי,0
פי,0
קולה,0
ישרף,1
באש,1
אתו,1
ואת,1
כל,1
אשר,1
לו,1
ואלרג'ם,0
אד'ן,0
אנמא,0
וקע,0
לג'מיעהם,0
בעד,0
אלאחראק,0
למעני,0
בקא,0
אלאת'ר.,0
וקאל,0
בעץ',0
אלמפסרין,0
אן,0
אלת'יאב,0
ומת'להא,0
מן,0
אלאת'את',0
אחרק,0
ורג'ם,0
אלחיואן,0
והד'א,0
פיה,0
כ'לאף,0
קול,0
אללה,0
תעאלי,0
ישרף,1
באש,1
ואלחאג'הֿ,0
כאנת,0
אלי,0
אלרג'ם,0
ליבקי,0
עליה,0
אלאת'ר,0
פיכון,0
פיה,0
ראדעא,0
וזאג'רא,0
לגירה,0
עלי,0
מר,0
אלדהור.,0
וקד,0
ד'הב,0
קום,0
ממן,0
לא,0
דרבהֿ,0
להם,0
בתפסיר,0
נצוץ,0
אלמקרא,0
אלי,0
קול,0
אן,0
בני,1
עכן,1
לם,0
יקתלוא,0
ואול,0
מה,0
ארד,0
הד'א,0
באן,0
אקול,0
אן,0
נצוץ,0
אלמקרא,0
לא,0
תכ'רג',0
מן,0
ט'אהרהא,0
אלא,0
אן,0
קדחת,0
פי,0
אחד,0
ת'לת'הֿ,0
אשיא,0
אלעקל,0
ואלנץ,0
ואלנקל,0
ואמת'ל,0
לכל,0
ואחר,0
מנחא,0
מת'אלא,0
ואקול,0
אמא,0
קדח,0
אלנץ,0
פי,0
אלעקל,0
פכקולה,0
כי,1
"י""י",1
אלהיך,1
אש,1
אכלה,1
חיא,1
(דברים,1
ד',1
"כ""ד)",1
וקד,0
צח,0
באלדלאיל,0
אלעקליהֿ,0
אן,0
אללה,0
תעלי,0
ליס,0
בג'סם,0
פיג'ב,0
אן,0
נתאול,0
הד'א,0
אלנץ,0
ונכ'רג'ה,0
ען,0
ט'אהרה,0
ואמא,0
מנאקצ'הֿ,0
אלנץ,0
לנץ,0
ת'אן,0
פהו,0
אלד'י,0
יסמיה,0
אלאולון,0
"ז""ל",1
שני,1
כתובים,1
המכחישין,1
זה,1
את,1
זה,1
ומת'אלה,0
קולה,0
פי,0
אלנסכ'הֿ,0
אלואחדהֿ,0
השדה,1
מלאה,1
עדשים,1
"(ש""ב",1
"כ""ג",1
"י""א)",1
ופי,0
אלת'אניהֿ,0
מלאה,1
שעורים,1
"(דהי""א",1
"י""א",1
"י""ג)",1
פנסתעמל,0
וג'ה,0
אלתאויל,0
ונקול,0
ימכן,0
אן,0
יכון,0
פי,0
אלצ'יעהֿ,0
אלעדס,0
ואלשעיר,0
או,0
אן,0
יכון,0
ד'לך,0
פי,0
וקתין,0
ואמא,0
רד,0
אלנץ,0
למא,0
פי,0
אלנקל,0
פהו,0
בקולה,0
ואחר,1
ישקה,1
את,1
האשה,1
את,1
המים,1
(במדבר,1
ה',1
"כ""ו)",1
וג'אנא,0
באלאת'ר,0
אלצחיח,0
אן,0
אלסקי,0
יתקדם,0
תקריב,0
אלקרבאן,0
פיג'ב,0
אן,0
נסקט,0
אלואו,0
מן,0
ואחד,0
חתי,0
יכון,0
תקדירה,0
יקרב,0
קרבאנהא,0
בעד,0
סקיהא.,0
ואד',0
קד,0
קדמת,0
הד'ה,0
אלמקדמהֿ,0
באכ'תצאר,0
אקול,0
אנא,0
למא,0
תפקדנא,0
נץ,0
אלכתאב,0
ען,0
עכן,1
וג'דנאה,0
לא,0
יקדח,0
ולא,0
פי,0
ואחדהֿ,0
מן,0
הד'ה,0
ומא,0
פיה,0
סוי,0
אן,0
יתעלק,0
אלקאיל,0
בתג'ויר,0
אלקצ'א,0
עלי,0
מא,0
סאבינה,0
בל,0
אן,0
אלנץ,0
יכון,0
פי,0
עכן,1
אן,0
בניה,0
וג'מיע,0
מן,0
אנצ'ם,0
אליה,0
קד,0
נפד',0
פיהם,0
חכם,0
אלקתל,0
לקולה,0
וישרפו,1
אתם,1
באש,1
ויסקלו,1
אתם,1
באבנים,1
ואמא,0
מן,0
תעלק,0
בתכ'ציץ,0
אלנץ,0
לה,0
פי,0
קולה,0
וירגמו,1
אתו,1
ובקולה,0
ויקימו,1
עליו,1
גל,1
אבנים,1
פאנה,0
ממא,0
לא,0
אעתבאר,0
בה,0
לאן,0
