word,is_he
הוי,1
למתפרות,1
כסתות,1
על,1
כל,1
אצילי,1
ידי-,1
מתפרות,1
פאעל,0
מן,0
אלת'קיל,0
אלמשדד,0
וכ[סת]ות,1
כ'רק,0
ואחדהא,0
כסת,1
וקד,0
ד'כרנא,0
אצילי,1
ידי,1
וקלנא,0
אנה,0
ליס,0
ללנסבה,0
פי,0
וק[רע,1
לו],1
חלוני.,1
ועושות,1
המספחות,1
על,1
ראש,1
כל,1
קומה,1
-,0
פסר,0
פיה,0
ט'רוף,0
מן,0
אלת'יאב,0
כקו',0
וקרעתי,1
את,1
מס[פ]חותיכם,1
פהי,0
אד'ן,0
וכסתות,1
סוא.,0
הנפשות,1
תצודדנה,1
לעמי,1
ונפשות,1
לכנה,1
ת[חיינה],1
-,0
אסתפהאם,0
ואן,0
כאן,0
משדד,0
מ[ת'ל,0
הברוב,1
כח],1
יריב,1
עמדי,1
ואלתקדיר,0
הנפשות,1
[עמי,1
תצוד]דנה,1
ונפשות,1
לכנה,1
תחיינה,1
אתצדן,0
נפוס,0
[שעבי,0
ונפוסכן,0
תחיין].,0
