word,is_he
שוטטו,1
בחוצות,1
ירושלם,1
-,0
אמר,0
מן,0
אלת'קיל,0
ומענאה,0
אלתטוף,0
מת'ל,0
משוט,1
בארץ.,1
אם,1
תמצאו,1
איש,1
אם,1
יש,1
עשה,1
משפט,1
מבקש,1
אמונה,1
-,0
גיר,0
ג'איז,0
אלא,0
יכון,0
פיהא,0
ואחד,0
בהד'ה,0
אלצפה,0
אנמא,0
יעני,0
מן,0
יאמר,0
באלמערוף,0
וינהי,0
ען,0
אלמנכר,0
ט'אהרא,0
ועלאניה,0
אלא,0
תרי,0
אן,0
פי,0
חין,0
פתחת,0
קד,0
קתל,0
פיהא,0
צאלחון,0
ואבראר,0
כת'ירון,0
כקולה,0
נתנו,1
את,1
נבלת,1
עבדיך,1
מאכל,1
לעוף,1
השמים,1
בשר,1
חסידיך,1
לחיתו,1
ארץ,1
וקאל,0
פי,0
יחזקאל,1
והתוית,1
תו,1
על,1
מצחות,1
האנשים,1
הנאנחים,1
והנאנקים,1
והד'א,0
ת'בת.,0
