word,is_he
כי,1
נטשתה,1
עמך.,1
פסר,0
פיה,0
רב,1
סעדיה,1
גאון,1
וד'רת,0
אי,0
תרכת,0
ואנמא,0
ד'כרתה,0
לך,0
לאן,0
אלערב,0
לא,0
תתכלם,0
באלפעל,0
אלמאצ'י,0
מנה,0
אסתגנא,0
ענה,0
בתרכת,0
ואנמא,0
קאלו,0
מנה,0
אלמסתקבל,0
ואלאמר,0
בחד'ף,0
אלואו,0
אלתי,0
הי,0
פאוה,0
פיקולון,0
ד'ר,0
כד'א,0
וכד'א,0
ופי,0
אלמסתקבל,0
לא,0
יבקי,0
ולא,0
יד'ר.,0
ובילדי,1
נכרים,1
ישפיקו.,1
אי,0
אנהם,0
יכתפון,0
בנואשי,0
אלאג'נביין,0
וחואדת'הם,0
ויג'עלונהא,0
רסומהם,0
אי,0
מא,0
יחדת'ונה,0
לטלב,0
עלם,0
אלגיב,0
מת'ל,0
אלתפאל,0
וגירה.,0
