word,is_he
ויקרא,1
אריה,1
על,1
מצפה,1
ה',1
אנכי,1
עמד,1
תמיד,1
יומם,1
ועל,1
משמרתי,1
אנכי,1
נצב,1
כל,1
הלילות,1
-,0
חד'ף,0
מן,0
אריה,1
כאף,0
אלתשביה,0
וכת'ירא,0
מא,0
יחד'פונהא,0
כקולה,0
נזם,1
זהב,1
באף,1
חזיר,1
וגירה.,0
וצף,0
אן,0
אלטאלע,0
נאדי,0
בצות,0
כזיר,0
אלאסד,0
וקולה,0
על,1
מצפה,1
ה',1
ליס,0
מצפה,1
מצ'אפא,0
אלי,0
אסם,0
ה',1
לאנה,0
בסגול,1
ותר[ג'מת]ה,0
תכון,0
הכד'א,0
אני,0
יא,0
רב,0
ואקף,0
עלי,0
אלמטלע,0
נהארא,0
ועלי,0
מכאן,0
חפט'י,0
אנא,0
מנתצב,0
לילא,0
פאד'א,0
ברכב,0
אשכ'אץ,0
פרסאן,0
יקולון,0
סקטת,0
באבל,0
ואנכסרת,0
אצנאמהא.,0
ולפט',0
ה',1
אלד'י,0
פי,0
אלפסוק,0
הו,0
פי,0
אלאעראב,0
נדא,0
כמא,0
ג'עלנאה,0
פי,0
אלתרג'מהֿ.,0
ואנמא,0
נאדאה,0
לאמתת'אלה,0
מא,0
אמרה,0
בה,0
פי,0
קולה,0
לך,1
והעמד,1
המצפה,1
והד'א,0
וצף,0
אלנכבהֿ,0
אלחאדת'הֿ,0
עלי,0
בגדאד,0
עלי,0
ידי,0
אלפרס.,0
