word,is_he
משא,1
דומה,1
אלי,1
קורא,1
משעיר,1
שומר,1
מה,1
מלילה,1
שומר,1
מה,1
מליל,1
-,0
וחי,0
אלאמהֿ,0
אלהאלכהֿ,0
ואמא,0
קולה,0
אלי,1
קורא,1
משעיר,1
פהו,0
כאנה,0
עלי,0
לסאן,0
אלטאלע,0
אלמחתרס,0
פי,0
מנאדאתה,0
איאה,0
מסתעלמא,0
מנה,0
מא,0
מצ'י,0
מן,0
אלליל,0
ומא,0
בקי,0
מנה.,0
והו,0
יעני,0
אי,0
שי,0
בקי,0
[מן,0
דו]לתהם,0
פכאן,0
אלמג'יב,0
יקול,0
קד,0
פנית,0
ג'מעא,0
פאן,0
כנתם,0
תבגוא,0
פארג'עוא,0
ענהא.,0
ותקדיר,0
מה,1
מלילה,1
מה,1
הלך,1
מלילה.,1
וליל,0
הנא,0
עלי,0
לפט',0
אלאצ'אפהֿ,0
פי,0
גיר,0
אלאצ'אפהֿ.,0
והד'ה,0
אלנבוהֿ,0
נזלת,0
פי,0
אלרום,0
לא,0
מחאלהֿ.,0
ודומה,1
מדת'ל,0
שכנה,1
דומה,1
נפשי.,1
ומתרג'ם,0
ישעיהו,1
ללנצארי,0
תרך,0
דומה,1
גיר,0
מתרג'ם,0
לעלמה,0
במא,0
פיה,0
או,0
לג'הלה,0
במענאה.,0
ואמא,0
מן,0
קאל,0
אן,0
דומה,1
הו,0
דומה,1
בן,1
ישמעאל,1
פהו,0
גפל,0
לאן,0
אלנבוהֿ,0
אלתי,0
תליהא,0
הי,0
פיהם,0
והי,0
אלתי,0
אולהא,0
משא,1
בערב,1
ביער,1
בערב,1
תלינו.,1
