word,is_he
מק,1
יהיה.,1
אסם,0
משתק,0
מן,0
תמקנה,1
בחוריהן,1
ואלמעני,0
אלד'ובאן.,0
ותחת,1
חגורה,1
נקפה.,1
אסם,0
ג'ראחהֿ,0
ומנה,0
קיל,0
חגים,1
ינקפו,1
ופי,0
כלאם,0
אלאולין,0
"ז""ל",1
אין,1
אדם,1
נקף,1
באצבעו,1
למטה,1
אלא,1
אם,1
כן,1
מכריזין,1
עליו,1
מלמעלה,1
ליס,0
ינג'רח,0
אלא,0
בקדר.,0
ותחת,1
מעשה,1
מקשה.,1
תפסירה,0
[בד]ל,0
אלהיהֿ,0
אלמסתויהֿ,0
ומעשה,1
ליס,0
מצ'אפא,0
אלי,0
מקשה,1
ואלדליל,0
עלי,0
ד'לך,0
כונה,0
בסגול,1
ומקשה,1
צפהֿ,0
לה,0
ומת'לה,0
ומראה,1
האופנים,1
ומעשיהם,1
אי,0
היאתהא,0
וצפתהא.,0
כי,1
תחת,1
יופי.,1
מתצל,0
באול,0
אלפסוק,0
אלד'י,0
יליה,0
יקול,0
אן,0
בדל,0
תג'מלכן,0
ותחסנכן,0
ללרג'אל,0
אנהם,0
יקעון,0
באלסיף,0
פיד'הב,0
מא,0
תג'מלתן,0
בה,0
צ'איעא.,0
כה.,1
וקולה,0
וגבורתך,1
במלחמה,1
יריד,0
אנשי,1
גבורתך.,1
