word,is_he
כרע,1
בל,1
קרס,1
נבו,1
-,0
תשט'א,0
נבו,1
אי,0
צאר,0
שט'איא,0
ומנה,0
סמית,0
אלקטעאת,0
אלדאכ'להֿ,0
פי,0
אלערי,0
קרסים.,1
ונבו,1
ובל,1
אסמאן,0
לצנמין,0
בבגדאד,0
אלא,0
תרי,0
אלי,0
אצ'אפהֿ,0
אסמא,0
אלנאס,0
אליהמא,0
מקדמהֿ,0
ומוכ'רהֿ,0
ויקול,0
אלרום,0
אן,0
בל,0
ענדהם,0
אסם,0
אלמשתרי,0
ונבו,1
אסם,0
עטארד,0
וגיר,0
בעיד,0
אן,0
יתכ'ד',0
אלצנם,0
עלי,0
אסם,0
אלכוכב,0
ויג'על,0
ואסטהֿ,0
בינהם,1
ובינה,0
עלי,0
אעתקאדאת,0
להם,0
פי,0
ד'לך,0
בעידהֿ,0
מן,0
אלצואב,0
ואמא,0
מג'י,0
הד'ה,0
אלאסמא,0
מקדמהֿ,0
פמת'ל,0
בלשצר,1
ואלמוכ'רהֿ,0
סמגר,1
נבו.,1
