word,is_he
כי,1
כל,1
סאון,1
סואן,1
ברעש,1
-,0
הו,0
ענד,0
אלמפסר,0
מן,0
סאה,1
אלד'י,0
הי,0
אלכיל,0
במעני,0
אנה,0
כיל,0
לה,0
באלכיל,0
אלד'י,0
כאל,0
לגירה,0
עלי,0
מעני,0
במדה,1
שאדם,1
מודד,1
בה,1
מודדין,1
לו,1
ותקול,0
אלערב,0
כמא,0
תדין,0
תדאן.,0
ויריד,0
בקולה,0
ושמלה,1
מגוללה,1
בדמים,1
אנה,0
קד,0
צאר,0
כאלת'וב,0
אלמצ'רג',0
באלדם,0
אלד'י,0
לא,0
חילהֿ,0
לתנט'יפה,0
אלא,0
באלנאר,0
וכד'לך,0
כאנת,0
אלחאדת'הֿ,0
עליהם,0
באלנאר,0
כקולה,0
ותחת,1
כבודו,1
יקד,1
יקוד,1
כיקוד,1
אש.,1
וד'לך,0
שביה,0
באלנאר,0
אלתי,0
ט'הרת,0
לנדב,1
ואביהו,1
פאנהא,0
חאלתהם,0
ופרקת,0
בין,0
אנפסהם,0
ואג'סאדהם.,0
ופסר,0
פיה,0
אבו,0
אלוליד,0
כל,1
שאין,1
מן,0
מעני,0
אלשין,0
אלד'י,0
הו,0
אלעיב,0
בתקריב,0
מן,0
מג'אנסהֿ,0
לגהֿ,0
אלערב,0
ואנא,0
מתכ'ר,0
ען,0
עלם,0
מעני,0
הד'א,0
אללפט',0
פהו,0
מן,0
אללפט',0
אלעויץ,0
אלד'י,0
לא,0
תנהץ',0
אליה,0
רג'ל,0
אלקיאס,0
כמא,0
קלת,0
פאעלמה.,0
