word,is_he
פסרת,0
אריאל,1
מוסמא,0
מתל,0
קולה,0
פי,0
בניהו,1
בן,1
יהוידע,1
הוא,1
הכה,1
את,1
שני,1
אריאל,1
מואב,1
אלתי,0
הי,0
מואסם.,0
ולדלך,0
סמא,0
אלמזבח,0
בהדא,0
אלאסם,0
אד,0
יקול,0
יחזקאל,1
והאריאל,1
שתים,1
עשרה,1
ארך,0
מן,0
טריק,0
אן,0
אלקום,0
יגתמעון,0
אליה,0
פיקפון,0
חדאה,0
פקד,0
צאר,0
להם,0
כאלמוסם.,0
ואשתקקת,0
ינקפו,0
מן,0
קולה,0
הקף,1
את,1
העיר,1
פעם,1
אחת.,1
פגעלתה,0
אחדאקא.,0
וצרפת,0
קולה,0
וחניתי,1
כדור,1
מן,0
קולה,0
ובכל,1
די,1
דאירין,1
בני,1
אנשא,1
פסרתה,0
סכנא.,0
ואמא,0
מצורות.,1
[יד],0
פהו,0
יחתמל,0
ג',1
תצאריף,0
אן,0
יכון,0
מחאפט'א,0
כמא,0
וצ'ע,0
פי,0
אלנץ.,0
ואן,0
יכון,0
מצארא,0
משתק,0
מן,0
צר,1
ומצוק.,1
ואן,0
יכון,0
חצארא,0
מעארא,0
מן,0
ובנית,1
מצור.,1
ווצלת,0
אכר,0
אלפסוק,0
והיה,1
לפתע,1
פתאם,1
באול,0
פסוק,1
מעם,1
ה',1
צבאות,1
חתי,0
אנתט'ם,0
אלמעני.,0
ופסרת,0
צביה,0
מרידיהא,0
מן,0
לגה,0
אלתרגום,0
די,1
לא,1
תשנא,1
צבו,1
בדניאל.,1
וכדלך,0
די,1
הוא,1
צבא,1
הוה,1
קטיל,1
וסאיר,0
מא,0
פי,0
דלך,0
אלפסוק,0
מן,0
הדה,0
אללפט'ה.,0
וצרפת,0
קולה,0
ומצודתה,1
מן,0
ואשר,1
לא,1
צדה,1
יקול,0
בצדיה,1
"וימות,",1
פפסדתה,0
תעמדא,0
בעד,0
שרחי,0
אן,0
אריאל,1
מוסם.,0
יכון,0
קולה,0
ספו,1
שנה,1
על,1
שנה,1
וצפא,0
אלחאל,0
אלקריה,0
אן,0
אלנאס,0
יגתמעו,0
אליהא,0
מן,0
חול,0
אלי,0
חול,0
כק',0
והלך,1
מדי,1
שנה,1
בשנה,1
ויחוטון,0
