word,is_he
[…],0
אבתדי,0
אלפצל,0
במא,0
כאן,0
[אלרב,0
קד],0
אעדה,0
ללקום,0
מן,0
אלנצר,0
עלי,0
אלאעדא,0
פי,0
הדו,0
וקראר,0
ואטמנאן,0
כמא,0
פעל,0
עלי,0
עהד,0
שמואל,1
וירעם,1
יי',1
בקול,1
גדול,1
וכאן,0
דלך,0
בתובה,0
לאן,0
אלקום,0
תאבו,0
כק',0
אם,1
בכל,1
לבבכם,1
אתם,1
שבים,1
וכמא,0
צנע,0
עלי,0
דויד,1
מן,0
כפאיה,0
אלאעדא,0
בצות,0
כטא,0
אלמלאיכה,0
עלי,0
אלשגר,0
כק',0
ויהי,1
כשמעך,1
את,1
קול,1
הצעדה,1
וכמא,0
כאן,0
פי,0
איאם,0
שלמה,1
בנחת,0
אד,0
קאל,0
הניח,1
יי',1
אלי',1
לי,1
מסביב,1
וכפאיתה,0
פי,0
איאם,0
יהושפט,1
אעראה,0
כקו',0
נתן,1
יי',1
מארבים,1
וכאן,0
דלך,0
בהשקט,1
כמא,0
וצף,0
ותשקוט,1
מלכות,1
יהושפט,1
וכמא,0
כפא,0
חזקיה,1
אמר,0
סנחריב,1
פי,0
אלליל,0
וכאן,0
דלך,0
בבטחה,1
כקו',0
לקומה,1
עמו,1
זרוע,1
בשר,1
ועמנו,1
יי',1
אלינו,1
לעזר,1
פלדלך,0
גמע,0
ההנא,0
ארבעתהא,0
שובה,1
ונחת,1
השקט,1
ובטחה,1
וקאל,0
להם,0
ארדת,0
בכם,0
דלך,0
ולם,0
תשו,0
דלך,0
לא,0
אביתם,0
פקאל,0
אלקום,0
לא,0
בל,0
נריד,0
אלכיל,0
לכי,0
אן,0
אחתגנא,0
אלי,0
אלהרב,0
נגת,0
בנא,0
על,1
סוס,1
ננוס,1
פקאל,0
להם,0
כמא,0
קלתם,0
תהרבון,0
לא,0
עלי,0
כיל,0
על,1
כן,1
תנוסון,1
פקט,0
וכמא,0
טלבתם,0
אלכפה,0
יכף,0
טאלבוכם,0
והאזמוכם,0
יקלו,1
רודפיכם,1
ולא,1
תרכבו,1
על,1
קל.,1
והד'א,0
נט'יר,0
מא,0
קאלו,0
עלי,0
עהד,0
יחזקאל,1
ען,0
בית,0
אלקדס,0
היא,1
הסיר,1
ואנחנו,1
הבשר.,1
ליס,0
נפארקהא,0
פאגאבהם,0
במא,0
מאיף,0
(?),0
היא,1
לא,1
תהיה,1
לכם,1
לסיר,1
ואתם,1
ת',1
בת',1
לבש',1
וכקול,0
ט'אלם,0
מתעדי,0
אנה,0
לא,0
יכף,0
ען,0
שי,0
גצבה,0
ולו,0
קטעת,0
ידה,0
פיגיבה,0
אלמגיב,0
באן,0
ידה,0
תקטע,0
ויכף,0
ענה.,0
ואכברהם,0
יבקון,0
שארית,1
יסירה,1
ראכנין,0
על,0
אללה,0
(?),0
ואן,0
אללה,0
אנמא,0
פעל,0
בהם,0
רחמה,0
וראפה,0
עליהם.,0
ולכן,1
יחכה,1
יי',1
ואראד,0
אן,0
יכונו,0
ירגונה,0
הו,0
פקט,0
לא,0
אחד,0
מן,0
אלמכלוקין,0
מעה,0
כקו',0
אשרי,1
כל,1
חוכי,1
לו.,1
ואכברהם,0
בעודתהם,0
פי,0
בית,0
[…]ב,0
כי,1
עם,1
בציון,1
ישב,1
ודלך,0
מא,0
קסמו,0
אלקום,0
י',1
אקסאם,0
אחד,1
מן,1
העשרה,1
לשבת,1
בירוש',1
עיר,1
הקדש,1
ותשע,1
הידות,1
בערים,1
חנוך,1
יחנך,1
[…],0
אלקום,0
אלדין,0
וקפו,0
על,0
[…],0
[ב],0
אלחגר,0
אלדי,0
כל,0
מן,0
שאלה,0
ינכדש,0
בקולה,0
אשים,1
את,1
ירושלים,1
מעמסה,1
לכל,1
העמים.,1
וצאר,0
מן,0
הד'ה,0
אלקצה,0
אלי,0
נעת,0
אלמלך,0
אלעדל,0
אלצאלח,0
וחאל,0
אהל,0
זמאנה,0
פקאל.,0
