word,is_he
ואת,1
ביתו,1
בנה,1
שלמה,1
שלש,1
עשרה,1
"שנה,",1
אחת,1
עשרה,1
אלי,0
תמאם,0
אלתלאתהֿ,0
עשר,0
כמא,0
קלנא,0
פי,0
קצהֿ,0
"שמשון,",1
אן,0
ותבך,1
עליו,1
שבעת,1
"הימים,",1
אי,0
בקייהֿ,0
שבעת,1
הימים.,1
וכד'לך,0
ותשקט,1
הארץ,1
ארבעים,1
"שנה,",1
תמאם,0
ארבעים,1
"שנה,",1
במא,0
תקדם,0
מן,0
אלשעבוד,0
כמא,0
"ביינא,",0
וג'יר,0
ד'לך,0
"איצ'א,",0
פיכון,0
עלי,0
הד'א,0
אקאם,0
פי,0
בנאיהֿ,0
בית,1
ה',1
סבע,0
"סנין,",0
ופי,0
בנאיהֿ,0
ביתה,0
סת,0
"סנין,",0
אלגמלה,0
תלאת',0
עשר,0
סנה.,0
וחצל,0
לשלמה,1
"אלגזא,",0
לאגל,0
המתה,0
פי,0
בנא,0
בית,1
אללה,0
פי,0
סבע,0
"סנין,",0
הו,0
קולהם,0
"ז""ל",1
בגמר,1
סנהדרין,1
כשמנו,1
שלשה,1
מלכים,1
וארבעה,1
הדיוטות,1
אין,1
להם,1
חלק,1
לעולם,1
"הבא,",1
שלשה,1
מלכים,1
ירבעם,1
ואחאב,1
"ומנשה,",1
וארבעה,1
הדיוטות,1
בלעם,1
ודואג,1
אחיתופל,1
וגיחזי.,1
מי,1
"מנאם,",1
אנשי,1
כנסת,1
הגדולה,1
"מנאום,",1
ובית,1
דינו,1
של,1
עזרא,1
הם,1
הנקראים,1
אנשי,1
כנסת,1
הגדולה,1
והם,1
חגי,1
זכריה,1
ומלאכי,1
ודניאל,1
חנניה,1
מישאל,1
ועזריה,1
ונחמיה,1
בן,1
חכליה,1
ומרדכי,1
וזרובבל,1
והרבה,1
זקנים,1
עמהן,1
תשלום,1
מאה,1
ועשרים,1
"זקנים,",1
האחרון,1
מהם,1
הוא,1
שמעון,1
"הצדיק,",1
והוא,1
מכלל,1
המאה,1
"ועשרים,",1
וקיבל,1
מכולם,1
והוא,1
היה,1
כהן,1
גדול,1
אחר,1
עזרא.,1
אמרו,1
"ז""ל",1
החכמים,1
שנקראו,1
במשנה,1
בשמן,1
בלא,1
כנוי,1
כמות,1
שמעון,1
"הצדיק,",1
"ואנטגנוס,",1
"ושמעיה,",1
"ואבטליון,",1
ושאר,1
"הזוגות,",1
וכן,1
יוחנן,1
כהן,1
"גדול,",1
וחוני,1
"המעגל,",1
ואליהועיני,1
בן,1
"הקף,",1
חננאל,1
"המצרי,",1
עקביה,1
בן,1
"מהלאל,",1
"חנן,",1
"אדמון,",1
"הלל,",1
"שמאי,",1
נחום,1
"הלבלר,",1
חנניה,1
בן,1
חזקיה,1
בן,1
"גרון,",1
בבא,1
בן,1
"בוטא,",1
כל,1
אלו,1
נקראו,1
בשמותן,1
כמות,1
"הנביאים,",1
שאין,1
מכנין,1
אותן.,1
וכן,1
אמרו,1
"רז""ל",1
גדול,1
מרבן,1
שמו.,1
אמר,1
רב,1
יהודה,1
אמר,1
שמואל,1
עוד,1
אחד,1
בקשו,1
"למנות,",1
באת,1
דמות,1
דיוקני,1
של,1
אביו,1
נשתטחה,1
לפניהן,1
ולא,1
"השגיחו,",1
באת,1
אש,1
וליחכה,1
ספסליהן,1
ולא,1
"השגיחו,",1
יצאת,1
בת,1
קול,1
ואמרה,1
להן,1
חזית,1
איש,1
מהיר,1
במלאכתו,1
לפני,1
מלכים,1
יתיצב,1
בל,1
יתיצב,1
לפני,1
"חשוכים,",1
מי,1
שהקדים,1
ביתי,1
"לביתו,",1
ולא,1
עוד,1
אלא,1
שביתי,1
בנה,1
בשבע,1
"שנים,",1
וביתו,1
בשלש,1
עשרה,1
"שנה,",1
לפני,1
חשכים,1
יתיצבו,1
ולא,1
"השגיחו,",1
חזרה,1
ואמרה,1
להם,1
המעמך,1
ישלמנה,1
כי,1
מאסת,1
כי,1
אתה,1
תבחר,1
ולא,1
"אני,",1
ומה,1
ידעת,1
"דבר,",1
מיד,1
פירשו.,1
פירוש,1
המעמך,1
"ישלמנה,",1
כלומר,1
מכם,1
התחיל,1
"הקב""ה",1
לשלם,1
לרשע,1
"גמולו,",1
כי,1
"מאסת,",1
כי,1
מאסתם,1
את,1
מוסרו.,1
כי,1
אתה,1
תבחר,1
ולא,1
"אני,",1
כלומר,1
אתם,1
תבחרו,1
