word,is_he
די,1
לא,1
שלט,1
נורא,1
"בגשמהון,",1
לם,0
תתסלט,0
אלנאר,0
עלי,0
ג'סמהם,0
מג'אנס,0
"ללערבי,",0
אי,0
לם,0
תות'ר,0
"פיה,",0
ומנה,0
גשמיה,0
יצטבע,0
כמא,0
סיאתי.,0
לא,0
"התחרך,",0
לם,0
"יתשעוט,",0
ומן,0
מענאה,0
יחרך,1
רמיה,1
"צידו,",1
והו,0
מסתעמל,0
פי,0
כלאם,0
אלחכמים,0
"ז""ל",1
איצ'א.,0
לא,1
עדת,1
"בהון,",1
לם,0
תתעדא,0
"אליהם,",0
מת'ל,0
לא,1
סרה,1
"אליהם,",1
לאן,0
סר,1
תרגומה,1
"עדא,",1
פכמא,0
ענדנא,0
פי,0
סר,0
מעני,0
אלמיל,0
ואלתעדי,0
ואלעבור,0
ומעני,0
"אלזואל,",0
כד'לך,0
אסתעמלו,0
עדא,0
פי,0
"אלמעניין,",0
פקולה,0
פי,0
מא,0
תקדם,0
מהעדה,1
מלכין,1
מן,0
אלמעני,0
"אלת'אני,",0
והד'א,0
אן,0
אלמעני,0
"אלאול,",0
וד'לך,0
מן,0
תשאבה,0
"אללגתין,",0
ופסר,0
פיה,0
חתי,0
ראיחהֿ,0
אלנאר,0
לם,0
תעבק,0
"בהם,",0
ואלאמר,0
"כד'לך,",0
אלא,0
אן,0
מחט,0
שרח,0
אללפט',0
הו,0
אלתעדי,0
ואלעבור,0
כמא,0
בינא.,0
