word,is_he
לא,1
חשחין,1
אנחנא,1
על,1
דנא,1
פתגם,1
"להתבותך,",1
מענאה,0
ליס,0
נחתאג',0
אלי,0
ג'ואב,0
נג'יבך,0
ען,0
הד'א,0
"אלקול,",0
ופי,0
עזרא,1
מת'לה,0
ומה,1
חשחן.,1
ומעני,0
קולהם,0
לא,0
נחתאג,0
"ג'ואבא,",0
אי,0
אנא,0
לא,0
נעתד'ר,0
בעד'ר,0
פי,0
"ד'לך,",0
פאנה,0
חק,0
אנא,0
לא,0
נפעלה,0
ולא,0
נסג'ד,0
לגיר,0
רבנא.,0
ואחסן,0
מן,0
הד'א,0
אן,0
מענאה,0
לא,0
נלתפת,0
ולא,0
נבאלי,0
ולא,0
נכ'שא,0
אן,0
נג'יבה,0
ען,0
הד'א,0
אלקול,0
למא,0
הדדתנא,0
"בה,",0
וחשחין,0
פי,0
הד'א,0
אלמעני,0
משאבה,0
קריב,0
מן,0
קול,0
אלאואיל,0
"ז""ל",1
"חוששין,",1
ואין,1
חוששין.,1
וישירון,0
בקולהם,0
דנא,1
"פתגם,",1
ען,0
קולה,0
ומן,1
הוא,1
אלה,1
די,1
ישזבנכון,1
מן,1
"ידי,",1
פקאלו,0
לה,0
נחן,0
ליס,0
נכ'שא,0
מנך,0
ען,0
אן,0
נג'יבך,0
ען,0
"קולך,",0
פאן,0
רבנא,0
בלא,0
שך,0
קאדר,0
עלי,0
"ד'לך,",0
לכן,0
לא,0
נעלם,0
הל,0
נסתחק,0
ד'לך,0
ענדה,0
אם,0
"לא,",0
ומע,0
ד'לך,0
פסוא,0
פעל,0
מענא,0
מא,0
הו,0
קאדר,0
עליה,0
מן,0
תכ'ליצנא,0
או,0
לם,0
"יפעל,",0
פאנא,0
נחן,0
לא,0
נכ'רג',0
ען,0
"טאעתה,",0
פיכון,0
ד'לך,0
ענדך,0
"מעלומא,",0
ד'לך,0
קולהם,0
הן,1
איתי,1
אלהנא,1
וכו',1
והן,1
לא,1
ידיע,1
להוא,1
לך,1
"מלכא,",1
מעני,0
"והן,",0
ואם,0
כמא,0
"תקדם,",0
אי,0
ואן,0
לם,0
"יפעל,",0
פאעלם,0
אנת,0
ד'לך,0
ותיקנה.,0
