word,is_he
אוצ'ח,0
הני,0
מא,0
עליה,0
כת'יר,0
מן,0
אלנאס,0
מן,0
אלוהם,0
ואלתקאול,0
פי,0
מנאלהם,0
פי,0
הד'י,0
"אלדאר,",0
וכת'יר,0
מא,0
יכ'תלג,0
באוהאמהם,0
אן,0
נצבתהם,0
פיהא,0
נצבת,0
אלבהאים,0
למא,0
ישאהדונה,0
מן,0
תעאקב,0
אלאעראץ',0
"להם,",0
ולתסאויהם,0
פי,0
אלרוח,0
אלנאמי,0
"ואלחיואני,",0
ואן,0
ערץ',0
אלמות,0
מתסאוי,0
"להם,",0
פיבדנונה,0
פי,0
נפסהם,0
ויסתכשעונה,0
"ויסתעצ'מונה,",0
דון,0
אן,0
יאבהון,0
לאלפרק,0
אלשריף,0
אלדין,0
כ'צו,0
בה,0
מן,0
אלנטק,0
ושרף,0
אלנפס,0
אלנאטקה,0
אלמרתקייה,0
"צעודא,",0
פאלי,0
הד'י,0
אלמנזע,0
נזע,0
פי,0
אפתתאחה,0
על,1
דברת,1
בני,1
האדם,1
מא,0
יתקאולונה,0
ויתהומונה.,0
"ודברת,",0
"אסם,",0
על,1
דברתי,1
מלכי,1
צדק.,1
ואלשיוך',0
ישרחונה,0
מרתבה,0
ומנזלה,0
וכ'בר,0
"איצ'א,",0
ונחן,0
נפעל,0
פיהא,0
מא,0
"ד'כרנאה,",0
ולברם,0
"האלהים,",0
מצדר,0
קאים,0
בין,0
אלמת'לין,0
ואלמים,0
צ'מיר,0
גמיע,0
"אלמפעולין,",0
ווגהה,0
לבררם,0
"האלהים,",0
למא,0
אצ'הרהם,0
ואשהרהם,0
ואוצ'ח,0
חאלהם,0
ואמאזהם.,0
ונצ'ם,0
ולראות,1
שהם,1
בהמה,1
המה,1
להם,1
ולראות,1
המה,1
להם,1
שהם,1
"בהמה,",1
פיכון,0
שרח,0
להם,0
לאנפסהם,0
אנהם,0
בהאים.,0
"ומקרה,",0
אסם,0
מקתטע,0
מן,0
קרה,0
מעתל,0
אלללאם,0
והו,0
מנפצל,0
לכונה,0
משכולא,0
"בסגול,",0
ומא,0
כאן,0
מתצלא,0
"פבאלצירי,",0
ולהד'י,0
מא,0
שרחנאה,0
אן,0
אלנאס,0
ערץ',0
וכד'לך,0
בהאימהם,0
ערץ',0
"פפצלנאה,",0
ולם,0
נשרחה,0
לאן,0
ערץ',0
אלנאס,0
וערץ',0
אלבהאים,0
פנוצלה.,0
ופי,0
כמות,0
זה,0
כן,0
מות,0
זה,0
"עאמלאן,",0
נעני,0
כאף,0
תשביה,0
מעכף.,0
וג'לב,0
אלמד'כר,0
פי,0
קולה,0
כן,0
מות,0
זה,0
לאן,0
וגהה,0
כן,1
ימות,1
"זה,",1
יעני,0
"אלבהמה,",0
ומת'לה,0
משבעתך,1
"הזה,",1
ילד,1
"שבר,",1
אשר,1
הביא,1
"שפחתך,",1
פיג'לב,0
אלתד'כיר.,0
ואן,0
קיל,0
אן,0
קולה,0
זה,0
הנא,0
יכ'ץ,0
אלשכ'ץ,0
מנהא,0
גאז.,0
ורוח,1
אחד,1
"לכל,",1
אומי,0
אלי,0
אלרוח,0
אלחיואני,0
אלמשתרך,0
פיה,0
אלנאטק,0
וג'יר,0
"נאטק,",0
והי,0
אלמערופה,0
באלנפס,0
אלחיואנייה,0
אלתי,0
תלפהא,0
בתלאף,0
אלגסם.,0
"ומותר,",0
אסם,0
אלפצ'ילה,0
אי,0
לא,0
פצ'ילה,0
לאלנאטק,0
עלי,0
ג'ירה,0
למא,0
ילחקה,0
אלאסתחאלה.,0
פאצל,0
קול,0
לברם,0
האלהים,0
הו,0
מא,0
יתקאולונה,0
ויתכלמון,0
בה,0
כת'ירא,0
אן,0
אלרב,0
אצ'הרהם,0
ואשהרהם,0
ולאנהם,0
ירון,0
אנפסהם,0
אנהא,0
מסאויה,0
"לבהאימהם,",0
פלמא,0
אסתועב,0
אלמבתלג',0
באנפסהם,0
וצף,0
אלד'י,0
קאדהם,0
אליה,0
והו,0
קלהֿ,0
תפטנהם,0
ושעורהם,0
באלנפס,0
אלאלאהייה,0
אלשריפה,0
אלמיגודה,0
(פיהא),0
[פיהם],0
וחאלהא,0
ומרתבתהא,0
בעד,0
"אלמות,",0
ד'אך,0
קולה,0
מי,1
יודע,1
רוח,1
בני,1
"האדם,",1
אד',0
מן,0
יעלם,0
מנהם,0
אן,0
נפס,0
אלנאטקין,0
הי,0
אלמרתקייה,0
אלי,0
ענצרהא,0
לצפא,0
גרמהא,0
ונקא,0
"גוהרהא,",0
ואן,0
נפס,0
אלבהימה,0
לג'לצ'הא,0
וכת'אפתהא,0
הי,0
אלחטיטה,0
אלמסתפלה,0
מנצרפה,0
אלי,0
ענצרהא,0
אלתראבי,0
פתנקטע,0
"ותנדת'ר,",0
פלמא,0
כאן,0
צדר,0
אלקול,0
קאצדא,0
מא,0
יתקאולונה,0
צאר,0
מי,0
יודע,0
מצרופא,0
"אליהם,",0
יעני,0
מי,1
יודע,1
מהם,1
רוח,1
בני,1
"האדם,",1
אי,0
מן,0
ג'לץ',0
אוהאמהם,0
וקלהֿ,0
שעורהם,0
אנהם,0
יסתשערון,0
אלגסם,0
אלמרכב,0
ולא,0
יסתשערון,0
אלרוחאני,0
אלשריף,0
ולא,0
יאבהון,0
אליה,0
ולא,0
אלי,0
מנזלתה,0
"לארתקאיה,",0
פינמאז,0
להם,0
אלכון,0
אלכ'טיר,0
בין,0
"אלשכ'צין,",0
ויכון,0
מי,0
יודע,0
עלי,0
וגה,0
אלעדם,0
"ואלאנכאר,",0
אי,0
מן,0
פיהם,0
מסתשער,0
מלקן,0
בשרף,0
נפסה,0
וכ'סאסהֿ,0
תלך,0
אלארואח,0
"אלחיואנייה,",0
ונצ'יר,0
מי,1
שמך,1
לאיש,1
שר,1
ושופט,1
"עלינו,",1
מי,1
יקום,1
יעקב,1
כי,1
קטן,1
"הוא,",1
ואן,0
געלתה,0
לפץ',0
תעזיז,0
טאבק,0
"אלמקצד,",0
ואיש,1
אמונים,1
מי,1
"ימצא,",1
אי,0
אנה,0
"עזיז,",0
אשת,1
חיל,1
מי,1
ימצא.,1
ואלהא,0
פי,0
העולה,0
והיורדת,0
לאלמערפה,0
לא,0
"מחאלה,",0
והי,0
צפאתהא,0
אלמעלומה,0
אלמחקקה,0
"להא,",0
ואלנצ'ם,0
רוח,1
בני,1
אדם,1
היא,1
העולה,1
ורוח,1
הבהמה,1
היא,1
היורדת.,1
ומן,0
אלשיוך',0
מן,0
געל,0
העולה,0
הני,0
נצ'יר,0
"גולה,",0
"חולה,",0
אי,0
אן,0
אלנפס,0
אלנאטקה,0
אללטיפה,0
הי,0
"אלמרתקייה,",0
ונפס,0
אלבהימה,0
אלכת'יפה,0
הי,0
אלחטיטה,0
מע,0
אלארץ'.,0
ומנהם,0
מן,0
געל,0
אלהא,0
מקאם,0
אשר.,0
אי,1
אשר,1
עולה,1
ואשר,1
"יורדת,",1
ונצ'יר,0
ואת,1
השוק,1
ואת,1
"העליה,",1
ההלכו,1
אתו.,1
אסתבאן,0
מן,0
דרג,0
הד'י,0
אלוצף,0
מנזלת,0
אלנפס,0
אלרוחאנייה,0
בעד,0
אלמות,0
וארתקאהא,0
וצרפהא,0
אלי,0
עאלם,0
אלארואח,0
עאלם,0
אלדואם,0
וחצולהא,0
פי,0
אלנעים,0
אלמובד,0
ומחל,0
אלנור,0
אלמחץ',0
"מכ'לדה,",0
ואן,0
אלארואח,0
אלגסמאנייה,0
פאניה,0
ד'אהבה,0
בפנא,0
"אגסאמהא,",0
ואן,0
כל,0
ואחדה,0
מנצרפה,0
אלי,0
"ענצרהא,",0
ואנהא,0
לא,0
מנפעה,0
להא,0
מן,0
דניאהא,0
בעד,0
אלאפתראק,0
ולא,0
פאיד,0
פי,0
גמיע,0
מכסבהא,0
ושקאהא,0
ג'יר,0
מא,0
חצלת,0
עליה,0
מן,0
טיב,0
עיש,0
והנא,0
סאעה,0
ולד'ת,0
"וקת,",0
ואן,0
צאר,0
ד'לך,0
אלמכסב,0
אלי,0
וארת'ה,0
או,0
מן,0
תקר,0
בה,0
עינה,0
לם,0
יכון,0
לה,0
לד'ה,0
וראחה,0
פיה,0
בעד,0
"אלמות,",0
אד',0
חאלתה,0
ג'יר,0
משאהדה,0
פילתד',0
בהא.,0
והד'י,0
אלפרק,0
אלעצ'ים,0
בין,0
אלארואח,0
אלחיואנייה,0
"ואלרוחאנייה,",0
לאן,0
אלרוחאנייה,0
תרתאח,0
בעד,0
אלמות,0
במא,0
חצלת,0
עליה,0
ובמא,0
תזוודת,0
פי,0
הד'ה,0
אלדאר,0
דון,0
אן,0
"יפארקהא,",0
ואלחיואנייה,0
מפארקה,0
לכל,0
סעיהא,0
ולא,0
תשאהד,0
למן,0
יציר,0
בעדהא,0
פתלתד',0
"בה,",0
וגמיע,0
הד'י,0
מנטוי,0
תחת,0
קולה,0
וראיתי,1
כי,1
אין,1
טוב,1
מאשר,1
ישמח,1
האדם,1
כי,1
הוא,1
"חלקו,",1
הד'י,0
הו,0
אלקסם,0
אלד'י,0
קסם,0
לה,0
לא,0
ג'ירה.,0
ת'ם,0
זאד,0
ביאנא,0
אנה,0
לא,0
יפידה,0
בעד,0
"אלמות,",0
ד'אך,0
קולה,0
כי,1
מי,1
יביאנו,1
לראות,1
במה,1
שיהיה,1
"אחריו,",1
אי,0
אנה,0
[ולו],0
חצל,0
סעיה,0
לסאקתה,0
ווארת'ה,0
לם,0
ישאהדה,0
פילתד',0
"בה,",0
וכת'ירא,0
מא,0
תגד,0
פי,0
אקואל,0
רבותינו,1
מי,1
יגלה,1
עפר,1
מעיניך,1
ותראה.,1
ואן,0
שרח,0
לברם,0
האלהים,0
ליסתבין,0
להם,0
ויסתוצ'ח,0
לדיהם,0
רבוביית,0
