word,is_he
בל,0
מן,0
הסית,1
אלת'קיל.,0
פסוק,0
טו),0
כי,1
ארץ,1
הנגב,1
"נתתני,",1
לא,0
יחתמל,0
הנגב,1
הנא,0
אלא,0
אן,0
יכון,0
מענאה,0
אלארץ',0
אלג'דבהֿ,0
אלג'אפהֿ,0
ואמא,0
פי,0
קולה,0
כאפיקים,1
בנגב,1
(תהלים,1
"קכ""ו",1
ד'),1
פמחתמל,0
להד'א,0
אלמעני,0
ואן,0
יכון,0
איצ'א,0
ג'ההֿ,0
אלג'נוב,0
פאנהא,0
חארהֿ,0
באלטבע,0
ופיהא,0
סכנא,0
אלחבשהֿ,0
אלא,0
תרי,0
אלי,0
תאת'ירהא,0
פי,0
אבדאנהם,0
ושעורהם.,0
ותקריר,0
נתתני,0
נתתה,1
לי,1
והו,0
פי,0
אלאכ'תצאר,0
מת'ל,0
דנני,1
אלהים,1
(בראשית,1
ל',1
ו'),1
אלד'י,0
הו,0
במעני,0
נגב,0
אסם,0
מן,0
באב,0
ארץ,1
ולא,0
יתגייר,0
פי,0
אלאצ'אפהֿ.,0
פסוק,0
כג),0
ויתירו,1
בית,1
