word,is_he
ויהי,1
אחרי,1
מות,1
יהושע,1
וישאלו,1
בני,1
ישראל,1
בה',1
"לאמר,",1
הד'ה,0
אלשאלה,0
כאנת,0
באורים,1
ותומים.,1
לאן,0
יבין,0
פי,0
אלנץ,0
אן,0
כאן,0
פי,0
ד'לך,0
אלוקת,0
נביא,1
לישראל,1
ודליל,0
ד'לך,0
קולה,0
בה',1
ת'ם,0
יקול,0
לה'.,1
ואמרו,1
"רז""ל",1
ראובן,1
ושמעון,1
ולוי,1
הנהיגו,1
שררה,1
"במצרים,",1
מת,1
ראובן,1
נתנו,1
שררה,1
לשמעון.,1
מת,1
שמעון,1
נתנו,1
שררה,1
ללוי.,1
מת,1
לוי,1
בקשו,1
ליתן,1
שררה,1
"ליהודה,",1
יצאת,1
בת,1
קול,1
ואמרה,1
להם,1
הניחו,1
אותה,1
עד,1
שיגיע,1
זמנה,1
לאחר,1
מיתתו,1
של,1
יהושע.,1
ויהי,1
אחרי,1
מות,1
יהושע,1
וישאלו,1
בני,1
ישראל,1
בה',1
לאמר,1
מי,1
יעלה,1
לנו,1
וגו',1
ויאמר,1
ה',1
יהודה,1
יעלה.,1
שלשה,1
שמות,1
נקראו,1
לו,1
"יהודה,",1
"עתניאל,",1
יעבץ.,1
והוא,1
יהודה,1
אחי,1
"שמעיה,",1
והוא,1
שמו,1
"העיקר,",1
ועתניאל,1
ויעבץ,1
הם,1
כנוי,1
לו.,1
והוא,1
חתנו,1
של,1
כלב,1
הנזכר,1
ביהושע.,1
ויאמר,1
אדני,1
בזק,1
שבעים,1
מלכים,1
בהונות,1
ידיהם,1
ורגליהם,1
מקצצים,1
היו,1
מלקטים,1
תחת,1
"שלחני,",1
"אע""פ",1
שלא,1
פירש,1
לנו,1
יהושע,1
עשרן,1
של,1
"כנענים,",1
אנו,1
למדין,1
עשרן,1
מאדני,1
בזק,1
שנ',1
ויאמר,1
אדני,1
בזק,1
שבעים,1
מלכים,1
וגו',1
והרי,1
הדברים,1
קל,1
וחומר,1
מה,1
אם,1
מי,1
שאין,1
דרכו,1
להמנות,1
עם,1
המלכים,1
היו,1
שבעים,1
מלכים,1
מלקטים,1
תחת,1
"שלחנו,",1
מזה,1
למד,1
וראה,1
מה,1
היה,1
עשרן,1
שלמלכי,1
כנען.,1
"ואע""פ",1
שלא,1
פירש,1
לנו,1
יהושע,1
מה,1
שהכה,1
"בכנענים,",1
אנו,1
למדים,1
אותה,1
מזבח,1
ומצלמנע,1
שנ',1
וזבח,1
וצלמנע,1
בקרקר,1
ומחניהם,1
עמם,1
כחמשת,1
עשר,1
אלף,1
כל,1
הנותרים,1
מכל,1
מחנה,1
בני,1
קדם,1
והנפלים,1
מאה,1
ועשרים,1
אלף,1
איש,1
שלף,1
"חרב,",1
הרי,1
מאה,1
ושלשים,1
וחמשה,1
"אלף,",1
לקיים,1
מה,1
שנ',1
והם,1
רבבות,1
אפרים,1
והם,1
אלפי,1
מנשה.,1
קרית,1
"ספר,",1
קרית,1
"ארכי,",1
קרית,1
השרים.,1
ופירש,1
בעל,1
הערוך,1
בלשון,1
יון,1
שרים,1
נקראים,1
ארכון.,1
ויקצצו,1
את,1
בהונות,1
ידיו,1
ורגליו.,1
קרצולי,1
ידוהי,1
"ורגלוהי,",1
אלאבהאם,0
אסמהא,0
קרצול.,1
לא,1
מעדו,1
"קרסולי,",1
לא,1
אזדעזעא,1
ארכובתי.,1
ובחגבים,1
"קרסולין,",1
הם,1
שני,1
רגלים,1
ארוכים,1
לבד,1
"הארבעה,",1
והם,1
סמוך,1
"לצוארו,",1
ממעל,1
לרגליו,1
לנתר,1
בהן,1
על,1
הארץ.,1
וכשהוא,1
רוצה,1
לקפוץ,1
מתעצם,1
בהם,1
וקופץ.,1
כך,1
בהונות,1
"קרצולי,",1
והם,1
"קצרים,",1
שאם,1
תפתח,1
הכף,1
תמצא,1
הבוהן,1
יתירה,1
וקצרה,1
משאר,1
אצבעות.,1
ואמרו,1
הקרצולין,1
הם,1
היתירות,1
שמעל,1
"הידים,",1
והם,1
הבהונות.,1
ובני,1
קני,1
חותן,1
"משה,",1
מפורש,1
בספר,1
יהושע.,1
ויהי,1
ה',1
את,1
יהודה,1
וירש,1
את,1
"ההר,",1
יריד,0
יושבי,1
"ההר,",1
כמי,0
קאל,0
כי,1
לא,1
להוריש,1
את,1
יושבי,1
העמק.,1
אי,0
לם,0
ירומו,0
"ד'לך,",0
וביין,0
אלעלה,0
וקאל,0
כי,1
רכב,1
ברזל,1
להם.,1
שדיד,0
"קוי,",0
על,0
חכם,0
"אלתג'איי,",0
מת'ל,0
ברזל,1
ונחשת,1
מנעליך.,1
וקאל,0
פיה,0
אלתרגום,0
ותריכו,1
ית,1
יתבי,1
"טורא,",1
בתר,1
כן,1
דחבו,1
לא,1
יכילו,1
לתרכא,1
ית,1
יתבי,1
מישרא,1
ארי,1
רתיכין,1
דברזלא,1
להון.,1
ויתירו,1
בית,1
יוסף,1
בבית,1
"אל,",1
ושלחו,1
"מאללין,",1
ומענאה,0
אלתגסס,0
ואלתפתיש.,0
ולא,1
הוריש,1
מנשה,1
את,1
בית,1
"שאן,",1
יריד,0
את,1
יושבי,1
"שאן,",1
מת'ל,0
באקי,0
אלפסוק,0
אעני,0
יושבי,1
דור,1
ויושבי,1
יבלעם,1
וג'ירהמא.,0
ויואל,1
הכנעני,1
לשבת,1
בארץ,1
הזאת.,1
אמען,0
ודאם,0
עלי,0
אלסכנאן.,0
ותכבד,1
יד,1
בית,1
"ישראל,",1
קוית,0
ועצמת.,0
