word,is_he
הלא,1
טוב,1
עוללות,1
אפרים,1
מבציר,1
"אביעזר,",1
מענאה,0
עלי,0
טריק,0
"אלמת'ל,",0
כ'צאץ,0
אפרים,1
כ'יר,0
מן,0
קטאף,0
אביעזר.,1
ואלכ'צאץ,0
הי,0
אלענאקיד,0
אלסג'אר,0
אלתי,0
תפצ'ל,0
בעד,0
"אלקטאף,",0
משתק,0
מן,1
עולל,1
ויונק.,1
ומנה,0
קיל,0
לא,1
תעולל,1
אחריך.,1
אי,0
לא,0
תעוד,0
לקטע,0
אלעוללות,0
וגמעהא.,0
ואראד,0
בקולה,0
אן,0
סג'אר,0
אפרים,1
אעצ'ן,0
ואשגע,0
מן,0
עצ'מא,0
"אביעזר,",1
לאנכם,0
אנתם,0
קתלתם,0
אלמלוך,0
עורב,1
וזאב.,1
וד'לך,0
צורה,0
תטייב,0
לקלובהם,0
ותסכין,0
לכ'ואטרהם,0
כמא,0
קאל,0
אז,1
רפתה,1
רוחם,1
מעליו,1
בדברו,1
הדבר,1
הזה.,1
"פ""א",1
המעולל,1
הוא,1
העוקר,1
"העוללים,",1
והם,1
האשכולות,1
הקטנים.,1
והבוצר,1
הוא,1
העוקר,1
האשכולות,1
הגדולים.,1
וניחם,1
אותם,1
בזה,1
"הדבר,",1
שאמר,1
להן,1
"אע""פ",1
שבאתם,1
באחרונה,1
כמו,1
המעולל,1
שהוא,1
בא,1
"באחרונה,",1
נציחתכם,1
גדולה,1
מנציחה,1
"שלנו,",1
שבידכם,1
נתן,1
ה',1
את,1
זבח,1
ואת,1
צלמנע.,1
ותרגם,1
הלא,1
טבין,1
חלשיא,1
דבית,1
אפרים,1
מתקיפיא,1
דבית,1
אביעזר.,1
את,1
קוצי,1
המדבר,1
ואת,1
"הברקנים,",1
נוע,0
מן,0
"אלשוך,",0
לא,0
נעלם,0
שכ'צייתה.,0
ומעני,0
את,0
הנא,0
במעני,0
"מע,",0
אי,0
אדום,1
אגסאמכם,0
מע,0
אלאשואך,0
פי,0
אלברייה.,0
מלחק,0
עלי,0
את,1
מספר,1
החלום,1
ואת,1
"שברו,",1
תפסירה.,0
וקיל,0
פי,0
יוסף,1
ואת,1
כסף,1
"שברו,",1
פצ'הֿ,0
מירתה,0
אלתי,0
ימתאר,0
"בהא,",0
אי,0
אלד'י,0
ישתרי,0
בהא.,0
ואמר,1
בספר,1
"הרמזים,",1
ואת,1
כסף,1
"שברו,",1
שברו,1
"בכאן,",1
ובשופטים,1
גבי,1
גדעון,1
את,1
מספר,1
החלום,1
ואת,1
"שברו,",1
בזכות,1
שיוסף,1
גמל,1
חסד,1
"לאחיו,",1
לכך,1
זכה,1
שנצח,1
גדעון,1
שיצא,1
"ממנו,",1
והוא,1
נצח,1
על,1
ידי,1
חלום,1
כמו,1
שהוא,1
נתגדל,1
על,1
ידי,1
חלום.,1
וקאלו,0
"רז""ל",1
"אע""פ",1
שלא,1
פירש,1
לנו,1
יהושע,1
מה,1
שהכה,1
"בכנענים,",1
אנו,1
למדין,1
אותה,1
מזבח,1
ומצלמנע,1
שנ',1
וזבח,1
וצלמנע,1
בקרקר,1
ומחניהם,1
עמם,1
כחמשת,1
עשר,1
אלף,1
כל,1
הנותרים,1
מכל,1
מחנה,1
בני,1
קדם,1
והנפלים,1
מאה,1
ועשרים,1
אלף,1
איש,1
שלף,1
"חרב,",1
הרי,1
מאה,1
ושלשים,1
וחמשה,1
"אלף,",1
לקיים,1
מה,1
שנ',1
והם,1
רבבות,1
אפרים,1
והם,1
אלפי,1
מנשה.,1
שאפרים,1
היה,1
במלחמה,1
הזאת,1
שנ',1
ויזעק,1
כל,1
איש,1
אפרים,1
וילכדו,1
את,1
המים,1
עד,1
בית,1
ברה,1
ואת,1
"הירדן,",1
וגם,1
גדעון,1
שבא,1
ממנשה.,1
ואמרו,1
"ז""ל",1
בפירוש,1
בכור,1
שורו,1
הדר,1
"לו,",1
יש,1
בכור,1
שהוא,1
לשון,1
גדולה,1
"ומלכות,",1
גם,1
אני,1
בכור,1
"אתנהו,",1
וכן,1
בני,1
בכורי,1
"ישראל,",1
מלך,1
היוצא,1
ממנו,1
הוא,1
יהושע.,1
בכור,1
שורו,1
הדר,1
"לו,",1
שה,1
כשור,1
לחרישה,1
לכבוש,1
כמה,1
מלכים.,1
הדר,1
"לו,",1
הדר,1
נתון,1
לו,1
שנ',1
ונתת,1
מהודך,1
עליו.,1
וקרני,1
ראם,1
"קרניו,",1
שור,1
כוחו,1
קשה,1
ואין,1
קרניו,1
"נאות,",1
ראם,1
קרניו,1
נאות,1
ואין,1
כוחו,1
"קשה,",1
נתן,1
ליהושע,1
כח,1
של,1
"שור,",1
ויופי,1
קרני,1
ראם.,1
אפסי,1
"ארץ,",1
שלשים,1
ואחד,1
"מלכים,",1
אפשר,1
שכולם,1
מארץ,1
ישראל,1
"היו,",1
אלא,1
אין,1
לך,1
מלך,1
ושלטון,1
שלא,1
קנה,1
פלטורין,1
ואחזה,1
בארץ,1
ישראל,1
שחשובה,1
לכולם,1
שנ',1
נחלת,1
צבי,1
צבאות,1
"גוים,",1
והן,1
אותן,1
"המנוגחים,",1
הם,1
הרבבות,1
שהרג,1
יהושע,1
שבא,1
מאפרים.,1
והם,1
אלפי,1
"מנשה,",1
הם,1
האלפים,1
שהרג,1
גדעון,1
במדין,1
שנ',1
וזבח,1
וצלמנע,1
"בקרקר,",1
וכמה,1
אלפים,1
נמנו,1
שם,1
מאה,1
ושלושים,1
וחמשה,1
אלף.,1
את,1
קוצי,1
המדבר,1
ואת,1
"הברקנים,",1
קאלו,0
"ז""ל",1
לאלשוך,0
פי,0
לג'תנא,0
"י""ז",1
"אסם,",0
"נעצוץ,",1
"קוץ,",1
"ודרדר,",1
"ומלוח,",1
"וחדק,",1
"ומסוכה,",1
"ופרחח,",1
"וחוח,",1
"וקמוש,",1
"ושמיר,",1
"ושסת,",1
"וסיר,",1
"וערער,",1
"וסלון,",1
"ואטד,",1
"וסנה,",1
"וברקנים,",1
וחרול.,1
ופסר,0
פי,0
דרדר,1
אלו,1
"העכביות,",1
יריד,0
"אלעכוב,",0
והו,0
אלחרשף.,0
ויקאל,0
לה,0
פי,0
אלעראק,0
"כנגר,",0
עליה,0
עוסג,0
יקשר,0
ויוכל,0
דאכ'לה.,0
ומעני,0
עליה,0
"עוסג,",0
עליה,0
שוך.,0
לאן,0
אלעוסג,0
יקאל,0
עלי,0
שגר,0
מא,0
ד'י,0
שוך.,0
וקאלו,0
פי,0
שרח,0
"מלוח,",0
הו,0
כאלעוסג,0
וורקה,0
כורק,0
"אלזיתון,",0
"ואערץ',",0
ויוכל,0
"כאלבקול,",0
ופיה,0
מלוחה,0
וקבץ'.,0
ופסר,0
פי,0
"מסוכה,",1
"קוצים,",1
ונקרא,1
מסוכה,1
שהוא,1
מסכך,1
על,1
הכרם,1
מכל,1
סביביו.,1
אי,0
מחדק,0
עליה,0
לחתי,0
ימנע,0
אלאתצאל,0
אליה.,0
ופסר,0
פי,0
"קמוש,",1
קריץ'.,0
ופסר,0
פי,0
שמיר,1
אלחסך.,0
ופסר,0
פי,0
"שית,",1
אלקיצ'ום.,0
ופסר,0
פי,0
חרול,1
עשב,1
דומה,1
לקוצים.,1
דרך,1
השכוני,1
"באהלים,",1
יריד,0
השוכנים.,1
מלמעלה,1
"החרס,",1
תרגומו,1
עד,1
לא,1
מיעל,1
"שמשא,",1
כלומר,1
טרם,1
בוא,1
השמש.,1
ויודע,1
בהם,1
את,1
אנשי,1
"סכות,",1
תרגומו,1
"וגריר,",1
ופירש,1
בערוך,1
בערך,1
פרה,1
שקרניה,1
וטלפיה,1
שחורים,1
יגור.,1
פי',1
"ינסר,",1
כמו,1
מגוררות,1
במגרה.,1
ובסוף,1
גמר,1
דבבא,1
קמא,1
היוצא,1
מתחת,1
המקרה,1
ומתחת,1
הרהיטני,1
והמגור,1
והמגרה,1
הרי,1
אלו,1
שלו.,1
וענין,1
"הפסוק,",1
נסר,1
אותם,1
בקוצים,1
והעבירם,1
עליהם.,1
ופי',1
"המקרה,",1
"קרנס,",1
ושם,1
הקורנס,1
מקור,1
על,1
שם,1
ניקורו.,1
"ורהיטני,",1
מלקאט.,1
ופירש,1
קמחי,1
ויודע,1
בהם,1
את,1
אנשי,1
"סכות,",1
פירוש,1
ויודע,1
"בהם,",1
שהודיע,1
להם,1
פשעם,1
ועונם,1
בהם.,1
ועל,1
שם,1
סוכות,1
שהיתה,1
שם,1
העיר,1
שבטחו,1
בה,1
שהיתה,1
בצורה.,1
יסרם,1
בקוצים,1
ששמם,1
"סכות,",1
כמו,1
התמלא,1
בסכות,1
עורו.,1
איפה,1
האנשים,1
אשר,1
הרגתם,1
בתבור.,1
סואל,0
ען,0
"אלחאל,",0
לא,0
סואל,0
ען,0
"אלמכאן,",0
יעני,0
סאלהם,0
איש,0
חאלהם,0
ואיש,0
"צפתהם,",0
ואלדליל,0
באנה,0
ליס,0
סואל,0
ען,0
מכאן,0
לאנה,0
קד,0
ד'כר,0
מכאן,0
"קתלהם,",0
והו,0
בתבור.,1
פכאן,0
גואבהם,0
כמוך,1
כמוהם,1
אחד,1
כתואר,1
בני,1
המלך.,1
יענו,0
צפתהם,0
מת'ל,0
צפתך.,0
ויקח,1
את,1
"השהרונים,",1
תרגם,1
ענקיא.,1
והם,1
חלק,0
כבאר,0
תעמל,0
פי,0
אלחלוק,0
זינה.,0
ותנו,1
לי,1
איש,1
נזם,1
"שללו,",1
גבר,1
קדשיה,1
מן,1
"בזתא,",1
הוא,1
חלי,1
שתולין,1
אותו,1
הנשים,1
הקדשות,1
על,1
לבן.,1
תרגם,1
בתי,1
הנפש,1
"והלחשים,",1
וקדשיא,1
וחליטתא.,1
ותרגם,1
הנזמים,1
קדשיא.,1
כי,1
ישמעאלים,1
"הם,",1
מעני,0
כי,1
ישמעאלים,1
"הם,",1
לאנה,0
סאלהם,0
אן,0
יעטוה,0
כל,0
שכ'ץ,0
מג'נמה,0
אלד'י,0
כסבה,0
מן,0
מדין,1
לאן,0
מדין,1
"ישמעאלים,",1
כאן,0
גארי,0
עאדתהם,0
מעאנאת,0
לבאס,0
"אלאשנאף,",0
לד'לך,0
קאל,0
כי,1
ישמעאלים,1
הם.,1
ותרגם,1
ארי,1
ערבאי,1
(קטילו),1
אינון.,1
קום,1
אתה,1
ופגע,1
"בנו,",1
אלקאנא.,0
יעני,0
אלקאנא,0
באלסיף,0
קתלא.,0
"פ""א",1
פאגנא,0
"באלמות,",0
לאן,0
פגע,0
ערץ',0
אלמות.,0
לבד,1
מן,1
השהרונים,1
"והנטיפות,",1
פסר,0
נטיפות,1
מן,1
"טוטפת,",1
אלתי,0
הי,0
"עצאבה,",0
והי,0
עצאיב,0
אלד'הב,0
אלתי,0
תסתעמל,0
מן,0
אלאד'ן,0
אלי,0
אלאד'ן.,0
ובגדי,1
הארגמן,1
שעל,1
מלכי,1
מדין,1
ולבד,1
מן,1
הענקות,1
אשר,1
בצוארי,1
"גמליהם,",1
בר,1
מן,1
סהרוניא,1
וכליליא,1
ולבושי,1
ארגונא,1
דעל,1
מלכי,1
מדין,1
ובר,1
מן,1
ענקיא,1
דבצוארי,1
גמליהון.,1
"סהרוניא,",1
הם,1
חלי,1
כדמות,1
"ירח,",1
תרגום,1
ירח,1
"סיהרא,",1
והיו,1
תלויים,1
על,1
צוארי,1
מלכי,1
מדין.,1
"וכליליא,",1
והוא,1
תרגום,1
נטיפות,1
"קלאיד,",0
והם,1
מקיפין,1
הגרון,1
כמו,1
שמקפת,1
העטרה,1
לראש.,1
ולשון,1
נטיפות,1
"ע""ש",1
שתלויות,1
על,1
הצואר,1
ונוטפות,1
על,1
"החזה,",1
והם,1
כמו,1
מרגליות,1
נקובות,1
וחרוזות,1
בחוט.,1
ופי',1
"ענקיא,",1
חלק,0
כבאר,0
תעמל,0
עלי,0
חלק,0
אלגמאל,0
לאלזינה.,0
וצפתהם,0
צפה,0
"אלהלאל,",0
לאנה,0
תרגם,0
מן,0
קבל,0
השהרונים,1
אשר,1
בצוארי,1
גמליהם,1
ענקיא.,1
"שהרונים,",1
חלי,1
כדמות,1
ירח,1
והו,0
אלקמר,0
ויסמא,0
אלקמר,0
פי,0
אלערבי,0
סאהור,0
והי,0
פי,0
אלקמר,0
בסמך,1
ולא,0
"בד,",0
ופי,0
אלאהלה,0
"שהרונים,",1
ומפרדהא,0
שהר,1
"בשין,",1
והו,0
ואחד.,0
ואלחלא,0
נפסה,0
אנמי,0
סמי,0
שהר,0
אלא,0
לכונה,0
שביה,0
אלקמר,0
אלמסמא,0
סהר.,1
ויעש,1
אותו,1
גדעון,1
לאפוד,1
ויצג,1
אותו,1
בעירו,1
בעפרה,1
ויזנו,1
כל,1
ישראל,1
אחריו,1
"שם,",1
ויהי,1
לגדעון,1
ולביתו,1
למוקש.,1
האפוד,1
הו,0
הצורה.,1
וקאלו,0
אן,0
גדעון,1
פעל,0
הד'א,0
אלאפוד,0
כדי,1
לעשות,1
בו,1
"ניחוש,",1
ואנמא,0
אסתגאז,0
פעל,0
ד'לך,0
לכונה,0
לם,0
יכון,0
"עאלם,",0
ולא,0
וצף,0
"בעלם,",0
ודליל,0
ד'לך,0
מא,0
קאלו,0
פי,0
שרח,0
וישלח,1
ה',1
את,1
ירבעל,1
ואת,1
בדן,1
ואת,1
יפתח,1
ואת,1
"שמואל,",1
שקל,1
הכתוב,1
שלשה,1
קלי,1
עולם,1
בשלשה,1
יסודי,1
"עולם,",1
ולאגל,0
קלהֿ,0
עלמהם,0
ד'כרוהם,0
אנהם,0
קלי,1
"עולם,",1
וקאלו,0
ירובעל,1
הוא,1
גדעון.,1
ובדן,1
זה,1
שמשון.,1
יפתח,1
כמשמעו.,1
ואנמא,0
שקל,1
אותם,1
בשלשה,1
יסודי,1
"עולם,",1
אלא,1
להודיע,1
שכל,1
מי,1
שנתמנה,1
פרנס,1
על,1
הצבור,1
אפלו,1
קל,1
שבקלים,1
שקול,1
הוא,1
באדיר,1
שבאדירים.,1
ואנמא,0
וצפו,0
האולי,0
בשגאעה,0
ותאייד,0
וקווה,0
צחבתהם,0
מנה,0
"תע',",0
ותלך,0
אלשגאעה,0
אלתי,0
