word,is_he
אחזו,1
לנו,1
שועלים,1
שועלים,1
"קטנים,",1
כוחות,1
הגוף,1
שהן,1
חלשין,1
מן,1
ההשגה,1
וד'אלך,0
אן,0
אלקוא,0
אלכ'יאלייה,0
ואלחסייה,0
אד'י,0
לם,0
אחד'ר,0
מן,0
אג'ואיהא,0
אתלפת,0
אלאדראך,0
אלעקלי.,0
וכרמינו,1
סמדר,1
פי,0
וקת,0
פסאדה,0
לאנה,0
עאדה,0
ג'ץ'.,0
אעלם,0
אן,0
אלעלום,0
מבנייה,0
עלי,0
אצול,0
ומקדמאת,0
יקינייה,0
ובראהין,0
תחצילייה,0
פאד'י,0
לם,0
יכמל,0
אלאנסאן,0
ולם,0
ירתאץ',0
פי,0
אכתסאב,0
מקדמאת,0
ואצול,0
ירכב,0
עליהא,0
ויקיס,0
לא,0
שך,0
אנה,0
יתהגם,0
אלי,0
מא,0
יפסד,0
עליה,0
"אעתקאדה,",0
והד'י,0
אמר,0
מעלום,0
משהור,0
לא,0
יכ'לו,0
כל,0
עאלם,0
"מנה,",0
והכד'י,0
יקולו,0
אין,1
"הקב""ה",1
נותן,1
חכמה,1
אלא,1
למי,1
שיש,1
בו,1
כבר,1
דכת',1
יהיב,0
חכמתא,0
לחכימין,0
ומנדעא,0
לידעי,0
בינה.,0
