word,is_he
"שגלשו,",1
כלומר,1
נשרו,1
כמו,1
גליש,1
"הוא,",1
הד'י,0
אללפץ',0
אלמשתרך,0
פיה,0
אעתבאראת,0
פמנהא,0
קריבת,0
אלמאכ'ד',0
עזיזת,0
אלאעתבאר,0
ומנהא,0
בעידת,0
אלמאכ'ד',0
סהלת,0
"אלאעתבאר,",0
מת'לא,0
אקול,0
לך,0
אן,0
אלשמס,0
פאעל,0
קוי,0
פי,0
גרם,0
הד'י,0
אלעאלם,0
מא,0
פיהא,0
מן,0
אפאדת,0
אלנור,0
ונצ'ג,0
אלת'מאר,0
ומא,0
יאול,0
"מנהא,",0
וצ'אהר,0
פעלהא,0
"אלחרארה,",0
וקד,0
קאלו,0
אלפלאספה,0
אלשמס,0
פאעל,0
קוי,0
ותחתאג,0
אלי,0
"פאעל,",0
פאד'י,0
אעתברתהא,0
מעראה,0
מגרדה,0
ען,0
כל,0
פעל,0
פהי,0
עדם,0
מן,0
אלאעדאם.,0
