word,is_he
כי,1
התאבל,1
שמואל,1
אל,1
"שאול,",1
יריד,0
על,1
שאול.,1
ויאמר,1
שמואל,1
איך,1
אלך,1
ושמע,1
שאול,1
"והרגני,",1
ויאמר,1
ה',1
עגלת,1
בקר,1
תקח,1
"בידיך,",1
ואמרת,1
לזבוח,1
לה',1
"באתי,",1
טבאיע,0
אלבשר,0
אלחד'ר,0
פיהא,0
"כאמן,",0
ואלעקלא,0
לא,0
ימנעו,0
כון,0
אלאמור,0
אלממכנה,0
באתכאל,0
עלי,0
מעגז,0
או,0
תאייד,0
"תבטל,",0
לאן,0
קד,0
רב,0
מא,0
יטרא,0
לה,0
ג'פלה,0
מא,0
פתמנע,0
אלענאיה,0
ענה,0
וקת,0
מא,0
חסב,0
אשתג'אל,0
ישתג'ל,0
בה,0
אלנבי,0
ען,0
אלחצ'ור,0
פי,0
אלעלם,0
אלאלאהי,0
אלמוגב,0
לה,0
"אלענאיה,",0
פיחצל,0
לה,0
אלצ'רב,0
פי,0
חאל,0
תלך,0
אלג'פלה,0
"בג'תה,",0
פאד'א,0
פרט,0
אלפארט,0
לא,0
ימכן,0
אסתדראכה,0
לאנה,0
חיניד',0
יכ'רג,0
מן,0
חד,0
אלממכן,0
אלי,0
חד,0
אלממתנע,0
אלד'י,0
ליס,0
הו,0
מן,0
פעל,0
פאעל,0
ליוצף,0
בה,0
"אלאלאה,",0
כמא,0
לא,0
יוצף,0
באעאדהֿ,0
אמס,0
אלי,0
"אליום,",0
לאן,0
מא,0
פאת,0
פאת.,0
ואד'א,0
פהמת,0
מעני,0
הד'א,0
"אלקול,",0
פהמת,0
איצ'א,0
קולה,0
ען,0
יעקב,1
ויירא,1
יעקב,1
מאד,1
וייצר,1
"לו,",1
וקולהם,0
"ז""ל",1
קא,1
סבר,1
שמא,1
יגרום,1
"החטא,",1
הי,0
אלג'פלה,0
אלתי,0
אשרנא,0
אליהא.,0
ופסר,0
איצ'א,0
עגלת,1
בקר,1
תקח,1
"בידיך,",1
אמרה,0
ליפעל,0
ד'לך,0
באלאשהאר,0
וימסח,0
דוד,1
פי,0
מא,0
בינהם,0
לישהרה.,0
וכד'לך,0
"פעל,",0
והו,0
קולה,0
וימשח,1
אותו,1
בקרב,1
אחיו.,1
וקד,0
מן,0
יפסר,0
אן,0
אמרה,0
בעגלת,1
בקר,1
ליסתג'פר,0
בהא,0
ען,0
נפסה,0
כמא,0
כ'אף,0
מן,0
שאול,1
ולם,0
יתכל,0
עלי,0
רבה.,0
ויאמר,1
ה',1
עגלת,1
בקר,1
תקח,1
בידיך,1
ואמרת,1
לזבוח,1
לה',1
באתי.,1
לאן,0
אלתחיילאת,0
פי,0
אלכ'לאץ,0
מן,0
אלאמור,0
אלכ'טרה,0
פהי,0
מן,0
אפעאל,0
"אלעקלא,",0
ומן,0
אלואגב,0
אלד'י,0
יאמר,0
בה,0
"אלחק,",0
וליס,0
ד'לך,0
מת'ל,0
תחייל,0
יחתאלה,0
אנסאן,0
לאד'ייהֿ,0
ג'ירה,0
או,0
לאכ'ד',0
"מאלה,",0
ומא,0
שבה,0
"ד'לך,",0
לאנה,0
פי,0
הד'א,0
אלחאל,0
לם,0
יקצד,0
סוי,0
כ'לאצה,0
הו,0
מן,0
"אלשדה,",0
ולם,0
יוצל,0
לג'ירה,0
בד'לך,0
אלתחייל,0
אד'ייה.,0
הד'א,0
ראי,0
ר',1
תנחום,1
"ז""ל.",1
"ורז""ל",1
שרחו,0
פי,0
"ד'לך,",0
מכאן,1
אמרו,1
מותר,1
לשנות,1
בדברי,1
שלום.,1
ואמא,0
בעץ',0
אלשארחין,0
והו,0
ר',1
יהודה,1
בן,1
בלעם,1
"ז""ל",1
קאל,0
ויאמר,1
שמואל,1
איך,1
אלך,1
ושמע,1
שאול,1
"והרגני,",1
לאבד,0
מן,0
אלתטויל,0
פי,0
בסט,0
הד'א,0
אלמעני,0
חתי,0
יצח,0
ויתצ'ח,0
אלג'רץ',0
"פיה,",0
לאן,0
אלנאס,0
קד,0
כ'בטו,0
פיה,0
עשוא.,0
פאקול,0
אן,0
אלכ'וף,0
אלדאכ'ל,0
עלי,0
אלולי,0
"ע""ס",0
ג'יר,0
מנכר,0
מנה,0
ומן,0
סואיה,0
מן,0
"אלאנביא,",0
ואן,0
כאן,0
פי,0
אלג'איה,0
אלקצוי,0
מן,0
אלגלאלה,0
ענד,0
"אללה,",0
פלמא,0
גאה,0
אלגואב,0
בקולה,0
לה,0
עגלת,1
בקר,1
תקח,1
"בידך,",1
פהם,0
אנה,0
קד,0
תצ'מן,0
לה,0
אלנגאה,0
מן,1
"שאול,",1
וד'לך,0
אנה,0
אמרה,0
באשהאר,0
אלאמר,0
ואלאפצאח,0
בה,0
פי,0
מלא,0
מן,0
"אלנאס,",0
ופי,0
ולימה,0
יצטנעהא,0
להד'א,0
"אלמעני,",0
פתאנס,0
מן,0
תוחשה,0
ואנתהא,0
אלי,0
אמר,0
אלאמר,0
גל,0
ועז.,0
ובהד'א,0
אלשרח,0
יזול,0
מא,0
קד,0
תוהמה,0
אלקאיל,0
פי,0
קולה,0
אן,0
קול,0
אללה,0
תע',0
עגלת,1
בקר,1
תקח,1
"בידיך,",1
אנמא,0
כאן,0
ליכ'פי,0
אלג'רץ',0
פי,0
מתוגהה,0
עלי,0
שאול,1
פלא,0
יערץ',0
לה,0
בסו.,0
והד'א,0
כ'לאף,0
מא,0
אראד,0
אללה,0
תע',0
אן,0
יצ'הרה,0
לשמואל,1
אנה,0
לא,0
יסלמה,0
אלי,0
אד'ייהֿ,0
שאול,1
ואנה,0
מכ'לצה,0
"מנה,",0
ואן,0
כאנת,0
אלקצה,0
עלי,0
"אלאעלאן,",0
אלא,0
תרא,0
אלי,0
קולה,0
וקראת,1
לישי,1
"בזבח,",1
וקולה,0
איצ'א,0
ויחרדו,1
זקני,1
העיר,1
לקראתו,1
ואמר,1
להם,1
התקדשו,1
ובאתם,1
אתי,1
בזבח.,1
ובגמיע,0
הד'א,0
יגב,0
אן,0
תעלם,0
אן,0
לם,0
יכון,0
אלג'רץ',0
מא,0
תוהמה,0
אלמתוהם,0
מן,0
אלאכ'תפא.,0
ומא,0
ישבה,0
הד'ה,0
אלקצה,0
קול,0
אללה,0
למוסי,0
"ע""ס",0
עבור,1
לפני,1
העם,1
וקח,1
אתך,1
מזקני,1
"ישראל,",1
למא,0
שכא,0
במא,0
תואעדה,0
אלקום,0
מן,0
אלרגם,0
עוד,1
מעט,1
וסקלוני.,1
ומת'לה,0
איצ'א,0
עברו,1
ושובו,1
משער,1
לשער.,1
חתי,0
יכון,0
מן,0
לם,0
יתאהב,0
לאלדפע,0
ען,0
נפסה,0
פי,0
אלאוולה,0
תאהב,0
פי,0
"אלת'אניה,",0
פוקף,0
עלי,0
צנע,0
אללה,0
בינהם,0
ובין,0
אלקום.,0
ופי,0
הד'א,0
ביאן,0
להד'א,0
אלמשכל.,0
התקדשו,1
ובאתם,1
אתי,1
"בזבח,",1
אתהיו,0
ואסתעדו.,0
ויחתמל,0
אן,0
יכון,0
מענאה,0
תטהרו,0
לאכל,0
"אלקדש,",0
אלתי,0
לא,0
ימכן,0
אכלהא,0
אלא,0
עלי,0
חאל,0
טהר,0
מן,0
אלנגאסאת.,0
אמר,1
ר',1
יצחק,1
אין,1
"הקב""ה",1
מגדל,1
לאדם,1
עד,1
שהוא,1
בודקו,1
בדבר,1
"קל,",1
כמו,1
שבדק,1
בדוד,1
"בצאן,",1
ומה,1
עשה,1
דוד,1
הוליכן,1
למדבר,1
להרחיק,1
אותן,1
"מהגזל,",1
שבארץ,1
ובסביבותיה,1
הם,1
מחבלים,1
את,1
הזרעים,1
ואת,1
"האילנות,",1
וזהו,1
שאמרו,1
חכמים,1
אסור,1
לגדל,1
בהמה,1
דקה,1
בארץ,1
ישראל,1
מפני,1
הגזל,1
ומפני,1
חיבול,1
הזרעים.,1
ויהי,1
בבואם,1
וירא,1
את,1
אליאב,1
ויאמר,1
אך,1
נגד,1
ה',1
"משיחו,",1
תגאה,0
אללה,0
וקבאלתה.,0
ומן,0
הד'א,0
יסמי,0
כל,0
מקדם,0
קום,0
נגיד.,1
אי,0
אנה,0
וגיה,0
אלקום,0
ורייסהם.,0
ויאמר,1
ה',1
אל,1
שמואל,1
אל,1
תבט,1
אל,1
מראהו,1
ואל,1
גבוה,1
קומתו,1
כי,1
מאסתיהו.,1
מת'ל,0
גובה.,1
ואבו,0
אלוליד,0
יעתקד,0
אן,0
הד'א,0
אלאמר,0
ליס,0
הו,0
ען,0
אליאב,1
אלמכ'תצר,0
ד'כרה,0
"באלקול,",0
בל,0
הו,0
ען,0
שאול,1
אלמד'כור,0
פי,0
אוול,0
אלפצל,0
בקולה,0
עד,1
מתי,1
אתה,1
מתאבל,1
אל,1
שאול,1
ואני,1
מאסתיו.,1
פאעאד,0
עליה,0
אלקול,0
הנא,0
