word,is_he
ויקרא,1
אל,1
אבשלום,1
ויבא,1
אל,1
"המלך,",1
אמרו,1
"רז""ל",1
כשנכנס,1
אבשלום,1
לדוד,1
אמר,1
לו,1
כתוב,1
לי,1
איגרת,1
שילכו,1
עמי,1
שני,1
אנשים,1
שאבחר,1
"אותם,",1
אמ',1
לו,1
ומי,1
הם,1
שאכתוב,1
לך,1
"שמם,",1
אמר,1
לו,1
כתוב,1
שני,1
אנשים,1
ולא,1
תזכור,1
"שמם,",1
שאין,1
אני,1
יודע,1
אותם,1
"עתה,",1
אבל,1
כשאראה,1
שני,1
אנשים,1
אבחר,1
בהם,1
אראם,1
האגרת,1
כדי,1
"שילכו,",1
ולא,1
ידע,1
דוד,1
שהוא,1
מגנב,1
את,1
לבבו,1
ורוצה,1
למרוד,1
"בו,",1
וכתב,1
לו.,1
וכשעמד,1
על,1
אם,1
הדרך,1
ועברו,1
עליו,1
שני,1
אנשים,1
הראם,1
האגרת,1
"ועמדו,",1
וכן,1
הראה,1
אותה,1
לשנים,1
אחרים,1
"ועמדו,",1
וכן,1
עשה,1
עד,1
שאסף,1
אליו,1
מאתים,1
"איש,",1
שנ',1
ואת,1
אבשלום,1
הלכו,1
מאתים,1
איש,1
מירושלם,1
קרואים,1
והולכים,1
לתמם,1
ולא,1
ידעו,1
כל,1
דבר.,1
ועשה,1
זה,1
הדבר,1
מעצת,1
אחיתופל.,1
ר',1
הונא,1
בשם,1
ר',1
אחא,1
אמר,1
כולם,1
ראשי,1
סנהדריות,1
הם,1
וכיון,1
דחמון,1
מילייא,1
אתין,1
"לחלופין,",1
אמרו,1
רבון,1
העולמים,1
נפלה,1
נא,1
ביד,1
דוד,1
ואל,1
יפול,1
דוד,1
"בידינו,",1
שאם,1
נופלין,1
אנו,1
ביד,1
דוד,1
הוא,1
מתרחם,1
"עלינו,",1
ואם,1
נופל,1
דוד,1
בידינו,1
אין,1
אנו,1
מתרחמין,1
"עליו,",1
"הה""ד",1
פדה,1
בשלום,1
נפשי,1
מקרב,1
לי,1
כי,1
ברבים,1
היו,1
"עמדי,",1
רבים,1
"בקומה,",1
רבים,1
"בתורה,",1
לכך,1
נאמר,1
ויגנב,1
אבשלום,1
את,1
לב,1
אנשי,1
ישראל.,1
גנב,1
לב,1
האנשים,1
השרים,1
"שבהם,",1
כמו,1
שאמרו,1
כולם,1
היו,1
ראשי,1
סנהדריות.,1
מאחד,1
שבטי,1
ישראל,1
"עבדך,",1
מא,0
כאן,0
צ'נה,0
אנה,0
מן,0
ג'יר,0
ישראל,1
חתי,0
יעלמה,0
"בה,",0
ולא,0
הו,0
מעני,0
"אלסואל,",0
לאן,0
אלסואל,0
אי,1
מזה,1
עיר,1
"אתה,",1
פכאן,0
ילזם,0
אן,0
יכון,0
אלגואב,0
משכ'ץ,0
מן,0
אי,0
בלד,0
"הו,",0
או,0
מן,0
אי,0
"סבט,",0
לכן,0
ד'לך,0
יכ'תלף,0
באכ'תלאף,0
"אלמסאולין,",0
פאתי,0
אלמדיון,0
בלפץ',0
"עאם,",0
גמע,0
פיה,0
מעני,0
גואב,0
כל,0
שכ'ץ,0
"ושכ'ץ,",0
כאנה,0
קאל,0
אן,0
כל,0
שכ'ץ,0
מנהם,0
יקול,0
אני,0
מן,0
אלסבט,0
"אלפלאני,",0
פכאן,0
הד'א,0
אלמעני,0
עאם,0
"ללגמיע,",0
פהו,0
אד'א,0
קול,0
"אלמדיון,",0
לא,0
קול,0
אלמסאול,0
בעבארתה,0
בל,0
מענאה.,0
ויגנב,1
אבשלום,1
את,1
לב,1
אנשי,1
"ישראל,",1
אי,0
אסתמאל,0
קלובהם,0
באלכ'דאע,0
ואלמכר.,0
ויהי,1
מקץ,1
ארבעים,1
שנה,1
ויאמר,1
אבשלום,1
אל,1
המלך.,1
הד'א,0
מן,0
גמלהֿ,0
אלתואריך',0
אלתי,0
לם,0
יעיין,0
להא,0
"מבדא,",0
וקיל,0
אנה,0
מנד',0
נמשח,1
דוד,1
בשמן,1
המשחה,1
פי,0
איאם,0
שמואל,1
ואנה,0
פי,0
הד'ה,0
אלמדה,0
גמיעהא,0
כאן,0
פי,0
סעד,0
"ואקבאל,",0
ומן,0
הנא,0
ומאץ',0
אנעכסת,0
אמורה,0
במג'איץ',0
ואנכאד,0
"וחסראת,",0
פלד'לך,0
געלת,0
תאריך',0
"מנפרד,",0
כמא,0
קיל,0
ען,0
שאול,1
ושתי,1
שנים,1
"מלך,",1
וד'לך,0
מן,0
אול,0
מלכה,0
אלי,0
קצהֿ,0
עמלק,1
ואגג,1
אלד'י,0
מנהא,0
נקץ,0
חאלה,0
וצאר,0
מתנכד,0
מתאלם.,0
וקיל,0
אן,0
הד'א,0
אלתאריך',0
לכ'ראב,0
שילה.,1
וקיל,0
אנה,0
לעמר,0
"אבשלום,",1
כאנה,0
קאל,0
ויהי,1
מקץ,1
ארבעים,1
שנה,1
לאבשלום,1
ויאמר,1
אל,1
המלך.,1
והכד'א,0
ויהי,1
בשלשים,1
"שנה,",1
קיל,0
אנה,0
לעמר,0
יחזקאל.,1
וכד'לך,0
כל,0
תאריך',0
לא,0
יד'כר,0
לה,0
"אוול,",0
יקאל,0
אנה,0
לעמר,0
ד'לך,0
אלשכ'ץ,0
אלמד'כור,0
ת'ם.,0
ואלתרגום,0
געל,0
ויהי,1
בשלשים,1
שנה,1
לחין,0
וגד,0
חלקיה,1
הכהן,1
ספר,1
התורה,1
פי,0
אלמקדש.,0
ופיה,0
עלי,0
אלתאויל,0
ואלבאטן,0
מעני,0
אכ'ר,0
עלי,0
סיאקהֿ,0
גמלהֿ,0
ד'לך,0
אלמקאם,0
אלמד'כור,0
ת'ם,0
אלד'י,0
ליס,0
הו,0
עלי,0
צ'אהר,0
ד'לך,0
אללפץ',0
"אלמד'כור,",0
ענד,0
כל,0
עאקל.,0
וקיל,0
אנה,0
תאריך',0
לאבתדי,0
סואל,0
ישראל,1
אלמלוכה,0
מן,0
שמואל.,1
וקאלו,0
"ז""ל",1
הני,1
ארבעין,1
שנין,1
מאי,1
"עבידתיהו,",1
תנא,1
ר',1
נהראי,1
אומר,1
משום,1
ר',1
יהושע,1
קץ,1
ארבעים,1
שנה,1
ששאל,1
להן,1
מלך.,1
תנא,1
אותה,1
שנה,1
ששאלו,1
להן,1
מלך,1
היא,1
שנת,1
עשר,1
לשמואל,1
הרמתי.,1
כי,1
נדר,1
נדר,1
עבדך,1
בשבתי,1
בגשור,1
בארם,1
לאמר,1
אם,1
ישב,1
ישיבני,1
ה',1
ירושלם.,1
אליא,0
"זאידה,",0
וחקה,0
אם,1
שוב,1
ישיבני,1
"ה',",1
לכן,0
אתא,0
מת'ל,0
ישיבני,1
אלד'י,0
אליא,0
פיה,0
מן,0
חרוף,0
"אינת,",0
והי,0
יא,0
אלאסתקבאל.,0
וקיל,0
אנה,0
אצל,0
אכ'ר,0
פי,0
אלמעני,0
מקלוב,0
"מנה,",0
וצ'ד,0
הד'א,0
אם,1
שוב,1
תשבו,1
בארץ,1
"הזאת,",1
לאן,0
שוב,0
מעתל,0
"אלעין,",0
ותשבו,1
מעתל,0
אלפא.,0
ואת,1
אבשלום,1
הלכו,1
אתו,1
מאתים,1
"איש,",1
במעני,0
ועם,1
אבשלום.,1
קרואים,1
והולכים,1
"לתמם,",1
אי,0
מצ'ו,0
מעה,0
מדעיין,0
והם,0
בסדאגתהם,0
לא,0
יעלמו,0
"קצדה,",0
אי,0
אנהם,0
לם,0
ימצ'ו,0
מעה,0
בעלם,0
מנהם,0
ומואפקה,0
לה,0
עלי,0
מא,0
הו,0
"קאצדה,",0
בל,0
בסדאגה,0
מצ'ו,0
מעה,0
ליזורו,0
ויתעבדו.,0
וישלח,1
אבשלום,1
את,1
אחיתופל,1
"הגילני,",1
יריד,0
ויקח,1
את,1
אחיתופל,1
"הגילוני,",1
פחד'ף.,0
מת'ל,0
מי,1
לה',1
"אלי,",1
יריד,0
יבא,1
אלי.,1
ויהי,1
הקשר,1
"אמיץ,",1
אלמכ'אמרה,0
ואלנפאק,0
שדיד,0
קוי.,0
ופירשו,1
וישלח,1
אבשלום,1
את,1
אחיתופל,1
"הגילוני,",1
וישלח,1
ויקרא,1
את,1
אחיתופל,1
הגילוני.,1
ויהי,1
הקשר,1
אמיץ.,1
וכאן,0
אלכ'לאף,0
קוי.,0
היה,1
לב,1
איש,1
ישראל,1
אחרי,1
"אבשלום,",1
ראיהם,0
וג'רצ'הם.,0
והדיח,1
עלינו,1
את,1
כל,1
הרעה.,1
תרגומו,1
ויכמון,1
עלנא,1
ית,1
בשתא.,1
וכל,1
העם,1
"ברגליו,",1
אי,0
פי,0
"תבעה,",0
מת'ל,0
צא,1
אתה,1
וכל,1
העם,1
אשר,1
"ברגליך,",1
מענאה,0
אלד'י,0
מעך,0
ופי,0
צחבתך.,0
וכד'לך,0
הנא,0
יריד,0
אנה,0
כ'רג,0
וכ'רג,0
מעה,0
אהל,0
אלבלד.,0
וכד'לך,0
איצ'א,0
ויצא,1
המלך,1
וכל,1
ביתו,1
"ברגליו,",1
מעה,0
וצחבתה.,0
ויעמדו,1
בית,1
"המרחק,",1
וקמו,1
באתר,1
רחיק.,1
וכל,1
עבדיו,1
עברים,1
על,1
"ידו,",1
אלי,0
"גאנבה,",0
ומת'לה,0
והאתונות,1
רועות,1
על,1
"ידיהן,",1
כמא,0
נביין,0
פי,0
מוצ'עה.,0
ומת'לה,0
ועל,1
ידו,1
החזיק,1
מרמות,1
בן,1
"אוריה,",1
וכד'לך,1
באקיהא.,1
וכל,1
הכרתי,1
וכל,1
הפלתי,1
וכל,1
הגתים.,1
יריד,0
וכל,1
הכרתים,1
וכל,1
"הפלתים,",1
מת'ל,0
"הגתים,",1
והם,0
קבאיל,0
מן,0
אומות,1
"העולם,",1
כאנו,0
קד,0
ערפוה,0
למא,0
כאן,0
ענד,0
אכיש,1
מלך,1
גת.,1
פלמא,0
מלך,1
גאו,0
כ'דמוה,0
וצארו,0
פי,0
"כ'דמתה,",0
וקד,0
ביינא,0
מת'ל,0
ד'לך,0
פי,0
מא,0
תקדם.,0
"ורז""ל",1
"כרתי,",1
כרתי,1
כרתות,1
ומופלא,1
בית,1
דין.,1
"ד""א",1
שהן,1
אומרין,1
דבר,1
ואין,1
מי,1
יפליא,1
אחריהן.,1
והיום,1
אניעך,1
עמנו,1
ללכת.,1
אי,0
אגלוך,0
"מענא,",0
מן,0
נע,1
ונד.,1
ואצל,0
אללפצ'ה,0
"אלתחריך,",0
מן,0
תנועה.,1
כי,1
אם,1
במקום,1
אשר,1
יהיה,1
שם,1
אדני,1
המלך,1
אם,1
למות,1
אם,1
לחיים,1
כי,1
שם,1
יהיה,1
"עבדך,",1
כי,0
אלת'אניה,0
מכררה,0
מזידה,0
ואלמכאן,0
ג'יר,0
מחתאג,0
"אליהא,",0
אנמא,0
שם,1
יהיה,1
עבדך,1
מן,0
ג'יר,0
כי.,1
ויאמרו,1
ככל,1
אשר,1
יבחר,1
אדוני,1
המלך,1
הנה,1
"עבדיך,",1
הדיין,1
הזה,1
בשעה,1
שארכי,1
שלו,1
מקולקלת,1
אין,1
עומדין,1
לפניו,1
בטכסיס,1
"שלהן,",1
אלא,1
משונין,1
"ומיטלטלין,",1
שצריכין,1
לעמוד,1
דרך,1
ימין,1
עומדין,1
דרך,1
"שמאל,",1
ושצריכין,1
לעמוד,1
דרך,1
שמאל,1
עומדין,1
דרך,1
"ימין,",1
כיון,1
שרואין,1
ארכי,1
שלו,1
מתוקנת,1
עומדין,1
בטכסיסיהן,1
"כתקנן,",1
אמר,1
דוד,1
אלו,1
היתה,1
ארכי,1
שלי,1
מקולקלת,1
לא,1
היה,1
כל,1
אחד,1
מהן,1
עומד,1
בטכסיסו.,1
התחיל,1
אומר,1
מזמור.,1
ואימתי,1
היה,1
"כן,",1
ויהי,1
דוד,1
בא,1
עד,1
הראש,1
אשר,1
ישתחוה,1
שם.,1
וכל,1
הארץ,1
"בוכים,",1
יריד,0
אהל,0
"אלבלד,",0
מת'ל,0
ותלה,1
כל,1
ארץ,1
"מצרים,",1
וכל,1
הארץ,1
באו,1
מצרימה.,1
ויציקו,1
את,1
ארון,1
"האלהים,",1
מענאה,0
"ויציגו,",0
אי,0
אוקפה.,0
וכד'לך,0
קאל,0
אלתרגום,0
ואוקימו,1
ית,1
ארונא,1
דה'.,1
ואלקאף,0
ואלגים,0
מן,0
חרוף,0
ג'י'כ'ק',1
כמא,0
ביינא,0
פי,0
אלצדר.,0
ויעל,1
אביתר,1
עד,1
תום,1
כל,1
העם,1
לעבור.,1
לפץ',0
עליה,0
לם,0
יכון,0
להא,0
פי,0
הד'א,0
אלמוצ'ע,0
מענא,0
ואנמא,0
יליק,0
אן,0
יכון,0
מענאה,0
ויעמד,1
"אביתר,",1
אי,0
אנהם,0
אוקפו,0
אלארון,0
ווקף,0
אביתר,1
הכהן,1
ענדה,0
חתי,0
עבר,0
אלקום,0
עלי,0
הדוהם.,0
וג'יר,0
הד'א,0
לא,0
יצלח,0
פי,0
הד'א,0
אלמוצ'ע.,0
ואמרו,1
"רז""ל",1
בפירוש,1
והנה,1
גם,1
צדוק,1
וכל,1
הלוים,1
אתו,1
נשאים,1
את,1
ארון,1
הברית,1
האלהים,1
ויציקו,1
את,1
ארון,1
האלהים,1
ויעל,1
אביתר,1
עד,1
תום,1
כל,1
העם,1
לעבור,1
מן,1
העיר.,1
מה,1
ענין,1
אביתר,1
אמרו,1
"רז""ל",1
בסדר,1
עולם,1
שאמר,1
דוד,1
לאביתר,1
לשאול,1
באורים,1
"ותומים,",1
ושאל,1
ולא,1
עלתה,1
"לו,",1
ונסתלק,1
מן,1
הכהונה,1
שנ',1
ויעל,1
"אביתר,",1
וחזר,1
ואמר,1
לצדוק,1
שישאל,1
ועלתה,1
"לו,",1
וכן,1
אמרו,1
"רז""ל",1
כל,1
כהן,1
שאינו,1
מדבר,1
ברוח,1
הקדש,1
ואין,1
שכינה,1
שורה,1
עליו,1
אין,1
שואלין,1
"בו,",1
וכל,1
כהן,1
שמדבר,1
ברוח,1
הקדש,1
ושכינה,1
שורה,1
עליו,1
שואלין,1
בו.,1
פי',1
הו,0
כלאם,0
תנטק,0
בה,0
אלאואיל,0
ואלכהנים,0
וסאיר,0
מן,0
יחצל,0
לה,0
כשוף,0
אלאהי,0
ונטק,0
רבאני,0
ג'יר,0
אלוחי,0
אלנבוי.,0
ומעשה,1
ושאל,1
צדוק,1
ועלתה,1
לו,1
כשהיה,1
דוד,1
בורח,1
מפני,1
"אבשלום,",1
אביתר,1
ולא,1
עלתה,1
"לו,",1
למדנו,1
שאם,1
היה,1
כהן,1
כשר,1
וראוי,1
לשרות,1
שכינה,1
עליו,1
האותיות,1
אז,1
מצטרפות,1
על,1
ידו,1
כשנשאלין,1
"בו,",1
ואם,1
לאו,1
לא,1
בולטות,1
ולא,1
מצטרפות.,1
והראיה,1
שצדוק,1
עלתה,1
לו,1
מאמר,1
דוד,1
לו,1
ויאמר,1
דוד,1
אל,1
צדוק,1
הרואה,1
"אתה,",1
שענינו,1
רואה,1
"אתה,",1
וההא,1
אינה,1
הא,1
"התמיהה,",1
אלא,1
לאמת,1
"הדבר,",1
וענינו,1
רואה,1
אתה,1
שכבר,1
הבחינו,1
ועלתה,1
"בידו,",1
וכן,1
תרגם,1
חזויא,1
את,1
"ועוד,",1
ואמר,1
בדברי,1
הימים,1
אחר,1
מות,1
דוד,1
וימליכו,1
שנית,1
לשלמה,1
בן,1
דוד,1
וימשחו,1
אותו,1
לנגיד,1
ולצדוק,1
"לכהן,",1
ולא,1
נזכר,1
"אביתר,",1
מלמד,1
שנסתלק,1
מן,1
הכהונה.,1
ולבעץ',0
אלגאונים,0
"ז""ל",1
וששאלתם,1
היכן,1
שאל,1
צדוק,1
ועלתה,1
"לו,",1
אביתר,1
ולא,1
עלתה,1
"לו,",1
כך,1
ראינו,1
לענין,1
סיוע,1
רוח,1
הקדש,1
נאמרה,1
"זאת,",1
ואמרו,1
כי,1
בשעה,1
שברח,1
דוד,1
מפני,1
אבשלום,1
"בנו,",1
שאל,1
צדוק,1
וסייעה,1
אותו,1
רוח,1
הקדש,1
וידע,1
כי,1
דוד,1
נוצח.,1
ואביתר,1
לא,1
עלתה,1
לו,1
"כן,",1
ונסתלק,1
מכהונה,1
גדולה.,1
ושם,1
נאמר,1
והנה,1
גם,1
צדוק,1
וכל,1
הלוים,1
אתו,1
נשאים,1
את,1
ארון,1
ברית,1
האלהים,1
ויציגו,1
את,1
ארון,1
האלהים,1
ויעל,1
אביתר,1
עד,1
תום,1
כל,1
העם,1
לעבור,1
מן,1
העיר,1
ויאמר,1
המלך,1
לצדוק,1
השב,1
את,1
ארון,1
האלהים,1
"העיר,",1
וגם,1
שם,1
כתיב,1
דאמר,1
המלך,1
לצדוק,1
הרואה,1
אתה,1
שובה,1
העיר,1
"בשלום,",1
וכשמלך,1
שלמה,1
בימי,1
דוד,1
נאמר,1
וימליכו,1
שנית,1
לשלמה,1
בן,1
דוד,1
וימשחו,1
אתו,1
לנגיד,1
ולצדוק,1
הכהן.,1
ושרח,0
ויעל,1
אביתר,1
עלי,0
הד'א,0
"אלמעני,",0
אנהם,0
אזאלו,0
אביתר,1
מן,0
רתבתה,0
ודפעת,0
לצדוק.,1
ומת'לה,0
פי,0
אלשרח,0
עלי,0
ראי,0
בעץ',0
אלמפסרין,0
כי,1
עלית,1
משכבי,1
"אביך,",1
אנך,0
אזלת,0
פראשה.,0
והמלך,1
עובר,1
בנחל,1
"קדרון,",1
תרגם,1
בנחלא,1
דקדרון.,1
ותרגם,1
הילילו,1
יושבי,1
"המכתש,",1
אילילו,1
דיתבין,1
בנחלא,1
דקדרון.,1
ופירשו,1
בו,1
שהוא,1
שם,1
לשוק,1
גדול,1
שהיו,1
מתקבצים,1
בו,1
הסוחרים,1
בירושלם.,1
ויש,1
שפירשוהו,1
מקום,1
שכותשין,1
בו,1
הזהב,1
"והכסף,",1
ונקרא,1
בלשון,1
"ערבי,",1
דאר,0
אלצ'רב.,0
ואולי,1
נקרא,1
נחל,1
קדרון,1
שאותו,1
המקום,1
יש,1
בו,1
רוב,1
שחרות,1
מרוב,1
העשן,1
שעולה,1
בשעת,1
צריפת,1
הזהב,1
בכור.,1
והראני,1
אתו,1
ואת,1
"נוהו,",1
ויחזינני,1
קדמוהי,1
ואפלח,1
קדמוהי,1
בבית,1
מקדשיה.,1
וכן,1
תרגם,1
זה,1
אלי,1
"ואנוהו,",1
דין,1
אלהי,1
ואבני,1
ליה,1
מקדש.,1
הרואה,1
אתה,1
שובה,1
העיר,1
"בשלום,",1
אתה,1
הרואה,1
שובה,1
העיר,1
בשלום.,1
יעני,0
כאן,0
גאסוס,0
יתגסס,0
"אלכלאם,",0
פקאל,0
לה,0
אמץ',0
מכאנך,0
ואתגסס,0
לי,0
ען,0
אלאמר,0
ואתחקקה,0
וארסל,0
ואעלמני.,0
ראה,1
אנכי,1
מתמהמה,1
בעברות,1
"המדבר,",1
בעברות,1
כתיב,1
בערבות,1
"קרי,",1
"בעברות,",1
מלשון,1
"עברה,",1
כלומר,1
ראו,1
שאני,1
מתמהמה,1
ומיחל,1
בעברות,1
"הקב""ה",1
שהתעבר,1
בי,1
ומיחל,1
"לרחמיו,",1
עד,1
בוא,1
דבר,1
מעמכם,1
להגיד,1
לי,1
בשורות,1
טובות.,1
ודוד,1
עולה,1
במעלה,1
הזתים,1
עולה,1
ובוכה,1
וראש,1
לו,1
חפוי,1
והוא,1
הולך,1
יחף.,1
"חפוי,",1
מג'טא.,0
ומת'לה,0
כי,1
על,1
כל,1
כבוד,1
"חופה,",1
אי,0
וקאיה,0
"וג'טא,",0
ותרגם,0
"מכסה,",1
חופאה.,1
ויכס,1
"הענן,",1
וחפא,1
עננא.,1
ואלמעני,0
אנה,0
ג'טא,0
ראסה,0
כ'גלא,0
וחיא,0
"ותחזינא,",0
ומת'לה,0
וכל,1
העם,1
אשר,1
אתו,1
חפו,1
איש,1
"ראשו,",1
עלי,0
עאדהֿ,0
אלמתחזן,0
אלאבל,0
עלי,0
מיית,0
ילזמה,0
עליה,0
אלתחזן.,0
"ורז""ל",1
דרשו,1
ודוד,1
עולה,1
במעלה,1
הזתים,1
עולה,1
"ובוכה,",1
יכול,1
שקרא,1
"תיגר,",1
אותה,1
שעה,1
אמר,1
מזמור,1
לדוד,1
בברחו,1
מפני,1
אבשלום,1
בנו.,1
מזמור,1
"לדוד,",1
בכייה,1
וקינה,1
מיבעי,1
"ליה,",1
דרש,1
ר',1
שמעון,1
משל,1
לאדם,1
שהיו,1
אומרין,1
לו,1
למחר,1
מוציאין,1
עליך,1
שטר,1
"חוב,",1
קודם,1
שראהו,1
"עצב,",1
לאחר,1
שראהו,1
"שמח,",1
אף,1
כן,1
"דוד,",1
כיון,1
שאמר,1
לו,1
"הקב""ה",1
הנני,1
מקים,1
עליך,1
רעה,1
מביתך,1
"נעצב,",1
אמר,1
שמא,1
עבד,1
הוא,1
או,1
ממזר,1
הוא,1
דלא,1
מרחם,1
"עלי,",1
כיון,1
שראה,1
שהוא,1
אבשלום,1
"שמח,",1
מיד,1
פתח,1
מזמור,1
"לדוד,",1
אמר,1
כל,1
היכא,1
דאית,1
ברא,1
רחומי,1
"מרחם,",1
לכך,1
אמר,1
ידעתי,1
כי,1
צדק,1
"משפטיך,",1
כל,1
היסורין,1
והמשפטים,1
שאתה,1
מביא,1
עלי,1
באמונה,1
ובצדק,1
עשית.,1
ודוד,1
הגיד,1
"לאמר,",1
ענינו,1
לדוד,1
הגיד,1
"לאמר,",1
וכן,1
תרגם,1
ולדוד,1
אתחוא,1
למימר.,1
אחיתופל,1
"בקושרים,",1
מע,0
מעתקדין,0
אלכ'לאף.,0
ויאמר,1
דוד,1
סכל,1
נא,1
את,1
